ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
AFG,169.5,169.8,170.1,166.1,162.2,158.3,154.4,150.5,143.9,137.3,130.7,124.1,117.5,111.3,105.2,99.1,93,86.8
ALB,37.9,37.3,36.6,35.3,34,32.7,31.4,30.1,28,25.9,23.8,21.7,19.5,18.7,17.8,17,16.1,15.3
DZA,18.7,16.8,14.9,13.8,12.8,11.8,10.7,9.7,9.7,9.7,9.7,9.7,9.7,9.8,9.8,9.9,10,10
AGO,219.4,217.2,215.1,213,210.9,208.8,206.8,204.7,202.2,199.7,197.2,194.7,192.3,187.8,183.4,179,174.6,170.2
ATG,67.7,68.2,68.7,67.5,66.3,65.2,64,62.8,61.3,59.9,58.4,57,55.5,54.2,53,51.8,50.5,49.3
ARG,71.2,70.5,69.8,68,66.2,64.3,62.5,60.7,59.9,59.2,58.4,57.7,56.9,56.4,55.9,55.4,54.9,54.4
ARM,62,55.9,49.9,46.7,43.5,40.2,37,33.8,32.6,31.5,30.3,29.2,28,27.8,27.7,27.5,27.3,27.1
AUS,20.1,19.7,19.2,18.7,18.2,17.7,17.2,16.7,16.6,16.4,16.3,16.2,16,15.2,14.4,13.6,12.9,12.1
AUT,17,15.9,14.8,14.5,14.2,13.9,13.6,13.3,12.9,12.5,12,11.6,11.1,9.7,8.3,6.9,5.5,4.1
AZE,39.8,40.6,41.4,40,38.6,37.2,35.8,34.3,35.6,36.8,38,39.3,40.5,40.4,40.3,40.2,40.1,40
BHS,65,63.4,61.9,58.3,54.7,51.2,47.6,44,41.5,39.1,36.7,34.2,31.8,31.1,30.5,29.8,29.1,28.5
BHR,19.9,19.1,18.3,18,17.7,17.5,17.2,16.9,16.5,16,15.6,15.1,14.7,14.5,14.3,14.1,14,13.8
BGD,140.1,135.2,130.3,125.7,121.2,116.6,112.1,107.5,103.8,100,96.2,92.5,88.7,87.1,85.4,83.8,82.2,80.6
BRB,54.4,53.2,52,51.7,51.4,51.1,50.8,50.5,50.3,50.1,49.9,49.7,49.4,49.2,49,48.8,48.6,48.4
BLR,37.7,35.4,33.2,31.4,29.5,27.6,25.8,23.9,23.7,23.4,23.2,22.9,22.6,22.2,21.8,21.4,21,20.6
BEL,10.4,10.3,10.2,10.3,10.5,10.6,10.8,11,10.8,10.7,10.6,10.5,10.4,9.7,8.9,8.2,7.4,6.7
BLZ,112.4,109.4,106.3,103.2,100.2,97.2,94.2,91.2,88.7,86.2,83.7,81.2,78.7,77.3,75.8,74.3,72.9,71.4
BEN,124.4,123.6,122.8,121.4,120,118.5,117.1,115.7,113.5,111.4,109.3,107.2,105.1,102.1,99.1,96.2,93.2,90.2
BTN,95.1,92.9,90.8,86.5,82.3,78,73.7,69.5,65.7,62,58.3,54.6,50.9,48.9,46.9,44.9,42.9,40.9
BOL,87.9,87.4,86.9,86.4,85.9,85.4,84.9,84.4,83.2,81.9,80.7,79.4,78.2,76.9,75.7,74.4,73.1,71.9
BIH,29.3,28.1,27,25.1,23.2,21.3,19.4,17.5,17.4,17.3,17.2,17.1,17,16.6,16.3,15.9,15.5,15.1
BWA,78.6,75.9,73.3,70.9,68.5,66.1,63.6,61.2,59.4,57.6,55.8,54,52.1,50.5,49,47.4,45.8,44.2
BRA,87.3,88.5,89.7,89,88.2,87.5,86.7,86,83.9,81.8,79.7,77.7,75.6,74.6,73.7,72.7,71.8,70.8
BRN,34.9,31.8,28.8,28.3,27.7,27.2,26.7,26.2,26,25.8,25.5,25.3,25.1,24.7,24.2,23.8,23.4,23
BGR,55.6,51.9,48.2,46.9,45.6,44.3,43,41.7,41.8,41.9,42,42.1,42.1,40.9,39.6,38.4,37.1,35.9
BFA,143.5,143.1,142.6,141.5,140.4,139.3,138.2,137.1,135.6,134.1,132.6,131.1,129.7,126.8,124,121.1,118.3,115.4
BDI,48.1,47.7,47.4,45.3,43.1,40.9,38.8,36.6,36,35.4,34.8,34.1,33.5,32.9,32.2,31.6,30.9,30.3
KHM,56.8,53.5,50.2,49.8,49.5,49.1,48.8,48.4,48.1,47.8,47.6,47.3,47,46.4,45.9,45.4,44.9,44.3
CMR,168.6,165.6,162.6,160.3,158,155.7,153.4,151.1,147.1,143,138.9,134.8,130.7,127.7,124.8,121.8,118.8,115.8
CAN,22.1,21.1,20.1,19.1,18.1,17,16,15,14.7,14.5,14.2,14,13.8,13.9,14.1,14.2,14.4,14.5
CPV,107.1,106.4,105.8,103.6,101.3,99.1,96.9,94.7,92,89.4,86.8,84.2,81.6,79.4,77.2,75,72.8,70.6
CAF,138,136.2,134.4,132,129.7,127.3,124.9,122.5,119.4,116.2,113,109.8,106.6,105,103.3,101.6,100,98.3
TCD,217.1,216.8,216.4,215.1,213.8,212.4,211.1,209.7,204.2,198.6,193,187.4,181.9,175.9,169.9,164,158,152
CHL,67.4,67.1,66.9,65.8,64.8,63.7,62.7,61.6,61,60.4,59.8,59.1,58.5,57.9,57.2,56.6,55.9,55.3
CHN,5.8,5.8,5.9,6.2,6.5,6.9,7.2,7.5,7.7,7.8,8,8.2,8.4,8.4,8.4,8.5,8.5,8.6
COL,89.9,90.8,91.7,92.5,93.3,94.1,94.9,95.7,91.4,87.1,82.9,78.6,74.3,73.1,72,70.8,69.7,68.5
COM,67.4,66.9,66.5,65.9,65.3,64.7,64.2,63.6,62.5,61.4,60.2,59.1,58,56.6,55.3,53.9,52.5,51.1
COG,132.5,133.1,133.8,134.6,135.4,136.2,137,137.9,136.4,134.9,133.4,131.9,130.5,129.7,129,128.2,127.5,126.7
CRI,90.1,88.9,87.8,85.5,83.2,81,78.7,76.4,74.3,72.1,70,67.8,65.6,64.7,63.7,62.7,61.8,60.8
CIV,132.8,130.4,128.1,127.5,126.9,126.3,125.7,125.2,125.2,125.3,125.4,125.5,125.6,126.5,127.4,128.4,129.3,130.3
HRV,17.7,17.8,17.8,17.1,16.4,15.7,15,14.4,14.2,14,13.9,13.7,13.6,13.4,13.2,13.1,12.9,12.7
CUB,68.4,68.2,67.9,64.4,60.9,57.3,53.8,50.3,49.3,48.3,47.2,46.2,45.2,44.8,44.4,43.9,43.5,43.1
CYP,17.6,15.3,13.1,11.9,10.7,9.6,8.4,7.2,7.1,7,6.8,6.7,6.6,6.3,6.1,5.9,5.7,5.5
CZE,26.6,21.6,16.7,15.6,14.6,13.5,12.4,11.4,11.3,11.3,11.2,11.2,11.1,9.9,8.6,7.4,6.1,4.9
PRK,1.4,1.3,1.2,1.2,1.1,1.1,1,1,0.9,0.8,0.8,0.7,0.6,0.6,0.6,0.6,0.6,0.6
COD,133.6,132.9,132.1,131.7,131.3,130.9,130.5,130.1,130.4,130.8,131.2,131.6,132,132.7,133.3,134,134.6,135.3
DNK,8.4,8.2,8,7.7,7.5,7.2,6.9,6.6,6.5,6.3,6.2,6,5.9,5.7,5.6,5.4,5.3,5.1
DJI,44.8,37,29.3,28.8,28.3,27.8,27.4,26.9,25.9,25,24,23,22.1,21.4,20.7,20,19.3,18.6
DOM,112.3,111.7,111,110.7,110.4,110.2,109.9,109.6,109.4,109.2,109.1,108.9,108.7,106.9,105.1,103.2,101.4,99.6
ECU,84.3,84.1,83.9,84.1,84.4,84.6,84.8,85,84.7,84.4,84.1,83.8,83.5,82.2,80.9,79.6,78.3,77
EGY,65.5,62.2,58.8,57.5,56.3,55,53.7,52.5,51.7,51,50.2,49.5,48.7,47.6,46.4,45.3,44.1,43
SLV,113.8,112.6,111.5,107.6,103.7,99.7,95.8,91.9,90.1,88.2,86.4,84.6,82.7,81.4,80,78.7,77.3,76
GNQ,134.1,134,133.9,132.9,131.9,130.8,129.8,128.8,127.6,126.4,125.2,124,122.9,120.8,118.8,116.7,114.7,112.6
ERI,112.8,109.6,106.5,103.6,100.7,97.8,94.9,92,89,86,83,79.9,76.9,74.6,72.3,69.9,67.6,65.3
EST,37.1,33.7,30.4,28.7,27,25.3,23.6,21.9,22.1,22.3,22.5,22.8,23,21.7,20.5,19.3,18,16.8
ETH,117.6,117.6,117.5,115.1,112.6,110.1,107.7,105.2,102.2,99.1,96.1,93.1,90,87.7,85.4,83,80.7,78.4
FJI,52.8,49.3,45.8,44.9,44.1,43.2,42.4,41.5,42.2,43,43.7,44.5,45.2,44.8,44.3,43.8,43.3,42.8
FIN,10.2,9.8,9.5,9.7,9.9,10.1,10.4,10.6,10.3,10,9.8,9.5,9.2,9.2,9.2,9.2,9.2,9.2
FRA,10.3,10,9.8,10,10.2,10.4,10.6,10.8,10.6,10.5,10.3,10.2,10,9.1,8.3,7.4,6.6,5.7
GAB,147.4,144.7,142,139,135.9,132.8,129.8,126.7,124.4,122,119.7,117.3,115,112.6,110.2,107.8,105.4,103
GMB,141.4,137.5,133.6,130.3,127,123.7,120.4,117.2,115.9,114.7,113.4,112.2,110.9,111.9,112.9,113.9,114.8,115.8
GEO,63.9,62.2,60.5,58.1,55.7,53.3,50.9,48.5,49,49.4,49.9,50.4,50.9,50.1,49.2,48.4,47.6,46.8
DEU,14.2,13.7,13.1,13,12.8,12.7,12.5,12.4,11.9,11.3,10.8,10.3,9.8,8.6,7.4,6.2,5,3.8
GHA,94.1,90.8,87.5,85.4,83.3,81.2,79.1,77,75.1,73.2,71.4,69.5,67.6,65.8,63.9,62.1,60.2,58.4
GRC,13.9,12.7,11.6,11.4,11.2,10.9,10.7,10.5,10.7,11,11.2,11.4,11.7,11.7,11.7,11.8,11.8,11.9
GRD,70.3,65.9,61.5,59.4,57.3,55.3,53.2,51.2,49.4,47.7,45.9,44.2,42.4,41,39.6,38.2,36.8,35.4
GTM,123.7,122.4,121.1,120,118.8,117.7,116.5,115.4,113.8,112.1,110.5,108.8,107.2,105.2,103.2,101.2,99.2,97.2
GIN,176.3,175,173.7,171.8,169.9,168,166.1,164.2,162.2,160.1,158.1,156,154,149.4,144.8,140.2,135.6,131
GNB,136.3,135.4,134.5,133.3,132.1,131,129.8,128.7,127.6,126.6,125.6,124.5,123.5,118.7,113.8,109,104.2,99.3
GUY,74.6,75.7,76.8,79.4,82.1,84.7,87.3,90,92.2,94.4,96.6,98.8,101,98.5,96,93.5,91,88.5
HTI,65,63.4,61.8,59.9,58.1,56.2,54.4,52.5,51.3,50.1,48.8,47.6,46.4,45.5,44.6,43.7,42.9,42
HND,119.4,117,114.6,112.2,109.8,107.3,104.9,102.5,100.6,98.7,96.9,95,93.1,91.3,89.4,87.6,85.8,84
HUN,30,27.8,25.6,24.7,23.8,22.8,21.9,21,20.7,20.4,20.2,19.9,19.6,18.1,16.6,15.1,13.6,12.1
ISL,24.3,23.9,23.5,22.3,21,19.8,18.5,17.2,16.7,16.1,15.5,14.9,14.3,13.7,13.2,12.6,12.1,11.5
IND,94.9,91.9,88.8,85.5,82.2,78.9,75.5,72.2,67.9,63.6,59.2,54.9,50.6,47,43.5,39.9,36.4,32.8
IDN,54,50.9,47.8,48.5,49.1,49.7,50.4,51,51.1,51.2,51.3,51.4,51.5,50.9,50.2,49.6,49,48.3
IRN,59.1,53.7,48.3,45.3,42.4,39.4,36.5,33.6,33.2,32.7,32.3,31.9,31.5,31.6,31.6,31.6,31.6,31.6
IRQ,65.9,65.3,64.8,65.2,65.7,66.1,66.5,66.9,68.4,69.8,71.2,72.7,74.1,73,71.9,70.8,69.8,68.7
IRL,17.8,18.4,19,19,19,19,19,19,18.5,18,17.5,17,16.5,14.9,13.2,11.5,9.9,8.2
ISR,18.3,18,17.7,17.3,17,16.7,16.4,16.1,15.6,15.2,14.8,14.4,14,12.7,11.5,10.3,9,7.8
ITA,7.4,7.2,7,7,7,7,7,7,7,6.9,6.9,6.8,6.8,6.2,5.6,5.1,4.5,4
JAM,97.4,95.4,93.5,91.8,90.2,88.6,87,85.4,83.8,82.2,80.6,78.9,77.3,75.9,74.4,73,71.5,70.1
JPN,4.2,4.3,4.4,4.7,5,5.2,5.5,5.8,5.7,5.5,5.4,5.3,5.1,5.2,5.2,5.3,5.4,5.4
JOR,44,42.3,40.6,39.1,37.6,36.1,34.6,33.1,32.4,31.7,30.9,30.2,29.4,28.8,28.3,27.7,27.1,26.5
KAZ,46.7,44.4,42.1,39.5,36.9,34.3,31.7,29.1,28.9,28.7,28.5,28.3,28.1,28.4,28.8,29.2,29.6,29.9
KEN,108.8,107.3,105.7,105.4,105.1,104.8,104.5,104.2,103.4,102.6,101.8,101,100.2,98.9,97.6,96.3,94.9,93.6
KIR,43.3,42.4,41.6,39.3,37,34.7,32.4,30.1,28.5,26.9,25.3,23.8,22.2,21.1,19.9,18.8,17.7,16.6
KWT,23.1,24.8,26.6,25.2,23.8,22.4,21,19.5,18.7,17.8,16.9,16,15.1,15,14.8,14.7,14.6,14.5
KGZ,65.2,64.2,63.1,57.4,51.6,45.9,40.1,34.4,33.4,32.5,31.6,30.7,29.8,29.7,29.6,29.5,29.4,29.3
LAO,93.9,90.3,86.6,83.6,80.5,77.5,74.5,71.4,72.1,72.9,73.6,74.3,75.1,73.1,71.1,69,67,65
LVA,30.6,26.2,21.9,21,20.1,19.1,18.2,17.3,17.4,17.6,17.8,18,18.2,17.2,16.3,15.4,14.4,13.5
LBN,32.6,30.4,28.3,26.5,24.7,22.9,21.1,19.3,18,16.6,15.2,13.8,12.5,12.4,12.3,12.2,12.1,12
LSO,90.9,92.5,94,93.1,92.2,91.4,90.5,89.6,89.7,89.8,89.8,89.9,90,89.9,89.8,89.7,89.5,89.4
LBR,155.8,154,152.1,151.2,150.2,149.3,148.4,147.4,146.3,145.2,144.1,143.1,142,137.1,132.1,127.2,122.3,117.4
LBY,6.2,5.5,4.8,4.6,4.3,4.1,3.9,3.7,3.6,3.5,3.4,3.2,3.1,3,2.9,2.8,2.6,2.5
LTU,37,34.4,31.8,29.6,27.5,25.4,23.2,21.1,20.6,20.2,19.8,19.4,18.9,17.3,15.6,13.9,12.3,10.6
LUX,11.1,10.6,10.2,10.5,10.8,11.1,11.4,11.7,11.3,10.9,10.5,10,9.6,9.4,9.1,8.9,8.6,8.3
MKD,36.2,34.9,33.6,32.2,30.8,29.4,28,26.6,25.8,24.9,24.1,23.2,22.3,21.5,20.7,19.9,19.1,18.3
MDG,153.1,154.1,155.1,154,152.9,151.7,150.6,149.5,146.4,143.4,140.4,137.3,134.3,132,129.7,127.4,125.1,122.8
MWI,164.9,165.9,167,165.1,163.2,161.2,159.3,157.4,157.4,157.3,157.3,157.2,157.2,154.7,152.2,149.8,147.3,144.8
MYS,16.6,15.8,15,14.6,14.2,13.8,13.4,13,13,12.9,12.9,12.9,12.8,11.4,10,8.5,7.1,5.7
MDV,78.5,68.3,58.1,51.5,44.8,38.2,31.5,24.9,22.1,19.3,16.5,13.8,11,9.6,8.3,6.9,5.5,4.2
MLI,190.5,189.8,189.1,188.3,187.5,186.7,185.9,185.1,184.3,183.4,182.6,181.7,180.9,179.8,178.8,177.7,176.6,175.6
MLT,15.1,15.8,16.5,16.4,16.4,16.3,16.3,16.2,16.7,17.2,17.7,18.2,18.7,18.6,18.5,18.4,18.3,18.2
MRT,103.9,102.6,101.3,99.5,97.7,95.8,94,92.2,90.3,88.3,86.4,84.4,82.5,80.7,78.8,77,75.1,73.3
MUS,38.8,37.5,36.3,36.3,36.4,36.4,36.4,36.5,35.8,35.1,34.5,33.8,33.1,32.7,32.2,31.8,31.3,30.9
MEX,80.1,80.9,81.7,80.2,78.7,77.2,75.7,74.2,73.2,72.3,71.3,70.3,69.3,68.2,67,65.8,64.6,63.4
FSM,46.2,45.5,44.8,42.7,40.6,38.5,36.4,34.3,32.5,30.7,29,27.2,25.4,24.1,22.7,21.3,19.9,18.6
MNG,34.2,32.8,31.4,29.5,27.5,25.5,23.5,21.6,21,20.5,20,19.5,19,19,18.9,18.8,18.8,18.7
MNE,23.9,23.7,23.4,22.9,22.4,21.9,21.4,20.9,20.4,20,19.5,19,18.6,17.9,17.2,16.6,15.9,15.2
MAR,47.1,45.5,44,42,40,38,36,34,33.7,33.5,33.2,32.9,32.7,33.3,33.9,34.6,35.2,35.8
MOZ,115.6,116.3,117,130.3,143.5,156.7,170,183.2,179.1,174.9,170.8,166.7,162.5,157.6,152.6,147.7,142.7,137.8
MMR,26.2,25,23.7,22.9,22,21.1,20.2,19.3,18.7,18.1,17.5,16.8,16.2,15.4,14.6,13.7,12.9,12.1
NAM,95.6,93,90.4,88.7,86.9,85.2,83.5,81.7,80.3,78.8,77.3,75.9,74.4,70.5,66.6,62.7,58.8,54.9
NPL,131.9,130.6,129.3,126.3,123.2,120.1,117,114,110.1,106.3,102.4,98.6,94.8,90.6,86.3,82.1,77.9,73.7
NLD,6.5,6.4,6.2,6.4,6.5,6.7,6.9,7.1,6.7,6.4,6,5.7,5.3,5.5,5.6,5.8,6,6.2
NZL,31.3,30.6,29.9,29.2,28.6,28,27.3,26.7,27.4,28.1,28.7,29.4,30.1,29.1,28.2,27.2,26.3,25.3
NIC,142.2,137.4,132.6,130,127.3,124.7,122,119.4,118,116.7,115.4,114,112.7,110.3,107.9,105.6,103.2,100.8
NER,222.9,222.6,222.2,221,219.8,218.6,217.4,216.1,214.8,213.5,212.2,210.9,209.6,208.6,207.7,206.7,205.7,204.8
NGA,139.4,138,136.6,135.3,134,132.7,131.3,130,128.8,127.6,126.4,125.2,123.9,123.1,122.2,121.3,120.5,119.6
NOR,14,13.4,12.8,12.2,11.7,11.1,10.5,10,9.8,9.6,9.3,9.1,8.9,8.7,8.5,8.3,8,7.8
OMN,55.2,49.3,43.5,39,34.5,30,25.6,21.1,19.6,18.1,16.6,15.1,13.6,13,12.4,11.8,11.2,10.6
PAK,65.6,62.2,58.8,55.1,51.5,47.8,44.2,40.5,38.6,36.7,34.8,32.8,30.9,30.2,29.5,28.7,28,27.3
PAN,95,95.4,95.9,94.9,94,93,92.1,91.1,89.8,88.5,87.2,85.9,84.6,83.4,82.2,81,79.7,78.5
PNG,72.8,74.2,75.6,74.7,73.8,72.8,71.9,71,70.2,69.3,68.5,67.7,66.9,65.9,65,64,63.1,62.1
PRY,92.1,92,91.9,90,88.1,86.1,84.2,82.3,80.3,78.3,76.3,74.3,72.3,71.2,70.2,69.1,68,67
PER,70.3,70.4,70.5,68.7,66.9,65.1,63.3,61.5,60.1,58.8,57.4,56.1,54.7,53.9,53.1,52.3,51.5,50.7
PHL,49.8,49.4,49.1,50,51,51.9,52.9,53.9,53.9,54,54,54,54.1,52.6,51.2,49.7,48.2,46.8
POL,24.5,22.5,20.4,19.3,18.2,17.1,16,14.9,14.9,15,15,15,15,14.4,13.9,13.3,12.7,12.2
PRT,21.3,21,20.7,20.6,20.5,20.4,20.3,20.2,19.5,18.8,18.1,17.5,16.8,15.9,15.1,14.3,13.4,12.6
QAT,31.3,27,22.8,22,21.3,20.5,19.7,19,18.2,17.4,16.7,15.9,15.1,14,12.9,11.8,10.6,9.5
KOR,3.4,3.2,3,2.8,2.7,2.5,2.3,2.2,2.2,2.2,2.1,2.1,2.1,2.1,2.2,2.2,2.2,2.2
MDA,60.1,59.1,58.1,53.9,49.8,45.7,41.6,37.4,36.7,36,35.3,34.5,33.8,32.9,32,31.1,30.2,29.3
ROU,40.9,39.2,37.4,35.9,34.4,32.9,31.4,29.9,30.1,30.3,30.5,30.7,30.9,30.9,30.9,30.9,30.9,31
RUS,41.8,38.4,35.1,33.6,32.1,30.6,29.1,27.6,27.9,28.3,28.6,29,29.3,28.6,27.9,27.2,26.4,25.7
RWA,56.6,55.9,55.2,53.1,51,48.9,46.8,44.7,44.3,43.9,43.5,43.1,42.8,40.9,39.1,37.3,35.4,33.6
LCA,79.7,74.8,69.8,68.2,66.7,65.1,63.5,62,61.8,61.7,61.6,61.5,61.4,60.4,59.4,58.3,57.3,56.3
VCT,80.9,78.5,76.1,73.8,71.5,69.2,66.9,64.6,63.5,62.3,61.2,60.1,58.9,58,57.2,56.3,55.4,54.5
WSM,40.5,42.8,45.1,43.5,41.9,40.2,38.6,37,35.9,34.9,33.8,32.7,31.7,31,30.3,29.6,28.9,28.3
STP,100.1,97.4,94.6,92.7,90.8,88.8,86.9,85,83.3,81.5,79.8,78.1,76.4,74.1,71.9,69.6,67.4,65.1
SAU,45.9,41.6,37.3,34,30.6,27.3,23.9,20.6,18.8,17,15.2,13.4,11.6,11.3,11,10.8,10.5,10.2
SEN,117.4,114.5,111.7,110.2,108.7,107.2,105.7,104.2,103,101.7,100.5,99.3,98.1,97.4,96.6,95.9,95.1,94.4
SRB,31.6,29.8,28,27,26.1,25.1,24.2,23.3,22.5,21.7,20.9,20.1,19.3,18.8,18.3,17.8,17.4,16.9
SYC,62,59.9,57.9,57.9,57.9,57.9,57.9,57.9,58.3,58.7,59.1,59.5,59.9,59.2,58.4,57.7,57,56.3
SLE,129.8,129,128.1,127.9,127.7,127.5,127.3,127.1,125.5,123.9,122.2,120.6,119,115.3,111.7,108,104.3,100.7
SGP,7.6,7.5,7.4,7.5,7.5,7.5,7.5,7.5,7.2,6.9,6.6,6.3,6,6,6,6,6,6
SVK,34.6,31,27.4,26,24.7,23.4,22,20.7,20.7,20.7,20.7,20.7,20.7,19.7,18.8,17.8,16.8,15.9
SVN,9.3,8.1,7,6.5,6.1,5.7,5.2,4.8,4.8,4.8,4.8,4.8,4.8,3.9,3.1,2.3,1.4,0.6
SLB,76.6,73.9,71.1,70.9,70.7,70.5,70.3,70.1,70.2,70.2,70.2,70.3,70.3,69.2,68.1,67,66,64.9
SOM,116.6,121.6,126.6,126.6,126.7,126.8,126.8,126.9,127,127,127.1,127.1,127.2,123.8,120.4,117.1,113.7,110.4
ZAF,84.7,82.6,80.6,78.6,76.6,74.7,72.7,70.7,68.4,66.1,63.8,61.5,59.2,57.5,55.8,54.2,52.5,50.9
SSD,131.1,129.4,127.8,125.9,124,122.1,120.2,118.3,113.7,109.1,104.5,99.9,95.4,91.3,87.3,83.3,79.3,75.3
ESP,8.7,8.4,8.1,8.5,8.9,9.4,9.8,10.3,10.8,11.3,11.8,12.3,12.7,12.3,11.9,11.5,11,10.6
LKA,29.3,29.2,29,28.8,28.5,28.2,27.9,27.6,26.5,25.5,24.4,23.4,22.3,21.2,20.2,19.1,18,16.9
SDN,109.5,110,110.5,112.2,113.8,115.5,117.2,118.9,116.4,114,111.5,109.1,106.6,102.1,97.6,93,88.5,84
SUR,50.4,50.6,50.8,49.7,48.6,47.5,46.3,45.2,44.1,42.9,41.8,40.7,39.5,38.7,37.8,36.9,36.1,35.2
SWZ,115.5,112.5,109.4,108,106.6,105.2,103.8,102.4,99.5,96.6,93.8,90.9,88,84.8,81.6,78.4,75.2,72
SWE,8.9,8,7.2,7.1,6.9,6.7,6.6,6.4,6.3,6.2,6.2,6.1,6,6.1,6.2,6.3,6.4,6.5
CHE,6,5.9,5.7,5.6,5.5,5.5,5.4,5.3,5.2,5,4.8,4.7,4.5,4,3.5,2.9,2.4,1.9
SYR,65.6,64.8,64,62,59.9,57.8,55.8,53.7,51.9,50,48.2,46.4,44.6,44,43.4,42.8,42.2,41.6
TJK,53.1,51.7,50.2,48.4,46.5,44.6,42.7,40.9,41.6,42.4,43.2,44,44.8,44.4,44,43.6,43.2,42.8
TZA,135.8,134.5,133.3,133,132.8,132.5,132.2,132,131.7,131.4,131.1,130.7,130.4,128.9,127.3,125.8,124.3,122.7
THA,47.5,46.6,45.7,45,44.2,43.4,42.7,41.9,41.6,41.4,41.1,40.9,40.6,40.7,40.8,40.8,40.9,41
TLS,66.9,69.4,71.9,71.6,71.2,70.8,70.5,70.1,69.2,68.4,67.5,66.7,65.8,63.1,60.4,57.6,54.9,52.2
TGO,101.3,98.5,95.8,94.8,93.7,92.7,91.7,90.7,90.6,90.5,90.3,90.2,90.1,90.4,90.7,90.9,91.2,91.5
TON,23.7,23.1,22.5,22.3,22,21.8,21.5,21.3,21.5,21.7,21.9,22.1,22.3,21.5,20.6,19.8,18.9,18.1
TTO,49,46.7,44.3,43.1,42,40.8,39.6,38.4,38.4,38.3,38.2,38.2,38.1,37.4,36.8,36.1,35.5,34.8
TUN,12.3,10.4,8.4,8.1,7.7,7.3,6.9,6.5,6.4,6.2,6,5.9,5.7,5.5,5.3,5,4.8,4.6
TUR,55.8,54.1,52.4,50.9,49.4,47.8,46.3,44.8,43.7,42.6,41.5,40.4,39.3,37.6,36,34.3,32.6,30.9
TKM,25.8,25.6,25.4,25.2,25,24.8,24.6,24.4,23.7,23,22.3,21.6,20.9,20.3,19.7,19.2,18.6,18
UGA,195.1,193.1,191,187.3,183.6,179.9,176.2,172.5,168,163.5,159,154.5,149.9,145.3,140.6,136,131.3,126.6
UKR,49.2,46.1,43,40.3,37.6,34.9,32.2,29.5,29.7,30,30.3,30.5,30.8,29.8,28.7,27.7,26.7,25.7
ARE,33.2,30.4,27.6,27.2,26.8,26.4,26,25.6,26.4,27.3,28.1,29,29.9,29.4,29,28.5,28.1,27.6
GBR,31,31,31,30.2,29.4,28.6,27.8,27,26.8,26.5,26.3,26.1,25.8,25.8,25.8,25.8,25.8,25.8
USA,54.6,53,51.3,49.7,48.1,46.5,44.8,43.2,42.5,41.8,41.1,40.4,39.7,37.9,36.2,34.5,32.7,31
URY,68.6,67.9,67.3,66.5,65.8,65,64.3,63.5,63,62.5,62.1,61.6,61.1,60.5,60,59.4,58.9,58.3
UZB,56.4,53.2,50,50,50,50,50,50,49.8,49.5,49.3,49.1,48.8,46.8,44.8,42.8,40.8,38.8
VUT,65.1,63.5,62,60.5,59.1,57.6,56.2,54.7,53.3,51.9,50.5,49.1,47.7,47.1,46.5,46,45.4,44.8
VEN,95.6,94.8,94.1,93.7,93.3,92.9,92.5,92.1,91.7,91.2,90.8,90.3,89.9,88.6,87.2,85.9,84.6,83.2
