ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
ALB,,,,,,,,,,,,,,,8,,
ARM,,,,,,26.8,,,,,14.3,,,,,,
AZE,,,,,,,,,,,,7,,,,,
BGD,,,8.8,,,,,,,,,,,,,,
BEN,,9.1,,,,,12.3,,,,,6.6,,,,,
BOL,,,,8.7,,,,,11.2,,,,,13.3,,,
BRA,,3,,,,,,,,,,,,,,,
BFA,,,,,7.2,,,,20.7,,,,,,,,
KHM,,,,,,39.2,,,,,25.2,,,,,,
CMR,,,,21.2,,,,,,21.2,,,,,,,
CAF,57,,,,,,,,,,,,,,,,
TCD,,,11.4,,,,,,,41.4,,,,,,,
COL,2.8,,,,,,,,,,,,,,,,
COM,,22.5,,,,,,,,,,,,,,,
COG,,,,,,,,,,,18.6,,,,,,
CIV,,,,,7.1,,,,,,,,,,,,
COD,,,,,,,,,,,,,29.9,,,,
DOM,,0.5,,,0.2,,,0.3,,,,,0.2,,,,
EGY,3.9,,,,,2.1,,,,,2,,,3.1,,,
ERI,43.6,,,,,,,11.7,,,,,,,,,
ETH,,,,,,53.1,,,,,32.1,,,,,,
GAB,,,,,,11.8,,,,,,,,,,,
GHA,,,,5.3,,,,,9.8,,,,,11.4,,,
GTM,1.6,,,,2.3,,,,,,,,,,,,
GIN,,,,,30.5,,,,,,25.8,,,,,,
GUY,,,,,,,,,,,,,,,3.6,,
HTI,,,,,,3.6,,,,,,6.5,,,,,
HND,,,,,,,,,,,,1.5,,,,,
IND,,,,,,,,,,,,19.7,,,,,
IDN,,,,,,,,,24.5,,,,20.5,,,,
JOR,,,0.9,,,,,,,,,,,,,,
KAZ,0.3,,,,1,,,,,,,,,,,,
KEN,,,,27.5,,,,,24.6,,,,,,21,,
LSO,,,,,,,,,,14,,,,,6.5,,
LBR,,,,,,,,,,,,,29.7,,,,
MDG,,,41.3,,,,,,,43.7,,,,,46.6,,
MWI,,,,,,41.1,,,,48.2,,,,,,30,
MLI,,8.2,,,,,,,,,,13.6,,,,,
MRT,,,,,,,9.3,,,,,,,,,,
MAR,,,,,,,,,,5.4,,,,,,,
MOZ,,,72.1,,,,,,55.3,,,,,,,,
NAM,,,,,,5.6,,,,,,,2.2,,,,
NPL,,55.4,,,,,72,,,,,34.3,,,,,
NIC,,,,1.5,,,1.4,,,,,,,,,,
NER,,,,16.6,,,,,,,,11.5,,,,,
NGA,,,,,4.7,,,,7,,,,,8.6,,,
PER,,9.7,,,,11.3,,,,,,11.9,,8.7,7.7,3.5,9.7
PHL,,,,2.1,,,,,2.7,,,,,4.9,,,
RWA,,,,,,42.1,,,,,31.3,,,,,,
SEN,,,,,,,,,,,5.1,,,,,,
SLE,,,,,,,,,,,,,,30.8,,,
SWZ,,,,,,,,,,,,,1.3,,,,
TZA,,,,,25.6,,,,,,18.2,,,,,,
TLS,,,,,,,,,,,,,,,,57.4,
TGO,,,,3.5,,,,,,,,,,,,,
TUR,,,,3.7,,,,,,,,,,,,,
TKM,,,,,,0.8,,,,,,,,,,,
UGA,16.2,,,,,,25.5,,,,,25.6,,,,,
UKR,,,,,,,,,,,,,0.1,,,,
VNM,,,,,,,,,,,50.9,,,,,,
YEM,,,71,,,,,,,,,,,,,,
ZMB,,21.3,,,,,,36.4,,,,,27.2,,,,
ZWE,,,,,,,,,,,,19.7,,,,,
ASE,,,,,,,,,,,,27,,,,,
SAM,,,,,,,,,,,,19.7,,,,,
SAE,,,,,,,,,,,,15.2892,,,,,
# Series: AFOWNDHS,,,,,,,,,,,,,,,,,
"# Name: Occupation - own land agriculture, Female",,,,,,,,,,,,,,,,,
# Definition: Percent distribution of women employed in own land agriculture in the 12 months before the DHS survey.,,,,,,,,,,,,,,,,,
# Source: DHS Household Surveys,,,,,,,,,,,,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,,,,,,,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,,,,,,,,,,,,
