ISO,2004,2005,2006,2008,2009,2010
ARG,,,,,49.6,
ARM,,,,,12.7,
BOL,,,78.5,,,
BRA,,,,,45.9,
CHN,,,,,,35.5
COL,,,,,,62.7
CIV,,,,82.8,,
ECU,,,,,63.7,
EGY,,,,,23.1,
SLV,,,,,72.5,
IND,,,,,84.7,
IDN,,,,,72.9,
KGZ,,,,,47.4,
LBR,,,,,,72
MKD,,,,,,8.1
MUS,,,,,18.1,
MEX,,,,,57.8,
NAM,,,,47,,
NIC,,,,66.6,,
PAK,,,,,78.6,
PAN,,,,,46.5,
PRY,,,,,74.4,
PER,,,,,75.7,
PHL,,,,70.2,,
MDA,,,,,11.4,
SRB,,,,,,4.3
ZAF,,,,,,36.8
LKA,,,,,55.7,
TZA,,82.7,,,,
THA,,,,,,43.5
TUR,,,,,31.3,
UGA,,,,,,73.2
UKR,,,,,6.4,
VEN,,,,,47.4,
VNM,,,,,61.6,
ZMB,,,,76.1,,
ZWE,66.1,,,,,
AAE,,,,,,39.5
AME,,,,,59.2778,
LMA,,,,,50.3636,
ASE,,,,,73,
UMA,,,,,,31.8167
EAM,,,,,,35.5
LCM,,,,,57.8,
LMM,,,,,61.6,
SAM,,,,,78.6,
UMM,,,,,,35.5
EAE,,,,,,23.0658
LCE,,,,,39.4718,
LMW,,,,,58.6037,
SAE,,,,,72.5463,
UMW,,,,,,23.4872
# Series: ANAAFEIE,,,,,,
"# Name: Informal employment in all non-agricultural activities, Female",,,,,,
"# Definition: Informal employment in all non-agricultural activities, female (Share of informal employment by kind)",,,,,,
# Source: Informal Economy 2012 Country Data,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,
