ISO,2004,2005,2006,2008,2009,2010
ARG,,,,,100,
ARM,,,,,24.8,
BOL,,,72.4,,,
BRA,,,,,39.2,
CHN,,,,,,30
COL,,,,,,57
CIV,,,,60.5,,
ECU,,,,,58.8,
EGY,,,,,56.3,
SLV,,,,,60.1,
IND,,,,,83.3,
IDN,,,,,72.3,
KGZ,,,,,62.8,
LBR,,,,,,46.7
MKD,,,,,,15.2
MUS,,,,,14.9,
MEX,,,,,50.8,
NAM,,,,41.1,,
NIC,,,,64.9,,
PAK,,,,,75.8,
PAN,,,,,41.8,
PRY,,,,,67.9,
PER,,,,,65.1,
PHL,,,,69.9,,
MDA,,,,,20.8,
SRB,,,,,,7.5
ZAF,,,,,,29.5
LKA,,,,,65.2,
TZA,,72.8,,,,
THA,,,,,,41.2
TUR,,,,,29.7,
UGA,,,,,,67.7
UKR,,,,,12.4,
VEN,,,,,47.5,
VNM,,,,,65.4,
ZMB,,,,60.9,,
ZWE,42.7,,,,,
AAE,,,,,,35.6
AME,,,,,59.0222,
LMA,,,,,54.9364,
ASE,,,,,74.7667,
UMA,,,,,,30.0667
EAM,,,,,,30
LCM,,,,,58.8,
LMM,,,,,65.2,
SAM,,,,,75.8,
UMM,,,,,,29.5
EAE,,,,,,19.6276
LCE,,,,,38.4933,
LMW,,,,,59.0442,
SAE,,,,,71.3211,
UMW,,,,,,20.0387
# Series: ANAAMAIE,,,,,,
"# Name: Informal employment in all non-agricultural activities, Male",,,,,,
"# Definition: Informal employment in all non-agricultural activities, male (Share of informal employment by kind)",,,,,,
# Source: Informal Economy 2012 Country Data,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,
