ISO,2004,2005,2006,2008,2009,2010
ARG,,,,,100,
ARM,,,,,19.8,
BOL,,,75.1,,,
BRA,,,,,42.2,
CHN,,,,,,32.4
COL,,,,,,59.6
CIV,,,,69.7,,
ECU,,,,,60.9,
EGY,,,,,51.2,
SLV,,,,,66.4,
IND,,,,,83.6,
IDN,,,,,72.5,
KGZ,,,,,56.3,
LBR,,,,,,59.4
MKD,,,,,,12.4
MUS,,,,,16,
MEX,,,,,53.7,
NAM,,,,43.9,,
NIC,,,,65.7,,
PAK,,,,,78.4,
PAN,,,,,43.8,
PRY,,,,,70.7,
PER,,,,,69.9,
PHL,,,,70.1,,
MDA,,,,,15.9,
RUS,,,,,,100
SRB,,,,,,6.1
ZAF,,,,,,32.7
LKA,,,,,62.1,
TZA,,77,,,,
THA,,,,,,42.3
TUR,,,,,30.1,
UGA,,,,,,70.1
UKR,,,,,9.4,
VEN,,,,,47.5,
VNM,,,,,63.7,
ZMB,,,,66.7,,
ZWE,51.7,,,,,
AAE,,,,,,37.35
AME,,,,,61.6778,
LMA,,,,,53.9727,
ASE,,,,,74.7,
UMA,,,,,,30.9167
EAM,,,,,,32.4
LCM,,,,,60.9,
LMM,,,,,63.7,
SAM,,,,,78.4,
UMM,,,,,,32.4
EAE,,,,,,21.1308
LCE,,,,,40.4593,
LMW,,,,,59.0968,
SAE,,,,,71.7875,
UMW,,,,,,21.549
# Series: ANAATOIE,,,,,,
"# Name: Informal employment in all non-agricultural activities, Total",,,,,,
"# Definition: Informal employment in all non-agricultural activities, total (Share of informal employment by kind)",,,,,,
# Source: Informal Economy 2012 Country Data,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,
