ISO,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
AFG,0.09,0.1275,0.1525,0.1525,0.135,0.1475,0.1475,0.145,0.125,0.1175,0.1225,0.135,0.155
ALB,0.3325,0.2825,0.3025,0.305,0.295,0.265,0.2575,0.28,0.265,0.2775,0.255,0.2975,0.27
DZA,0.05,0.04,0.05,0.055,0.065,0.0525,0.0275,0.0275,0.02,0.0175,0.0175,0.015,0.015
AND,,,,,,,0.205,0.3475,0.36,0.0125,0.01,0.01,0.02
AGO,0.0475,0.0325,0.0225,0.025,0.02,0.02,0.02,0.03,0.03,0.0375,0.0375,0.05,0.05
ARG,0.0075,0.005,,,,,,0.005,0.0075,0.0075,0.0075,0.0075,0.0075
ARM,0.2375,0.2375,0.2675,0.31,0.32,0.3475,0.305,0.3625,0.2775,0.3475,0.265,0.37,0.2475
AUT,0.4025,0.365,0.365,0.4025,0.4025,0.425,0.4225,0.41,0.285,0.2825,0.25,0.34,0.31
AZE,0.245,0.21,0.1875,0.1375,0.12,0.125,0.14,0.165,0.16,0.1775,0.1675,0.19,0.18
BHR,0.0825,0.1675,0.1675,0.1675,0.1675,0.25,0.25,0.25,0.25,0.3325,0.3325,0.3325,0.3325
BGD,0.3975,0.4275,0.465,0.5125,0.55,0.565,0.5875,0.6325,0.6675,0.695,0.72,0.7175,0.7325
BLR,0.405,0.3775,0.38,0.42,0.375,0.3275,0.395,0.3925,0.3,0.22,0.285,0.3,0.2775
BEL,0.4025,0.365,0.375,0.4325,0.465,0.46,0.46,0.4175,0.38,0.375,0.3775,0.4225,0.4025
BLZ,0.1025,0.005,,,,0.015,,,,,,0.0025,
BEN,0.0325,0.0425,0.065,0.0775,0.0775,0.125,0.15,0.115,0.075,0.045,0.0625,0.0675,0.0475
BTN,0.175,0.29,0.225,0.2875,0.2525,0.315,0.355,0.3325,0.3775,0.45,0.52,0.5525,0.5275
BOL,0.05,,,,0.0025,0.01,0.0175,0.0275,0.015,,,0.01,0.0325
BIH,0.2875,0.2675,0.26,0.265,0.255,0.3025,0.3225,0.315,0.21,0.185,0.215,0.245,0.235
BWA,0.0025,,,,,,,,,,,,
BRA,0.035,0.0175,0.01,0.0125,0.0025,0.005,0.005,0.01,0.0025,0.0025,0.0025,0.005,0.0075
BRN,0.035,0.0075,0.01,0.005,0.015,0.0175,0.03,0.0175,0.015,0.0275,0.005,0.085,0.0775
BGR,0.405,0.3825,0.4075,0.43,0.415,0.4025,0.425,0.415,0.32,0.295,0.27,0.3225,0.295
BDI,0.1325,0.065,0.0475,0.035,0.0375,0.0725,0.0675,0.115,0.0375,0.05,0.065,0.135,0.15
KHM,0.005,,0.005,0.005,0.0175,0.055,0.0675,0.05,0.04,0.04,0.04,0.0825,0.115
CMR,0.0275,0.0175,0.0175,0.0175,0.03,0.05,0.06,0.0475,0.03,0.0275,0.04,0.03,0.025
CAN,0.1,0.0925,0.115,0.11,0.13,0.11,0.1075,0.09,0.0525,0.0375,0.025,0.02,0.01
CAF,0.0575,0.045,0.02,0.0275,0.0325,0.06,0.065,0.0625,0.09,0.0675,0.0425,0.03,0.0275
