ISO,2009,2010,2011,2012
AFG,1,4,9,8
AGO,26,32,37,42
ARG,74,73,76,81
ARM,17,23,28,35
AZE,8,13,20,24
BGD,15,18,24,27
BLR,24,32,36,45
BLZ,58,67,81,71
BEN,46,51,54,67
BTN,13,22,22,12
BOL,16,18,18,35
BWA,82,85,89,95
BFA,44,50,57,70
BDI,38,47,54,58
KHM,67,75,81,84
CMR,31,35,40,45
CPV,95,95,95,95
TCD,36,33,33,40
CHL,67,72,74,86
COL,26,47,46,55
COM,95,57,14,5
COG,20,35,39,39
CRI,70,69,73,74
CIV,33,33,37,49
CUB,95,95,95,95
COD,17,21,25,31
DJI,17,20,27,31
DOM,52,62,72,77
ECU,30,46,54,44
EGY,19,25,32,37
SLV,66,44,50,50
ERI,44,47,55,73
ETH,36,45,55,60
FJI,22,22,26,43
GAB,44,49,52,63
GMB,18,33,48,59
GEO,43,47,55,72
GHA,28,36,47,58
GTM,38,42,47,51
GIN,37,45,47,50
GNB,20,24,31,37
GUY,95,93,94,93
HTI,40,43,50,60
HND,45,49,54,58
IND,31,40,50,50
IDN,13,14,15,17
IRN,7,8,11,13
JAM,53,57,62,69
KEN,49,58,69,73
KGZ,19,36,27,23
LAO,40,44,47,51
LSO,44,50,51,54
LBR,22,33,45,43
MDG,1,1,1,1
MWI,40,47,58,69
MYS,32,42,40,42
MDV,24,16,26,26
MLI,42,47,54,52
MRT,26,30,32,35
MUS,18,17,34,36
MEX,66,67,73,82
MNG,5,13,15,5
MAR,34,36,41,49
MOZ,30,36,42,45
MMR,19,27,36,48
NAM,68,79,86,90
NPL,13,20,26,33
NIC,66,64,68,72
NER,26,30,37,46
NGA,22,25,29,32
PAK,11,12,13,14
PAN,52,55,56,76
PNG,53,55,66,79
PRY,62,76,65,73
PER,44,57,59,59
PHL,25,39,51,73
MDA,16,19,24,29
RWA,69,77,76,87
STP,27,30,37,44
SEN,59,55,55,62
SLE,17,24,33,33
SOM,5,7,9,12
ZAF,43,59,69,80
SSD,,4,6,8
LKA,20,24,28,34
SUR,55,59,65,66
SWZ,56,66,74,82
TJK,13,18,24,28
TZA,31,38,40,61
THA,76,72,78,76
TGO,28,40,46,46
TUN,79,67,68,55
UGA,37,42,49,64
UKR,16,22,26,41
URY,43,53,44,65
UZB,13,19,29,43
VEN,63,69,70,71
VNM,38,45,52,58
YEM,8,13,13,14
ZMB,57,64,73,79
ZWE,37,53,72,79
LIA,31.8788,36.2059,40.7941,46.4706
LMA,34.6842,38.7368,43.1316,48.6842
LIM,31,36,42,46
LMM,28,35,40,49
LIW,25.4905,31.1276,37.3133,43.6472
LMW,25.8542,32.1658,39.1172,42.1373
SSF,38.2336,46.7435,54.6868,63.2519
# Series: ARTVTHCV,,,,
"# Name: Antiretroviral therapy coverage, total",,,,
# Definition: Antiretroviral therapy coverage indicates the percentage of adults and children with advanced HIV infection currently receiving antiretroviral therapy among the estimated number of people needing antiretroviral therapy based on WHO 2010 guidelines.,,,,
# Source: Compiled by World Bank,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,
