ISO,2004,2005,2006,2008,2009,2010
ARG,,,,,16,
ARM,,,,,41.9,
BOL,,,14,,,
BRA,,,,,11.3,
CHN,,,,,,23.3
COL,,,,,,11.6
CRI,,,,,12.3,
CIV,,,,15.7,,
DOM,,,,,5.5,
ECU,,,,,14.9,
SLV,,,,,10.3,
ETH,22.6,,,,,
HND,,,,,6.3,
IND,,,,,37.2,
IDN,,,,,29.3,
KGZ,,,,,24.9,
LSO,,,,10.9,,
LBR,,,,,,21.1
MKD,,,,,,21.4
MDG,,46.2,,,,
MLI,6.8,,,,,
MUS,,,,,30.1,
MEX,,,,,7.9,
NAM,,,,15.5,,
NIC,,,,7.3,,
PAK,,,,,30.7,
PAN,,,,,4.4,
PRY,,,,,13.1,
PER,,,,,26.3,
PHL,,,,19.8,,
MDA,,,,,33.7,
RUS,,,,,,29.4
SRB,,,,,,23.3
ZAF,,,,,,34.2
LKA,,,,,39.3,
TZA,,22.1,,,,
THA,,,,,,42.8
TUR,,,,,37.1,
UGA,,,,,,31.8
UKR,,,,,29.2,
URY,,,,,13.6,
VEN,,,,,8,
VNM,,,,,41.1,
ZMB,,,,29.2,,
AAE,,,,,,33.05
AME,,,,,11.5308,
LMA,,,,,28.3727,
ASE,,,,,35.7333,
UMA,,,,,,26.1
EAM,,,,,,23.3
LCM,,,,,11.3,
LMM,,,,,30.7,
SAM,,,,,37.2,
UMM,,,,,,23.3
EAE,,,,,,15.5733
LCE,,,,,9.12247,
LMW,,,,,26.01,
SAE,,,,,31.6415,
UMW,,,,,,15.5238
# Series: AWESFEIE,,,,,,
"# Name: Agricultural wage employment, Female",,,,,,
"# Definition: Agricultural wage employment, female (Share of women in employment by type)",,,,,,
# Source: Informal Economy 2012 Country Data,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,
