ISO,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
ALB,,,,,,,,,,23,,,,,
ARM,,27.1,,,,,29.2,,,,,9,,,
AZE,,,,,,,,47.3,,,,,,,
BGD,,,,,,,,,23.7,,,,30.7,,
BEN,,,49.1,,,,,47.7,,,,,13.6,,
BOL,,,,,11.1,,,,,7.9,,,,,
BFA,,,,,55.5,,,,,,,34.2,,,
BDI,,,,,,,,,,,,39,,,
KHM,,,,,,,30.6,,,,,32.8,,,
CMR,,,,,,35.8,,,,,,,29.7,,
COL,,,,,,,,,,,,0.8,,,
COM,,,,,,,,,,,,,,26.6,
CIV,,,,,,,,,,,,,41.3,,
COD,,,,,,,,,55,,,,,,62.9
DOM,,,,3.1,,,,,1.7,,,,,,1.6
EGY,,,,,,,62.8,,,33.2,,,,,
ERI,,,,54,,,,,,,,,,,
ETH,,65.9,,,,,60.3,,,,,,58,,
GAB,,,,,,,,,,,,,,38.8,
GHA,,,,,45,,,,,32.9,,,,,
GIN,,,,,,,63.2,,,,,,,80.3,
GUY,,,,,,,,,,,11.4,,,,
HTI,,19,,,,,16.2,,,,,,,4.8,
HND,,,,,,,11.6,,,,,,10.7,,
IND,,,,,,,37.8,,,,,,,,
IDN,,,,9.2,,,,,12,,,,,11.1,
JOR,,,,9.1,,,,,23.8,,,,,12,
KEN,,,,,61.2,,,,,41.9,,,,,
KGZ,,,,,,,,,,,,,,18.2,
LSO,,,,,,51.9,,,,,45.5,,,,
LBR,,,,,,,,,43.9,,,,,,37.2
MDG,,,,,3.5,,,,,5.6,,,,,
MWI,,19.9,,,,12.8,,,,,,6.5,,,
MDV,,,,,,,,,,,22.6,,,,
MLI,,,61.5,,,,,50.1,,,,,,58.6,
MAR,,,,,76.9,,,,,,,,,,
MOZ,,,,,33.5,,,,,,,,17.1,,
NAM,,,,,,,,30.8,,,,,,,
NPL,,,8.2,,,,,10.7,,,,,,,
NIC,,,12.7,,,,,,,,,,,,
NER,,,,,,,,48.9,,,,,,51.5,
NGA,,,,,55.5,,,,,37.5,,,,,27
PAK,,,,,,,,,,,,,,45.5,
PER,,,,,,2.8,,,2.3,,3.2,2.7,1.2,2.2,
PHL,,,,,9,,,,,4.5,,,,,4.5
MDA,,,,,,,10.1,,,,,,,,
RWA,,10.9,,,,,6.8,,,,,41.5,,,
STP,,,,,,,,,,9.7,,,,,
SEN,,,,,,,61.7,,,,,65.9,,,
SLE,,,,,,,,,,54.5,,,,,56.1
SWZ,,,,,,,,26.7,,,,,,,
TJK,,,,,,,,,,,,,,45.1,
TZA,,,,,,50.5,,,,,,45.3,,,
TLS,,,,,,,,,,,59.1,,,,
TKM,,42.5,,,,,,,,,,,,,
UGA,,46.9,,,,,,55.8,,,,,34.1,,
UKR,,,,,,,,,2.5,,,,,,
ZMB,,,56.7,,,,,,39.1,,,,,,
ZWE,46,,,,,,39.1,,,,,25.3,,,
ASE,,,,,,,37.8,,,,,,,,
SAM,,,,,,,37.8,,,,,,,,
SAE,,,,,,,28.201,,,,,,,,
# Series: BEATRELQ,,,,,,,,,,,,,,,
"# Name: Women who believe a husband is justified in beating his wife when she argues with him (%), lowest income quintile",,,,,,,,,,,,,,,
"# Definition: Survey question; Percent of women ages 15-49 who believe a husband/partner is justified in hitting or beating his wife/partner when she argues with him, by household wealth index",,,,,,,,,,,,,,,
# Source: DHS Household Surveys,,,,,,,,,,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,,,,,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,,,,,,,,,,
