ISO,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
ALB,,,,,,,,,,25.6,,,,,
ARM,,11.5,,,,,0,,,,,26.2,,,
AZE,,,,,,,,55.2,,,,,,,
BGD,,,,,,,,,23.1,,,,27.4,,
BEN,,,46.2,,,,,41.9,,,,,13,,
BOL,,,,,11.7,,,,,9.3,,,,,
BFA,,,,,55.6,,,,,,,34.7,,,
BDI,,,,,,,,,,,,36.2,,,
KHM,,,,,,,29.3,,,,,31.4,,,
CMR,,,,,,35.4,,,,,,,31.4,,
COL,,,,,,,,,,,,0.9,,,
COM,,,,,,,,,,,,,,18.1,
CIV,,,,,,,,,,,,,38.9,,
COD,,,,,,,,,50.6,,,,,,58.7
DOM,,,,3.1,,,,,1.8,,,,,,3.3
EGY,,,,,,,57,,,28.2,,,,,
ERI,,,,55.1,,,,,,,,,,,
ETH,,65.6,,,,,64.3,,,,,,55.6,,
GAB,,,,,,,,,,,,,,37.1,
GHA,,,,,43.4,,,,,30.6,,,,,
GIN,,,,,,,61,,,,,,,81.7,
GUY,,,,,,,,,,,7.6,,,,
HTI,,14,,,,,12.9,,,,,,,3.9,
HND,,,,,,,12.4,,,,,,11.4,,
IND,,,,,,,38.1,,,,,,,,
IDN,,,,8,,,,,12.3,,,,,9.2,
JOR,,,,21,,,,,48.3,,,,,20.7,
KEN,,,,,61.4,,,,,43.1,,,,,
KGZ,,,,,,,,,,,,,,6.6,
LSO,,,,,,45.7,,,,,37.9,,,,
LBR,,,,,,,,,47.8,,,,,,35
MDG,,,,,3.4,,,,,6.4,,,,,
MWI,,17.2,,,,11.4,,,,,,4.8,,,
MDV,,,,,,,,,,,24.6,,,,
MLI,,,63.6,,,,,51.3,,,,,,59.7,
MAR,,,,,66.1,,,,,,,,,,
MOZ,,,,,36.6,,,,,,,,16.5,,
NAM,,,,,,,,29.2,,,,,,,
NPL,,,9.4,,,,,10.6,,,,,,,
NIC,,,10.7,,,,,,,,,,,,
NER,,,,,,,,48.4,,,,,,51.4,
NGA,,,,,55.8,,,,,37,,,,,26.3
PAK,,,,,,,,,,,,,,44,
PER,,,,,,3.9,,,3.4,,3.5,3.1,1.4,2.1,
PHL,,,,,5,,,,,7.8,,,,,9.3
MDA,,,,,,,8.5,,,,,,,,
RWA,,14.9,,,,,8.3,,,,,42.5,,,
STP,,,,,,,,,,7.3,,,,,
SEN,,,,,,,55.6,,,,,53.6,,,
SLE,,,,,,,,,,58.6,,,,,55
SWZ,,,,,,,,23.9,,,,,,,
TJK,,,,,,,,,,,,,,52.9,
TZA,,,,,,48.1,,,,,,46.5,,,
TLS,,,,,,,,,,,65.3,,,,
TKM,,44.7,,,,,,,,,,,,,
UGA,,44.2,,,,,,47.4,,,,,30.7,,
UKR,,,,,,,,,0,,,,,,
ZMB,,,54.2,,,,,,38.6,,,,,,
ZWE,43,,,,,,46.8,,,,,25.4,,,
ASE,,,,,,,38.1,,,,,,,,
SAM,,,,,,,38.1,,,,,,,,
SAE,,,,,,,28.4248,,,,,,,,
# Series: BEATRENE,,,,,,,,,,,,,,,
"# Name: Women who believe a husband is justified in beating his wife when she argues with him (%), no education",,,,,,,,,,,,,,,
"# Definition: Survey question; Percent of women ages 15-49 who believe a husband/partner is justified in hitting or beating his wife/partner when she argues with him, by highest educational level of respondent",,,,,,,,,,,,,,,
# Source: DHS Household Surveys,,,,,,,,,,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,,,,,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,,,,,,,,,,
