ISO,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
ALB,,,,,,,,,,5.5,,,,,
ARM,,14.2,,,,,14.7,,,,,5.1,,,
AZE,,,,,,,,30.8,,,,,,,
BGD,,,,,,,,,18.9,,,,17.2,,
BEN,,,16.7,,,,,13.1,,,,,6,,
BOL,,,,,3.5,,,,,3.7,,,,,
BFA,,,,,25.2,,,,,,,13.2,,,
BDI,,,,,,,,,,,,17,,,
KHM,,,,,,,21.2,,,,,14.2,,,
CMR,,,,,,16.9,,,,,,,13.5,,
COL,,,,,,,,,,,,0.2,,,
COM,,,,,,,,,,,,,,14.4,
CIV,,,,,,,,,,,,,22.4,,
COD,,,,,,,,,42.7,,,,,,55.8
DOM,,,,0.5,,,,,0.4,,,,,,0.3
EGY,,,,,,,21,,,6.4,,,,,
ERI,,,,20.1,,,,,,,,,,,
ETH,,28.3,,,,,27.1,,,,,,15.5,,
GAB,,,,,,,,,,,,,,22.9,
GHA,,,,,21.3,,,,,16.9,,,,,
GIN,,,,,,,43.8,,,,,,,64.4,
GUY,,,,,,,,,,,5.5,,,,
HTI,,3.8,,,,,4.2,,,,,,,1.6,
HND,,,,,,,2.2,,,,,,1.9,,
IND,,,,,,,22.2,,,,,,,,
IDN,,,,4,,,,,5.5,,,,,4.8,
JOR,,,,2.1,,,,,14,,,,,5.1,
KEN,,,,,27,,,,,20.3,,,,,
KGZ,,,,,,,,,,,,,,16.7,
LSO,,,,,,25.8,,,,,18.9,,,,
LBR,,,,,,,,,36.6,,,,,,26.4
MDG,,,,,2.2,,,,,4.8,,,,,
MWI,,11.7,,,,9.2,,,,,,3.5,,,
MDV,,,,,,,,,,,12.1,,,,
MLI,,,42,,,,,34.3,,,,,,51.6,
MAR,,,,,24.5,,,,,,,,,,
MOZ,,,,,20.6,,,,,,,,4.9,,
NAM,,,,,,,,11.3,,,,,,,
NPL,,,5,,,,,4.3,,,,,,,
NIC,,,2.1,,,,,,,,,,,,
NER,,,,,,,,29.7,,,,,,37.3,
NGA,,,,,29.6,,,,,18.2,,,,,15.8
PAK,,,,,,,,,,,,,,15.6,
PER,,,,,,0.5,,,0.6,,0.8,0.6,0.4,0.5,
PHL,,,,,4.3,,,,,2.5,,,,,2.6
MDA,,,,,,,5,,,,,,,,
RWA,,6.2,,,,,3,,,,,15.2,,,
STP,,,,,,,,,,5.1,,,,,
SEN,,,,,,,29.9,,,,,26.2,,,
SLE,,,,,,,,,,38.3,,,,,35.9
SWZ,,,,,,,,12.4,,,,,,,
TJK,,,,,,,,,,,,,,39.3,
TZA,,,,,,26.5,,,,,,23.4,,,
TLS,,,,,,,,,,,62.3,,,,
TKM,,33.6,,,,,,,,,,,,,
UGA,,22.6,,,,,,24.6,,,,,19,,
UKR,,,,,,,,,0.9,,,,,,
ZMB,,,40.5,,,,,,36.8,,,,,,
ZWE,25.1,,,,,,19.7,,,,,12.4,,,
ASE,,,,,,,22.2,,,,,,,,
SAM,,,,,,,22.2,,,,,,,,
SAE,,,,,,,16.5625,,,,,,,,
# Series: BEATRESE,,,,,,,,,,,,,,,
"# Name: Women who believe a husband is justified in beating his wife when she argues with him (%), secondary or higher",,,,,,,,,,,,,,,
"# Definition: Survey question; Percent of women ages 15-49 who believe a husband/partner is justified in hitting or beating his wife/partner when she argues with him, by highest educational level of respondent",,,,,,,,,,,,,,,
# Source: DHS Household Surveys,,,,,,,,,,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,,,,,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,,,,,,,,,,
