ISO,2000,2001,2002,2004,2005,2006,2007,2008,2009,2010,2011
AFG,,,,,,,,,4,4,
ALB,,,,,,,29,,28,,
DZA,,,,17,,,,,,,
AND,,,,,,,26,,25,,
AGO,,,,,8,,,,,,
ATG,,,,,,,,,22,22,
ARG,41,,,,,,,,,45,
ARM,,,,,,,41,,37,,
AUS,,,,,,,,,38,,
AUT,,,,,,,,77,77,,
AZE,,,,,,,79,,75,,
BHS,,,,,,,,31,31,,
BHR,,,,,,,,19,18,,
BGD,,,,,3,,,,,,
BRB,,,,,,,,76,68,,
BLR,,,,,,,112,,111,,
BEL,,,,,,,,,66,65,
BLZ,,,,,,,,,11,12,
BEN,,,,,5,,,,,5,
BTN,,,,,,17,,,,,18
BOL,,,,,,,,,11,,
BIH,,,,,30,,,,34,,
BWA,,,,,,,,18,,18,
BRA,,,,,,,,,24,24,
BRN,,,,,,,,27,26,,
BGR,,,,,,,,65,66,,
BFA,,,,,,9,,,,4,
BDI,,,,,,7,,,,,19
CMR,,,,,,15,,,,13,
CAN,,,,,,,,34,32,,
CPV,,,,,,,,21,,21,
CAF,,,,,,12,,,,,10
TCD,,,,,4,,,,,,
CHL,,,,,,,,,21,21,
CHN,,,,,,,,,42,,
COL,,,,,,,10,,,,
COM,,,,,,22,,,,,
COG,,,,,16,,,,,,
COK,,,,,63,,,,,,
CRI,,,,,,,,12,,12,
CIV,,,,,,4,,,,,
HRV,,,,,,,55,,54,,
CUB,,,,,,,,,59,59,
CYP,,,,,,37,,38,,,
CZE,,,,,,,,72,71,,
PRK,,,132,,,,,,,,
COD,,,,,,8,,,,,
DNK,,,,,,,,36,35,,
DJI,,,,,,,,,,14,
DMA,,,,,,,,,38,38,
DOM,,,,,,,,,10,16,
ECU,,,,,,,,15,15,,
EGY,,,,,,,,,17,17,
SLV,,,,,,,,,11,10,
GNQ,,,,,,,,,19,21,
ERI,,,,,,12,,,,,7
EST,,,,,,,,57,54,,
ETH,,,,,,,,2,,,63
FJI,,,,,,,,21,21,,
FIN,,,,,,,,65,62,,
FRA,,,,,,,,71,69,,
GAB,,,,,,,,13,,63,
GMB,,,,,,,,,11,,11
GEO,,,,,,,33,,31,,
DEU,,,,,,,,82,82,,
GHA,,,,,,,,,9,,9
GRC,,,,,,,,48,48,,
GRD,,,,,,,,,24,,
GTM,,,,,,,,,6,6,
GIN,,,,,3,,,,,,3
GNB,,,,,,,,,10,,
GUY,,,,,,,19,,20,,
HTI,,,,,,,13,,,,
HND,,,,,,,,,8,8,
HUN,,,,,,,,70,71,,
ISL,,,,,,,58,,,,
IND,,,,,9,,,,,,
IDN,,,6,,,,,,,6,
IRN,,,,,,14,,,17,,
IRQ,,,,,,,,,13,13,
IRL,,,,,,,52,49,,,
ISR,,,,,,,58,,,35,
ITA,,,,,,,,37,36,,
JAM,,,,,,,,,17,19,
JPN,,,,,,,,138,137,,
JOR,,,,,,,,,18,18,
KAZ,,,,,,,77,,76,,
KEN,,,,14,,,,,,14,
KIR,,,,,,,,,15,14,
KWT,,,,,,,,18,20,,
KGZ,,,,,,,51,,,,
LAO,,,,,12,,,,,7,
LVA,,,,,,,,,64,,
LBN,,,,,,,,,35,,
LSO,,,,,,13,,,,,
LBR,,,,,,,,,7,8,
LBY,,,,,,,,,37,,
LTU,,,,,,,,68,68,,
LUX,,,,,,,,56,56,,
MKD,,,,,,46,,,45,,
MDG,,,,,3,,,,,2,
MWI,,,,,,,11,,,,13
MYS,,,,,,,,,18,18,
MDV,,,,,26,,,,43,,
MLI,,,,,,,,6,,1,
MLT,,,,,,,,,49,45,
MHL,,,,,,,,,27,27,
MRT,,,,,,4,,,,,
MUS,,,,,,,,33,,,34
MEX,,,,,,,,16,16,,
FSM,,,,,,,,,32,,
MNG,,,,,,,,,59,58,
MNE,,,,,,,40,,39,,
MAR,,,,,,,,,11,,
MOZ,,,,,,,8,,,,7
MMR,,,,,,6,,,,,
NAM,,,,,,,,,27,,
NRU,,,,,,,35,,,50,
NPL,,,,,,50,,,,,
