ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
AFG,,,,,,12.4,,,14.3,,,18.9,,24,,,38.6
ALB,89.1,91.2,98.8,99.1,99,99.1,99,98,98.8,99.3,99.8,99,,,99.3,,
DZA,,,,,,92.6,,95.9,,,,95.2,,,,,
AGO,,22.5,,,,,44.7,,,,,,47.3,,,,
ATG,100,100,,100,,99.9,100,99,99,100,99.9,99.9,100,100,,,
ARG,,,97.2,97.5,97.5,,,98.9,98.7,98.7,99.1,99.4,99.4,94.8,97.9,94.9,
ARM,93.1,95.7,96.4,97.4,97.3,96.8,98.4,98.8,99.2,99.5,97.8,99.7,99.9,99.9,,99.5,
AUS,,,,,100,,,,100,,,,,,,,
AZE,99.7,99.7,99.8,99.8,99.7,84.1,88,,,,,88,,,,,
BHS,99,,99,99,99,99,,99,,99,,99,99,,,,
BHR,97.6,,,,,,,,,,99,,,97.4,,,
BGD,,,8,,,12.1,11.6,,13.9,13.2,,20.1,18,,24.4,26.5,31.7
BRB,100,,,,91,98,,,100,100,100,100,100,,,,
BLR,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,100,99.9,99.9,99.9,99.9,,
BEL,,,,,99.3,,,,,,,,,,,,
BLZ,79,,,79,83.8,100,,97,,87.8,89.3,95.8,94.6,94.9,,94.3,
BEN,,59.8,,,,,65.5,,,,75,74,,,,,
BTN,,,,,,23.7,,,56.1,,,,71.4,,,64.5,
BOL,,,,59.3,,68.8,,65.1,66.8,,,,,71.1,,,
BIH,,98.9,99.1,99.5,99.7,99.6,99.8,99.8,99.7,99.9,100,99.6,,,,,
BWA,,87,,,,94.2,,,,,,,94.6,,,,
BRA,,87.6,,,,,96.5,,96.6,,,97,,,,,
BRN,,,,,99,,,,,99.6,99.7,,,,99.9,,
BGR,98.9,99.9,99.9,99.9,99,99.8,98.9,99.2,99.2,99.4,99.4,99.4,99.6,99.6,99.6,,
BFA,,,,,30.9,,,,37.8,,,53.5,,,,65.9,
BDI,,,,,,25.2,,,,,33.6,,,,,60.3,
KHM,,,,34,,31.8,,,,,43.8,,,,,71,
CMR,,,,58.2,,60,,,,61.8,,63,,,,,63.6
CAN,98,,,,,,98.3,,,100,,,100,,,,
CPV,54,,,88.5,,,,,,,77.5,,,,,,
CAF,45.9,,,,,44.1,,,,,,53.4,,,43.7,53.8,
TCD,,,15,,,16.3,,,,14.4,,,,,,22.7,
CHL,99.5,99.6,99.6,99.7,,,99.8,99.8,,99.8,99.8,99.8,99.7,99.9,99.8,,
CHN,89.3,93.1,93.8,,96.8,96.6,97.3,96.7,95.9,97.3,97.5,97.8,98.4,99.1,99.3,99.6,
COL,84.6,,,,,86.4,,,,,96.4,,,,,97.7,99.3
COM,,51.6,,,,61.8,,,,,,,,,,,
COG,,,,,,,,,,,83.4,,,,,,
CRI,,,,98,98.2,,98,,,98.5,,,,99.1,99.2,99.3,
CIV,,,,,47.1,62.8,,,,68,55.1,56.8,,,,,
HRV,99.9,99.8,99.9,99.8,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,
CUB,,,,,99.9,,99.9,,,99.9,99.9,,99.9,99.9,99.9,99.9,99.9
CYP,,,,,,,,,99,,,,,,,,
CZE,100,100,100,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,,
PRK,,,,,,96.7,,,,97.1,,,,,100,,
COD,,,,,,,60.7,,,,,,74,,,80.4,
DJI,,,,,,,,,60.6,,,92.9,,,,,
DMA,100,,,95,99.9,100,100,100,100,100,99,,94,100,,,
DOM,,95.5,,,96,97.6,,98.7,,,,95.9,97.8,,,,
ECU,,,,,99.1,,,,,98.2,,,,,,,
EGY,46.3,,56.4,55.2,,60.9,,,69.4,,74.2,,,78.9,,,
SLV,,,,90.4,,,,,92.4,,,,,95.5,,,
GNQ,,,,,,64.6,,,,,,,,,,,
ERI,20.6,,,,,,,28.3,,,,,,,,,
EST,99.5,99.6,99.5,99.6,99.6,99.7,99.7,99.6,99.7,99.8,99.8,99.8,,,,,
ETH,,,,,,5.6,,,,,5.7,,,,,,10
FJI,,,,100,,99,,99,,,,,,99,,99.7,
FIN,,,,,,,,,99.9,,,,,,,,
GAB,,,,,,85.5,,,,,,,,,,,
GMB,,,,,,54.7,,,,,,56.8,,,,56.6,
GEO,,,,96,96.9,95.7,96.7,97.4,99,99.7,98.3,99.8,99.8,99.8,99.9,,
DEU,,,,,,,,,,,,100,,,,,
GHA,,,,44.3,,,,,47.1,,,49.7,55.2,57.1,,,68.4
GRD,100,,,99,99,100,,100,,,100,,98.8,,,,
GTM,34.8,,,,40.6,,,41.4,,,,,,,51.5,,
GIN,,,,,34.8,,,,55.5,,38,,46.1,,,,
GNB,25,,,,,34.7,,,,,,38.8,,,,44,
GUY,93,,95,94,,85.6,93.8,,94,,94,83.3,83.3,,91.9,,
HTI,20.6,,,,,23.8,,,,,,26.1,,,,,
HND,,54.9,,,,,55.7,,,,,66.9,,,,,
HUN,99.4,99.5,99.5,99.5,99.5,99.5,99.6,99.6,99.6,99.6,99.6,99.7,99.6,99.5,99.6,,
IND,,,,,42.3,42.5,,,,,,46.6,,52.3,,,
IDN,49.7,,43.2,56,,66.9,,68.4,66.3,71.5,,,79.4,74.9,,82.2,
IRN,,,86.1,,,89.6,,,,,97.3,,,,,,
IRQ,,,,,,72.1,,,,,,88.5,79.7,,,,
IRL,,,,,,,,100,100,,,,,,,,
ITA,,,,,,,,,99,,,,,,,,
JAM,,90,94.6,,,95.9,98.5,96.9,97.4,,96.7,94.5,,98.3,,,
JPN,,100,,,,,,,,99.8,,,,,,,
JOR,,,96.7,,,,,99.5,,,,,99.1,,,,
KAZ,99.6,98.1,97.6,98,99.1,98.3,98.5,98.9,99.4,99.4,99.4,99.8,99.5,99.8,,,
KEN,,,,44.3,,,,,41.6,,,,,,43.8,,
KIR,,,,85,,,,88.9,,,63,,,65,79.8,,
KWT,,98.1,,,,,,100,,,,,100,,,,
KGZ,98,98.1,98.1,98.5,98.5,98.6,98.7,98.8,98.9,98.2,97.9,97.6,98.4,98.5,98.5,,
LAO,,,,,,,19.4,,,,,20.3,,,,37,
LVA,100,100,100,100,100,100,99,100,99,100,100,100,,,,,
LBN,,98,,,,,,,,98,,,,,,,
LSO,,,,,,59.8,,,,55.4,,,,,61.5,,
LBR,,,,,,50.9,,,,,,,46.3,,,,
LBY,94.4,,,,99,,,,,,,,,99.8,,,
LTU,100,100,100,100,100,100,100,100,100,100,100,100,,,,,
LUX,,,,,,,,99.9,99.9,,,,,,,,
MKD,94.1,95,95.6,96.6,97,97.7,97.6,98.2,98.9,99,98.1,99,99.6,99.7,99.8,,
MDG,,,47.3,,,46.2,,,,51.3,,,,,43.9,,
MWI,,,,,,55.6,,60.5,,56.1,,53.6,,,,71.4,
MYS,96.1,,,96.2,,96.6,96.8,97,97.4,,98,,98.6,,98.6,,
MDV,,,,,,,70.3,,,84,,,,,94.8,,
MLI,,40,,,,,40.6,,,,,49,,,,,
MLT,,,,,,,,,,,,100,,,,,
MHL,,,,94.9,,,,95,,,,,86.2,,,99,
MRT,,,,,,,56.9,,,,,,60.9,,,,
MUS,,,,98.6,98.5,,,,98.4,,99.2,,,,,,
MEX,,,85.7,,,,,,95,,,93.4,93.7,,95.3,,
FSM,,,,,92.8,,87.7,,,,,,,92,100,,
MNG,,,,93.6,,96.6,,,97.3,99.7,99.2,,,99.4,,98.8,
MNE,,,,,,99.1,99.5,99.7,99.7,99.6,,98.8,100,,100,,
MAR,39.6,,,,,,,,,62.6,,,,,,,73.6
MOZ,,,44.2,,,,,,47.7,,,,,55.3,,,
MMR,,,56.4,,,,57,,67.5,,,,63.9,,,70.6,
NAM,,,,,,75.5,,,,,,,81.4,,,,
NPL,,9,,,,11.9,10.9,,,19.8,,18.7,,,,,36
NLD,,,,100,,,,,100,,,,,,,,
NZL,100,,,,,,96.6,,,,,,,,,,
NIC,,,,64.6,,,66.9,,,,,,73.7,,,,
NER,,,,17.6,,15.7,,,,,,17.7,,,,,
NGA,,,,,41.6,,,,35.2,,,,,38.9,,,
OMN,91.1,,,,,94.7,,,,,98,98.1,98.6,,99,,
PAK,,,18,,18,,23,23,,,31,,38.8,,,,43
PLW,,,,100,,,,100,,,,,100,100,,100,
PAN,88.3,89.9,89.5,90,,,,,92.5,91.3,91.1,91,91.5,,88.5,,
PNG,42,53.2,,,,41,39,,,42,,53,,,,,
PRY,,60.8,,60.8,,,,,,77.1,,,,81.9,,,
PER,,56.4,,,,59.3,,,,73.4,,71,,,82.5,83.8,85
PHL,,,,56.4,46.1,58,,,59.8,,,,,62,,,72.2
POL,99.6,99.7,99.7,99.7,99.7,99.8,99.8,99.8,99.8,99.8,99.9,,,,,,
PRT,,,,99.7,,99.7,99.9,,,,,,,,,,
QAT,,98.2,,99,,,,100,,,,,,,100,,
KOR,,,100,,,,,,100,,,,,,,,
MDA,100,100,100,98,98,98,99,99.6,99.4,99.3,99.5,99.6,99.6,99.5,99.7,,
ROU,99.1,99,98.3,99,99,99,96.5,98.5,,98.9,98.1,98.2,98.8,98.7,98.5,,
RUS,99.1,99.1,99.1,99.1,99.1,99.2,99.3,99.3,99.4,99.3,99.4,99.5,99.6,99.6,99.7,,
RWA,,,,,,31.3,,,,,38.6,,,52.1,,69,
KNA,100,,,99.4,,99.4,,99.5,,100,100,,100,100,,,
LCA,100,,99.7,,,100,,98,99,100,100,97.9,100,,,,
VCT,100,,,98,99.3,100,100,100,,,100,,100,99.2,,,
WSM,,,,100,,,,,,100,,,,,80.8,,
STP,,,,,,78.6,,,76.4,,,80.7,,,81.7,,
SAU,,91.4,,,,,,,,96,,,,97,,,
SEN,,,46.6,,48.3,57.8,,58,,,51.9,,,,,,65.1
SRB,,,,,,98,98.2,98.1,98.5,98.7,,99,99.2,,,99.7,
SLE,,,,,,41.7,,,,,43.2,,,42.4,,62.5,
SGP,,,,100,,,,,,99.7,,,,,,,
SVK,100,100,100,100,100,100,99.4,99.4,,99.5,99.5,99.5,99.2,99.5,99.5,,
SVN,99.7,99.8,99.7,99.8,99.8,99.9,99.9,99.8,99.9,99.8,99.9,99.9,99.9,99.9,99.9,,
SLB,,,,,85,,,,,,,,85.5,,,,
SOM,,,,,34.2,,,24.8,,,,33,,,,,
ZAF,82,,,84.4,,,,,91.2,,,,,,,,
SSD,,,,,,,,,,,,,,,,19.4,
LKA,,,,,,96,,,,,,,98.6,,,,
SDN,,,,,,,,,,,,49.2,,,,23.1,
SUR,80,,,,,84.5,,90,,90,,89.8,,,,,
SWZ,,,,,,70,,74,,,,74.3,69,,,82,
CHE,,,,,,,,,,,,100,,,,,
SYR,,,,,,,,,,89.7,,93,,,96.2,,
TJK,80.9,79,72.6,74.1,66.6,71.1,,,,,83.4,,88.4,,83,87.7,
TZA,,38.2,,,35.8,,,,,,43.4,,,,,48.9,
THA,,,,,,99.3,,,,,,97.3,,,99.5,,
TLS,,,25.8,,,,,23.7,18.4,,,,,,,29.3,
TGO,,,,50.5,,48.6,,,60.8,,,62,,,,59.4,
TON,,,,,,95.3,95,,,98,,,,98,,98.4,
TTO,99,,99,,99.1,96,99.5,96.6,99.7,99.6,,97.8,,,,,
TUN,80.5,,,,,89.9,,,,,,94.6,,,,,
TUR,,,,80.6,,,,,83,,,,89.3,91.3,95,,
