ISO,2012,2013,2014
AUS,14.37,14.37,14.37
AUT,14.15,14.15,14.15
BEL,15.47,15.47,15.47
BRA,0,14.61,14.75
CAN,14.15,14.15,14.15
CHL,0,13.34,14.16
CZE,0,14.07,14.76
DNK,16.06,16.06,16.06
EST,13.85,13.85,14.43
FIN,0,14.66,14.66
FRA,14.9,14.9,14.9
DEU,15.31,15.31,15.31
GRC,0,14.4,14.69
HUN,0,14.67,14.82
ISL,0,13.77,14.37
IRL,0,14.97,14.97
ISR,0,13.5,14.24
ITA,14.08,14.08,14.32
JPN,13.61,13.61,14.88
LUX,0,14.83,14.9
MEX,0,12.27,13.63
NLD,0,15.49,15.23
NZL,14.93,14.93,14.93
NOR,15.67,15.67,15.67
POL,13.83,13.83,13.83
PRT,0,14.47,14.72
KOR,14.07,14.07,14.07
RUS,0,14.61,14.75
SVK,0,14.54,14.76
SVN,14.12,14.12,14.12
ESP,15.28,15.28,15.52
SWE,15.3,15.3,15.3
CHE,0,14.54,14.76
TUR,0,11.27,13.13
GBR,14.83,14.83,14.6
USA,14.12,14.12,14.12
HIA,8.69063,14.5403,14.7241
HIM,13.85,14.47,14.72
HWW,10.8104,13.5772,27.4756
# Series: BLIXTLPF,,,
"# Name: BLI Time devoted to leisure and personal care, female",,,
"# Definition: This indicator measures the amount of minutes (or hours) per day that, on average, full-time employed people spend on leisure and on personal care activities.",,,
# Source: OECD Better Life Index,,,
# Data from the No Ceilings project: http://noceilings.org,,,
"# For more about the data, please visit http://noceilings.org/data",,,
