ISO,2012,2013,2014
AUS,14.43,14.43,14.43
AUT,14.6,14.6,14.6
BEL,15.82,15.82,15.82
BRA,0,14.99,15.12
CAN,14.33,14.33,14.33
CHL,0,13.86,14.57
CZE,0,14.51,15.13
DNK,16.06,16.06,16.06
EST,14.54,14.54,15.33
FIN,0,15.03,15.04
FRA,15.55,15.55,15.55
DEU,15.36,15.36,15.36
GRC,0,14.8,15.07
HUN,0,15.04,15.19
ISL,0,14.24,14.77
IRL,0,15.31,15.33
ISR,0,14.01,14.65
ITA,15.19,15.19,15.32
JPN,14.12,14.12,14.98
LUX,0,15.18,15.27
MEX,0,12.92,14.08
NLD,0,15.76,15.57
NZL,14.83,14.83,14.83
NOR,15.5,15.5,15.5
POL,14.37,14.37,14.37
PRT,0,14.86,15.1
KOR,14.97,14.97,14.97
RUS,0,14.99,15.12
SVK,0,14.93,15.13
SVN,15.08,15.08,15.08
ESP,16.21,16.21,16.41
SWE,15.01,15.01,15.01
CHE,0,14.93,15.13
TUR,0,12.04,13.61
GBR,14.83,14.83,15
USA,14.39,14.39,14.39
HIA,8.91219,14.925,15.1006
HIM,14.37,14.93,15.08
HWW,11.1167,13.9574,28.1732
# Series: BLIXTLPM,,,
"# Name: BLI Time devoted to leisure and personal care, male",,,
"# Definition: This indicator measures the amount of minutes (or hours) per day that, on average, full-time employed people spend on leisure and on personal care activities.",,,
# Source: OECD Better Life Index,,,
# Data from the No Ceilings project: http://noceilings.org,,,
"# For more about the data, please visit http://noceilings.org/data",,,
