ISO,1990,1995,2000,2005,2010
AFG,582.68,621.27,621.97,430.41,227.46
ALB,34.22,15.75,5.6,2.67,2.1
DZA,107.31,67.75,41.9,23.76,13.75
AND,0.6,0.4,0.31,0.27,0.16
AGO,997.88,970.74,716.22,369.09,236.93
ATG,13.61,12.88,5.97,4.27,2.34
ARG,35.04,19.63,10.58,6.64,5.27
ARM,112.26,99.19,45.94,23.57,14.86
AUS,0.4,0.41,0.38,0.35,0.23
AUT,0.23,0.13,0.17,0.32,0.37
AZE,176.69,162,106.8,59.71,30.3
BHS,17.28,7.14,2.68,3.85,2.46
BHR,5.58,4.59,2.73,2.5,1.41
BGD,545.65,371.09,185.84,104.33,65.65
BRB,11.23,6.37,4.75,5.66,3.28
BLR,8.34,8.07,6.61,4.56,2.76
BEL,1.62,1.09,0.9,0.73,0.54
BLZ,80.12,41.22,32.66,26.98,22.2
BEN,528.05,367.63,295.98,172.7,120.61
BTN,475.25,280.62,168.43,102.62,61.41
BOL,751.57,544.23,355.51,236.63,178.25
BIH,14.69,9.87,4.6,2.29,1.68
BWA,279.18,277.71,267.9,172.74,88.9
BRA,222.54,130.79,66.32,34.55,20.62
BRN,4.36,3.45,3.28,3.74,3.06
BGR,8.03,6.87,6.69,4.37,3.11
BFA,1348.33,1078.09,732.04,652.5,789.65
BDI,766.34,587.22,484.67,441.81,335
KHM,398.51,400.2,344.95,153.67,82.18
CMR,540.06,526.46,428.01,284.86,244.26
CAN,0.47,0.35,0.43,0.56,0.4
CPV,307.09,240.67,146.33,100.71,73.01
CAF,642.35,633.79,587.52,474.01,443.89
TCD,1409.97,1293.8,1210.65,967.24,908.59
CHL,11.67,4.44,2.28,1.33,1.08
CHN,39.78,30.07,16.01,5.82,2.43
COL,104.76,83.39,48.65,35.51,25.96
COM,265.43,193.59,149.74,106.43,89.77
COG,207.47,226.71,233.32,184.39,145.99
CRI,24.63,17.02,11.08,6.59,4.4
CIV,988.24,933.22,639.7,585.39,605.74
HRV,2.51,1.94,1.2,0.73,0.55
CUB,14.09,8.46,3.99,2.57,1.92
CYP,1.56,0.95,0.6,0.43,0.35
CZE,0.93,0.49,0.26,0.27,0.24
PRK,32.62,24.97,21.1,15.53,11.89
COD,576.65,624.2,554.13,437.82,486.89
DNK,1.04,0.55,0.44,0.41,0.31
DJI,321.67,268.79,189.15,141.14,115.11
DMA,9.16,7.19,4.48,3.85,3.57
DOM,279.04,170.41,76.2,53.78,38.9
ECU,232.14,144.97,88.59,47.49,26.82
EGY,499.46,313.66,146.78,81.72,50.23
SLV,325.44,207.45,101.54,43.8,24.21
GNQ,678.52,608.52,445.49,252.6,180.78
ERI,744.88,431.59,298.13,251.26,213.86
EST,5.59,2.84,1.58,0.88,0.53
ETH,561.3,436.99,341.06,240.12,154.35
FJI,25.42,22.33,26.69,31.37,30.06
FIN,1,0.57,0.4,0.43,0.29
FRA,1.78,1.26,1.36,0.94,0.78
GAB,161.72,129.57,100.28,89.8,67.66
GMB,451.05,333.76,258.91,182.44,134.08
GEO,43.94,41,22.49,10.29,7.15
DEU,0.72,0.31,0.31,0.33,0.33
GHA,348.23,257,186.43,92.32,52.09
GRC,0.48,0.24,0.16,0.13,0.11
GRD,16.97,8.41,7.64,5.66,3.61
GTM,507.84,333.5,241.19,175.63,108.54
GIN,606.79,445.27,363.09,183.83,159.39
GNB,927.91,814.84,760.93,540.68,419.75
GUY,280.19,204.72,136.73,122.38,94.03
HTI,1023.23,649.28,383.84,273.06,220.08
HND,377.2,262.51,180.83,107.17,76.29
HUN,0.83,0.67,0.52,0.39,0.28
ISL,0.62,0.45,0.27,0.2,0.17
IND,379.44,284.35,171.74,122.24,102.97
IDN,251.34,142.49,182.9,177.2,120.2
IRN,63.04,31.28,16.12,10.97,7.23
IRQ,135.88,134.5,98.41,76.56,60.84
IRL,0.47,0.33,0.4,0.35,0.36
ISR,3,1.41,1.04,0.73,0.51
ITA,0.45,0.2,0.15,0.15,0.14
JAM,106.75,70.45,52.76,40.29,32.33
JPN,0.82,0.85,0.75,0.72,0.59
JOR,19.81,16.09,11.77,6.85,4.76
KAZ,118.45,135.56,63.69,29.11,21.81
KEN,243.27,249.42,264.72,191.02,129.81
KIR,294.04,198.7,89.28,57.45,46.67
KWT,7.64,2.77,1.85,1.82,1.81
KGZ,191.94,158.65,113.98,74.43,64.89
LAO,599.7,433.91,321.19,247.02,174.77
LVA,4.06,3.29,1.27,0.64,0.38
LBN,36.61,23.33,11.04,6.75,4.37
LSO,609.13,516.96,483.49,527.38,645.09
LBR,1838.49,1630.07,1209.47,697.99,673.7
LBY,54.82,22.75,18.51,13.61,10.03
LTU,2.96,2.1,0.89,0.46,0.27
LUX,1.19,0.94,1.29,1.01,0.73
