ISO,2004,2005,2006,2007,2008,2009,2010,2011
ALB,,25,,,,,,
ARG,15.7,,,,,,,
ARM,,,,,,,12,
AZE,,5.8,,,,,,
BGD,,,25.7,,,,,
BLR,,12.1,,,,,,
BEN,,,72.8,,,,,
BOL,,23.9,,,33,21.8,,
BIH,,11.7,11.7,,,,,
BRA,9.4,,,8.1,6.9,6.6,,5.8
BFA,49,,49,,,,,
BDI,,12.5,,,,,31.3,
KHM,49.6,,,,,35,,
CMR,,,,43.5,,,,
TCD,64.4,,,,,,,
COL,,6.2,,5.3,,8.3,,
COG,,29.9,,,,,,
CRI,8.1,,,,,,,3.4
CIV,,,47.7,,,,,
DOM,,9,,,,19.9,,
ECU,14.6,,16.9,,,7.4,,3.8
EGY,,11.5,,,,,,
SLV,,,,10.1,,10.6,,10.4
ETH,,64.3,,,,,,32.5
GMB,,33.9,,,37.6,,,
GEO,,,33.6,,,,,
GHA,,,49.9,,,,,
GTM,23.1,,24.5,,,,,
GNB,,,52.8,,,,,
HTI,,37.3,,,,,,
HND,10.4,,,13.3,,,,
IND,,4.2,17.4,,,,2.8,
IDN,,,,,,7,4.2,
IRQ,,,17.9,,,,,
JAM,,11.3,,,,,,
JOR,,,,1.6,,,,
KAZ,,,4.4,,,,,
KGZ,,,5.8,37.5,,,,
LAO,,,17.9,,,,,
LBR,,,,37.8,,,21.7,
MKD,,14.8,,,,,,
MDG,,,,27.7,,,,
MWI,45,,41.3,,,,,
MLI,,64.4,55,24.2,,,,
MRT,,,,23.9,,,,
MEX,12.2,,,10.9,,16.5,11.3,9.1
MNG,,14.1,,11.4,,,,
MAR,6,,,,,,,
MOZ,,,,,27.2,,,
NIC,,16.2,,,,,,
NER,,,49.2,,,,,
NGA,,,,41.2,,,,
PAK,,,,,15.6,,,12.5
PAN,,,,,12.1,,,
PRY,,22.6,,,,,,
PER,,,,44.8,,,,
MDA,,,,,,34.5,,
RWA,,,,,8,,,
SEN,,24.4,,,,,,20.9
SRB,,7.2,,,,,,
SLE,,63.6,,14.9,55,,,
SOM,,,45.5,,,,,
SSD,,,,,45.6,,,
LKA,,,,,,13,,
SDN,,,,,15.2,,,
SWZ,,,,,,,14.5,
SYR,,,8.8,,,,,
TJK,,8.7,,,,,,
TZA,,,35,,,,,
THA,,15.7,,,,,,
TGO,,,39.8,,,,50.3,
TTO,,,,,4.1,,,
TUR,,,3.3,,,,,
UGA,,,39.8,,,,,
UKR,,18,,,,,,
URY,,,,,,9.4,,
UZB,,5.3,,,,,,
VEN,,7.1,6.9,,,,,
VNM,,,21,,,,,12.5
YEM,,,20.7,,,,,
ZMB,,48.9,,,35.4,,,
# Series: CHEMMAIN,,,,,,,,
"# Name: Children in employment, work only and study and work (ages 7-14), male",,,,,,,,
"# Definition: % of male children, ages 7-14, that are employed. Includes those who study and work and those who work only since breakdown by sex not available for individual segments.",,,,,,,,
"# Source: Understanding Children's Work project based on data from ILO, UNICEF and the World Bank.",,,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,,,
