ISO,1990,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
AFG,,,,,,,4.9,,,10.3,,13.6,18.6,,22.8,,21.8,21.2,
ALB,,,,,,,57.5,,75.1,,,60.1,,,,69.3,,,
DZA,,56.9,,,,,64,,57,,,,61.4,,,,,,
AGO,,,8.1,,,,,6.2,,,,,,,,,,,
ATG,,,,,53,,,,,,,,,,,,,,
ARG,,,,,,,,65.3,,,,78.3,,,,,,,
ARM,,,,,,,60.5,,,,,53.1,,,,,54.9,,
AUS,,66.7,,,,,,,70.8,,,72.3,,,,,,,
AUT,,,50.9,,,,,,,,,,,,,,,,
AZE,,,,,,,55.1,55.4,,,,,51.1,,,,,,
BHS,,,,,,,,44.6,,,,,,,,,,,
BHR,,61.8,,,,,,,,,,,,,,,,,
BGD,,,,49.2,,,53.8,,,,58.1,,,55.8,52.6,,,61.2,
BRB,,,,,55,,,,,,,,,,,,,,
BLR,,50.4,,,,,,,,,,72.6,,,,,,,63.1
BEL,,,,56.5,,,,75.6,,,74.6,,,,,,,,
BLZ,,,,,,56.1,,,,,,,34.3,,,,,55.2,
BEN,,,16.4,,,,,18.6,,,,,17,,,,,,12.9
BTN,,,,,,,30.7,,,,,,,35.4,,,65.6,,
BOL,,,,,48.3,,53.4,,,,58.4,,,,60.6,,,,
BIH,,,,,,,47.5,,,,,,35.7,,,,,,45.8
BWA,,,41.7,,,,44.4,,,,,,,52.8,,,,,
BRA,,,76.7,,,,,,,,,,80.6,,,,,,
BGR,,85.9,,,63.4,,,,,,,,,,,,,,
BFA,,,,,,11.9,,,,13.8,,,17.4,,,,16.2,,
BDI,,,,,,,15.7,,19.7,,,,9.1,,,,21.9,,
KHM,,12.6,,,21.8,,23.8,,,,,40,,,,,50.5,,
CMR,,,,,19.3,,25.6,,,,26,,29.2,,,,,23.4,
CAN,,74.7,,,80,,,,74,,,,,,,,,,
CPV,,,,,52.9,,,,,,,61.3,,,,,,,
CAF,,14.8,,,,,27.9,,,,,,19,,,,15.2,,
TCD,,,,4.1,,,7.9,,,,2.8,,,,,,4.8,,
CHL,56,,,,,,,60.7,,,,,58.4,,,,,,
CHN,,90.4,91.1,83.8,,83,83.8,86.9,,,,,84.6,,89.3,89,89.1,88.6,87.9
COL,66.1,72.2,,,,,76.9,,,,,78.2,,,,,79.1,,
COM,,,21,,,,25.7,,,,,,,,,,,,19.4
COG,,,,,,,,,,,,44.3,,,,,,,44.7
CRI,,,,,,80,,,,,,96,,96,80,,82.1,,
CIV,,,,,,15,,,,,,,12.9,,,,,,18.2
HRV,,,,,,,69,,,,,,,,,,,,
CUB,,,,,,,73.3,,,,,,72.6,77.1,,77.8,77.8,74.3,
CZE,,,,72,,,,,,,,,,,,,,,
PRK,,,62,67.3,,,,,68.6,,,,,,,,,,
COD,,,,,,,,31.4,,,,,,20.6,,,17.3,,
DJI,,,,,,,,,9,,,,17.8,,22.5,,,,
DMA,,,,,50,,,,,,,,,,,,,,
DOM,,,63.7,,,69.2,64.7,,69.8,,,,61.3,72.9,,,,,
ECU,,,,,,65.8,,,,,72.7,,,,,,,,
EGY,,47.9,,,51.7,,56.1,,,60,,59.2,,,60.3,,,,
SLV,,,,,59.7,,,,,67.3,,,,,72.5,,,,
GNQ,,,,,,,10.1,,,,,,,,,,,,
ERI,,8,,,,,,,8,,,,,,,,,,
ETH,4.8,,,3.3,,,8.1,,,,,14.7,,,,,,28.6,
FJI,,,,43.9,,,44,,35,,,,,43.1,,,31.8,,
FRA,,,,,,,81.8,,,,,71,,,,,,,
GAB,,,,,,,32.7,,,,,,,,,,,,31.1
GMB,11.8,,,,,,9.5,18,,,,,,,,,13.3,,
GEO,,,,,,,40.5,,,,,47.3,,,,,53.4,,
GHA,,,,,15,22,,,,25.2,,,16.6,,23.5,,,34.3,
GRC,,,,,,61.3,,76.2,,,,,,,,,,,
GRD,54.3,,,,54,,,,,,,,54,,,,,,
GTM,,31.4,,,,38.2,,,43.3,,,,,,,54.1,,,
GIN,,,,,,6.2,,,,6.5,,9.1,,,,,,,5.6
GNB,,,,,,,7.6,,,,,,10.3,,,,14.2,,
GUY,,,,,,,37.3,,,,,34.6,,34.2,,42.5,,,
HTI,,18,,,,,28.1,,,,,,32,,,,,,34.5
HND,,,50,,,,,61.8,,,,,65.2,,,,,,73.2
IND,,,,,,48.2,46.9,,,,53,,56.3,,54.8,,,,
IDN,,54.2,54.2,57.4,55.4,55.4,54.8,52.5,,60.3,56.7,57.9,,61.4,56.6,60.6,60.9,,61.9
IRN,,72.8,73.7,72.9,,,73.8,,73.3,,,78.9,,,,,,77.4,
IRQ,,,,,,,43.5,,,,,,49.8,,,,,52.5,
IRL,,,,,77,,,,75,,89,64.8,,,,,,,
ITA,,,62.7,,,,,,,,,,,,,,,,
JAM,,,,65.9,,,,,69.1,69,,,,,72.3,,,,
JPN,57.9,,58.6,60.4,54.1,,55.9,,,,52,54.3,,,,,,,
JOR,40,,,52.6,,,,,55.8,,,,,57.1,,59.3,,,61.2
KAZ,,59.1,,,,66.1,,,,,,,50.7,,,,51,,
KEN,,,,,39,,,,,39.3,,,,,,45.5,,,
KIR,,,,,20.9,,36.1,,,,21.5,,,,,22.3,,,
KWT,,,50.2,,,52,,,,,,,,,,,,,
KGZ,,,,59.5,,,,,,,,,47.8,,,,,,36.3
LAO,,20,,,,,32.2,,,,,38.4,,,,,,,49.8
LVA,,48,,,,,,,,,,,,,,,,,
LBN,,,61.1,,,,62.7,,58,,58,,,,,53.7,,,
LSO,,29.1,,,,,30.4,40.6,38,,,37.3,,,,47,,,
LBR,,,,,,,10,,,,,,,11.4,,,,,
LBY,,45.2,,,,,,,,,,,,,,,,,
LTU,,50.7,,,,,,,,,,,,,,,,,
MKD,,,,,,,,,,,,13.5,,,,,,40.2,
MDG,,,,19.4,,25,18.8,,,,27.1,,,,,39.9,,,
MWI,,,21.9,,,,30.6,,,,32.5,,41,,,,46.1,,
MYS,,,,,,,,,,,49,,,,,,,,
MDV,,,,,,42,,,,,39,,,,,34.7,,,
MLI,,,6.7,,,,,8.1,,,,,8.2,,,,9.8,,
MHL,,,,,,,,34,,,,,,44.6,,,,,
MRT,,,,,,,,8,,,,,,9.3,,,,,
MUS,,,,,,,,,75.9,,,,,,,,,,
MEX,,66.5,,68.4,,,70,,,74.5,73,73.7,70.9,,,72.9,,,
FSM,,,,,45,,,,,,23,,,,,55,,,
MNG,,,,,59.9,,67.4,,,69,,66,,,55.2,,54.9,,
MNE,,,,,,,52.7,,,,,,39.4,,,,,,
MAR,,50.3,,58.4,,,,,,,63,,,,,,,67.4,
MOZ,,,,5.6,,,,,,,16.5,,,,16.2,,,11.6,
MMR,,,,32.7,,,,37,,34.3,,,,41,,,46,,
NAM,,,,,,,43.7,,,,,,,55.1,,,,,
NPL,,,28.5,,,,37.3,39.3,,,38.3,,48,,,,,49.7,
NLD,,,,,71,,,,,67,,,,,69,,,,
NZL,,75,,,,,,,,,,,,,,,,,
NIC,,,,,60.3,,,68.6,,,,,,72.4,,,,,
NER,,,,,8.2,,14,,,,,,11.2,,,,18,,13.9
NGA,6,,,,,15.3,,,,12.6,,,,14.7,14.6,,,17.5,
NOR,,,,,86.5,,,,,,,88.4,,,,,,,
OMN,,23.7,,,,,31.7,,,,,,,,24.4,,,,
PAK,14.5,17.8,13,23.9,,17,,27.6,,32.1,,,26,29.6,27,,,,29
PLW,,,,,,,17.2,,,32.8,,,,21,,,22.3,,
PAN,,,,,,,,,,,,,,,,52.2,,,
PNG,,,25.9,,,,,,,,,,32.4,,,,,,
PRY,48.4,,55.9,,61.8,,,,,,72.8,,,,79.4,,,,
PER,,,64.2,,,,68.9,,,,70.5,,71.3,,72.4,73.2,74.4,75.4,75.5
PHL,,50.7,48.1,47,46.5,49.3,47,49.5,48.8,48.9,49.3,49.3,50.6,,51,,,48.9,
PRT,,,,78.8,,,,,,,,,67.1,,,,,,
QAT,,,,,43.2,,,,,,,,,,,,,,
KOR,,,,80.5,,,79.3,,,84.5,,80.2,79.6,,,80,,,
MDA,,,,73.7,,,62.4,,,,,67.8,,,,,,,
ROU,,,,,,63.8,,,,,70.3,,,,,,,,
RUS,,63.4,65.3,,,,,,,,83.8,,,79.5,,,,,
RWA,,,13.7,,,,13.2,,,,,17.4,,,36.4,,51.6,,
KNA,,,,,,,,,,,,,54,,54,,,,
LCA,,,,,47,,,,,,,,,,,,,,
VCT,,,,,58,,,,,,,48,48,,,,,,
WSM,,30,42.6,,24.5,,,,,,,,,,,28.7,,,
STP,,,,,,,29.3,,,,,,30.7,,,38.4,,,
SAU,,,31.8,,,20.8,,,,,,,,23.8,,,,,
SEN,,,,12.9,,10.5,,,,,,11.8,,,,,,13.1,
SRB,,,,,,,58.7,,,,,,41.2,,,,60.8,,
SLE,,,,,,,4.3,,,,,5.3,,,8.2,,11,,
