ISO,1990,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
ALB,,,,,,,,,84.2,,,,,,74.9,,,,,
ARM,,,,,,,100,,,,,95.1,,,,,0,,,
AZE,,,,,,,,43.2,,,,,51.4,,,,,,,
BGD,,,,46.3,,,51.3,,,,59.1,,,54.6,,,,61.4,,
BEN,,,13.3,,,,,15.8,,,,,12.4,,,,,,11.2,
BOL,,,,,19.4,,,,,33.6,,,,,42,,,,,
BRA,,,64.1,,,,,,,,,,,,,,,,,
BFA,,,,,,9.7,,,,10.7,,,,,,,11.8,,,
BDI,,,,,,,,,,,,,,,,,17.5,,,
KHM,,,,,,,19.3,,,,,30.3,,,,,42.5,,,
CMR,,,,,3.2,,,,,,3.7,,,,,,,4.1,,
CPV,,,,,43.8,,,,,,,,,,,,,,,
TCD,,,,2.7,,,,,,,1.1,,,,,,,,,
COL,52.6,58,,,,,72.7,,,,,67.1,,,,,72,,,
COM,,,16.8,,,,,,,,,,,,,,,,12.9,
COG,,,,,,,,,,,,31.1,,,,,,,,
CIV,,,,,7.7,,,,,,,,,,,,,,13,
COD,,,,,,,,,,,,,,11.8,,,,,,11.1
DOM,,,53.1,,,66.8,,,64.5,,,,,69.8,,,,,,61.4
ECU,,,,,,45.8,,,,,51,,,,,,,,,
EGY,,40.6,,,,,51.5,,,,,54.8,,,57.7,,,,,
SLV,,,,,35.9,,,,57.1,,,,,,67,,,,,
ERI,,4.2,,,,,,,3.5,,,,,,,,,,,
ETH,,,,,,,4.6,,,,,10,,,,,,22.2,,
GAB,,,,,,,8.5,,,,,,,,,,,,14,
GHA,,,,,13.2,,,,,15.3,,,,,13.6,,,,,
GTM,,14.1,,,,19.4,,,24.7,,,,,,39.9,,,,,
GIN,,,,,,4,,,,,,7.5,,,,,,,4.7,
GUY,,,,,,,,,,,,,,,,21.9,,,,
HTI,,,,,,,21.9,,,,,,24.5,,,,,,29.7,
HND,,,33.4,,,,,33.4,,,,55.5,,,,,,64.2,,
IND,,,,,,42.1,,,,,,,52.1,,,,,,,
IDN,,,,44.2,,,,,,47,,,,42.3,,,,,43.4,
JOR,31.6,,,37,,,,,40.6,,,,,43.9,,31.7,,,45.6,
KAZ,,0,,,,56.1,,,,,,,,,,,,,,
KEN,,,,,22.8,,,,,12,,,,,14.1,,,,,
KGZ,,,,100,,,,,,,,,,,,,,,100,
LSO,,,,,,,,,,,9.3,,,,,32.1,,,,
LBR,,,,,,,,,,,,,,7.7,,,,,,15.3
MDG,,,,3,,,,,,,7.4,,,,20.5,,,,,
MWI,,,,,,,26,,,,27,,,,,,40.3,,,
MDV,,,,,,,,,,,,,,,,43.6,,,,
MLI,,,3.7,,,,,5.9,,,,,5.6,,,,,,8.1,
MRT,,,,,,,4.7,,,,,,,,,,,,,
MAR,,,,,,,,,,61.2,,,,,,,,,,
MOZ,,,,3,,,,,,19.8,,,,,,,,5.5,,
NAM,,,,,,,27.8,,,,,,33.7,,,,,,,
NPL,,,26.4,,,,,36.6,,,,,49.3,,,,,52.8,,
NIC,,,,,46.3,,,52.1,,,,,65.8,,,,,,,
NER,,,,,6.4,,,,,,,,9.8,,,,,,12,
NGA,2,,,,,6,,,,4,,,,,3.6,,,,,2.7
PAK,,,,,,,,,,,,,25.3,,,,,,30.2,
PRY,28.2,38.6,,,,,,,,,51,,,,70.9,,,,,
PER,,,38.3,,,,50.2,,,,57.3,,,65.6,,60.5,65.7,68.8,65.6,
PHL,,,,,17,,,,,18.1,,,,,18.5,,,,,29.3
MDA,,,,,,,,,,,,23.4,,,,,,,,
ROU,,,,,,38,,,,,,,,,,,,,,
RWA,,,,,,,9,,,,,10.8,,,27.3,,43.3,,,
STP,,,,,,,,,,,,,,,18.3,,,,,
SEN,,,,8.4,,,,,,,,6.5,,,,,8.8,,,
SLE,,,,,,,,,,,,,,,5.7,,,,,14.3
ZAF,,,,,33.2,,,,,,,,,,,,,,,
SDN,3.2,,,,,,,,,,,,,,,,,,,
SWZ,,,,,,,,,,,,,28.9,,,,,,,
TJK,,,,,,,,,,,,,,,,,,,23.9,
TZA,,,7.5,,,16.3,,,,,13.4,,,,,,22,,,
TLS,,,,,,,,,,,,,,,,15.9,,,,
TGO,,,,,20.6,,,,,,,,,,,,,,,
TUR,,,,,47.9,,,,,,,,,,,,,,,
TKM,,,,,,,49.9,,,,,,,,,,,,,
UGA,,8.3,,,,,13.2,,,,,,13.2,,,,,17.9,,
UKR,,,,,,,,,,,,,,100,,,,,,
UZB,,,0,,,,,,,,,,,,,,,,,
VNM,,,,52.9,,,,,65.7,,,,,,,,,,,
YEM,,,,17.8,,,,,,,,,,,,,,,,
ZMB,,,17.1,,,,,,23.2,,,,,35,,,,,,
ZWE,,,,,,40.8,,,,,,34.7,,,,,43,,,
# Series: CONTFENE,,,,,,,,,,,,,,,,,,,,
"# Name: Contraceptive prevalence, female, no education",,,,,,,,,,,,,,,,,,,,
"# Definition: Current use of contraception among currently married women, any method by highest education level of respondent",,,,,,,,,,,,,,,,,,,,
# Source: DHS Household Surveys,,,,,,,,,,,,,,,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,,,,,,,,,,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,,,,,,,,,,,,,,,
