ISO,1990,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
ALB,,,,,,,,,71,,,,,,65.8,,,,,
ARM,,,,,,,37.3,,,,,77.7,,,,,49.5,,,
AZE,,,,,,,,55.1,,,,,25,,,,,,,
BGD,,,,51.9,,,54.4,,,,58.1,,,56.6,,,,62.4,,
BEN,,,23.6,,,,,20.1,,,,,25.3,,,,,,14.9,
BOL,,,,,39.6,,,,,55.1,,,,,56.1,,,,,
BRA,,,71.9,,,,,,,,,,,,,,,,,
BFA,,,,,,23.1,,,,26.5,,,,,,,27,,,
BDI,,,,,,,,,,,,,,,,,24.7,,,
KHM,,,,,,,23.4,,,,,40.5,,,,,50.2,,,
CMR,,,,,20.4,,,,,,25.2,,,,,,,21.6,,
CPV,,,,,51.3,,,,,,,,,,,,,,,
TCD,,,,7.5,,,,,,,5,,,,,,,,,
COL,63.3,70.4,,,,,77,,,,,78.5,,,,,80.4,,,
COM,,,25.9,,,,,,,,,,,,,,,,19.1,
COG,,,,,,,,,,,,42.2,,,,,,,,
CIV,,,,,25.2,,,,,,,,,,,,,,25.8,
COD,,,,,,,,,,,,,,18.3,,,,,,15.7
DOM,,,64.5,,,67.9,,,69.6,,,,,75.2,,,,,,72.7
ECU,,,,,,60.5,,,,,68.3,,,,,,,,,
EGY,,51.2,,,,,57.9,,,,,62.5,,,61.8,,,,,
SLV,,,,,59.5,,,,66.2,,,,,,71.1,,,,,
ERI,,14.2,,,,,,,12.4,,,,,,,,,,,
ETH,,,,,,,16.4,,,,,23.4,,,,,,35.7,,
GAB,,,,,,,22,,,,,,,,,,,,21.8,
GEO,,,,,,21.2,,,,,,,,,,,,,,
GHA,,,,,20.3,,,,,26.1,,,,,26.6,,,,,
GTM,,32.5,,,,38.4,,,45.6,,,,,,53.9,,,,,
GIN,,,,,,13.3,,,,,,13.3,,,,,,,7.6,
GUY,,,,,,,,,,,,,,,,40.4,,,,
HTI,,,,,,,29,,,,,,31.9,,,,,,34.5,
HND,,,48.2,,,,,48.2,,,,64.6,,,,,,73.2,,
IND,,,,,,54.4,,,,,,,60.1,,,,,,,
IDN,,,,57.9,,,,,,60.2,,,,60.5,,,,,61.8,
JAM,,,,63.1,,,,,,,,,,,70.5,,,,,
JOR,42.6,,,49,,,,,46.7,,,,,51.9,,50.3,,,53.4,
KAZ,,25.4,,,,94,,,,,,,,,,,,,,
KEN,,,,,34.5,,,,,36.6,,,,,44.2,,,,,
KGZ,,,,9.9,,,,,,,,,,,,,,,5.7,
LSO,,,,,,,,,,,32.3,,,,,40.2,,,,
LBR,,,,,,,,,,,,,,12.2,,,,,,19.7
MDG,,,,16.2,,,,,,,24.5,,,,38.9,,,,,
MWI,,,,,,,31.3,,,,32.6,,,,,,46,,,
MDV,,,,,,,,,,,,,,,,36.9,,,,
MLI,,,16.1,,,,,13.1,,,,,14.1,,,,,,13.4,
MRT,,,,,,,11.3,,,,,,,,,,,,,
MAR,,,,,,,,,,62.9,,,,,,,,,,
MOZ,,,,6.7,,,,,,28.5,,,,,,,,11.3,,
NAM,,,,,,,33.5,,,,,,46.1,,,,,,,
NPL,,,30.8,,,,,41.8,,,,,45.5,,,,,47,,
NIC,,,,,59.3,,,71.7,,,,,71.5,,,,,,,
NER,,,,,17.5,,,,,,,,17.2,,,,,,20.5,
NGA,9.5,,,,,19.9,,,,16.7,,,,,17.2,,,,,19.9
PAK,,,,,,,,,,,,,34.4,,,,,,40.8,
PRY,43.3,52.1,,,,,,,,,69,,,,77.7,,,,,
PER,,,59,,,,63.5,,,,68.1,,,70.3,,71.5,72.9,73.5,75.1,
PHL,,,,,42.4,,,,,44,,,,,45.3,,,,,52.8
MDA,,,,58.3,,,,,,,,77.3,,,,,,,,
ROU,,,,,,51.7,,,,,,,,,,,,,,
RWA,,,,,,,12,,,,,17.3,,,37.4,,52.6,,,
STP,,,,,,,,,,,,,,,40.7,,,,,
SEN,,,,21.9,,,,,,,,20.2,,,,,22.1,,,
SLE,,,,,,,,,,,,,,,10.8,,,,,19.3
ZAF,,,,,47.2,,,,,,,,,,,,,,,
SDN,12.4,,,,,,,,,,,,,,,,,,,
SWZ,,,,,,,,,,,,,43.3,,,,,,,
TJK,,,,,,,,,,,,,,,,,,,18.9,
TZA,,,22.8,,,28.7,,,,,30,,,,,,36.7,,,
TLS,,,,,,,,,,,,,,,,25.8,,,,
TGO,,,,,25.2,,,,,,,,,,,,,,,
TUR,,,,,66,,,,,,,,,,,,,,,
TKM,,,,,,,63.2,,,,,,,,,,,,,
UGA,,14.8,,,,,21.2,,,,,,22.4,,,,,28,,
UKR,,,,,,51.9,,,,,,,,33.3,,,,,,
UZB,,,20.4,,,,,,,,,,,,,,,,,
VNM,,,,70.4,,,,,76,,,,,,,,,,,
YEM,,,,31.5,,,,,,,,,,,,,,,,
ZMB,,,23.4,,,,,,30.9,,,,,37.8,,,,,,
ZWE,,,,,,48.8,,,,,,53.9,,,,,54.5,,,
# Series: CONTFEPE,,,,,,,,,,,,,,,,,,,,
"# Name: Contraceptive prevalence, female, primary education",,,,,,,,,,,,,,,,,,,,
"# Definition: Current use of contraception among currently married women, any method by highest education level of respondent",,,,,,,,,,,,,,,,,,,,
# Source: DHS Household Surveys,,,,,,,,,,,,,,,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,,,,,,,,,,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,,,,,,,,,,,,,,,
