ISO,2004,2005,2006,2008,2009,2010
ARG,,,,,77.6,
ARM,,,,,57.8,
BOL,,,92.3,,,
BRA,,,,,67.5,
CHN,,,,,,35.2
COL,,,,,,76.1
CRI,,,,,62.2,
CIV,,,,73.1,,
DOM,,,,,74.9,
ECU,,,,,88.5,
EGY,,,,,92.1,
SLV,,,,,79.8,
HND,,,,,93.1,
IND,,,,,97.6,
IDN,,,,,91.9,
KGZ,,,,,83.7,
LBR,,,,,,61.5
MKD,,,,,,43.1
MUS,,,,,20.9,
MEX,,,,,77.8,
NAM,,,,69.5,,
NIC,,,,85.4,,
PAK,,,,,96.7,
PAN,,,,,48.4,
PRY,,,,,92.6,
PER,,,,,78.8,
PHL,,,,87.2,,
MDA,,,,,58.1,
RUS,,,,,,7.8
SRB,,,,,,26.1
ZAF,,,,,,47.8
LKA,,,,,92.7,
TZA,,83.2,,,,
THA,,,,,,46.6
TUR,,,,,55.2,
UGA,,,,,,76.3
UKR,,,,,40.9,
URY,,,,,53.9,
VEN,,,,,66,
VNM,,,,,89.9,
ZMB,,,,82.5,,
ZWE,67.1,,,,,
AAE,,,,,,40.9
AME,,,,,73.9308,
LMA,,,,,81.9333,
ASE,,,,,95.6667,
UMA,,,,,,45.8167
EAM,,,,,,35.2
LCM,,,,,77.6,
LMM,,,,,91.9,
SAM,,,,,96.7,
UMM,,,,,,43.1
EAE,,,,,,22.9766
LCE,,,,,57.6369,
LMW,,,,,72.8891,
SAE,,,,,84.6392,
UMW,,,,,,24.0126
# Series: CSIETOIE,,,,,,
"# Name: Informal employment in construction, Total",,,,,,
"# Definition: Informal employment in construction, total (Share of informal employment by kind)",,,,,,
# Source: Informal Economy 2012 Country Data,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,
