ISO,1990,1995,2000,2005,2010
AFG,5132.68,5312.21,5400.16,3869.23,2241.62
ALB,350.34,205.23,119.61,90.27,83.99
DZA,1108.02,817.4,571.81,392.9,302.61
AND,101.84,98.2,96.41,94.87,94.39
AGO,14089.5,12898.2,10012.4,6466.5,4567.39
ATG,352.13,310.99,231.45,210.83,195.72
ARG,428.3,305.53,217.59,177.39,161.82
ARM,1061.68,1050.2,538.79,331.94,266.09
AUS,93.48,95.34,95.62,95.44,92.49
AUT,95.29,93.22,93.16,95.1,96.86
AZE,1470.57,1484.82,1020.2,564.99,339.28
BHS,435.15,347.79,236.79,212.96,193.51
BHR,245.98,243.76,224.36,211,186.83
BGD,5368.28,3674.44,1952.76,1197.23,861.07
BRB,306.73,273.49,245.69,235.1,210.16
BLR,188.85,207.47,201.31,196,174.78
BEL,114.62,109.29,110.09,110.88,106.78
BLZ,906.83,593.81,540.52,449.1,398.29
BEN,5342.03,4197.02,3509.35,2360.71,1831.72
BTN,4533.55,2927.17,1874.36,1229.01,850.29
BOL,6302.64,4593.58,3039.24,2072.19,1604.94
BIH,205.05,162.44,106.47,83.13,77.75
BWA,2918.21,2907.84,2934.44,2150.94,1223.32
BRA,2016.28,1244.23,707.72,459.42,341.15
BRN,169.87,160.02,157.62,159.01,156.82
BGR,147.76,136.13,125.49,100.76,91.4
BFA,12225.6,10400.5,7304.06,5959.84,6672.89
BDI,8496.91,7571.11,6646.61,5776.83,4561.57
KHM,3555.05,3553.59,3105.82,1486,885.77
CMR,5296.41,5488.76,4642.01,3312.22,2884.08
CAN,124.27,113.1,109.67,107.95,103.43
CPV,3089.32,2575.21,1749.07,1298.28,1000.14
CAF,11088.3,11543,11903.6,11233.8,11088.2
TCD,12850.8,12303.1,11856.6,9719.57,8949.38
CHL,269.01,184.07,147.68,128.79,122.15
CHN,474.24,389.57,244.61,144.24,112.76
COL,971.81,859.37,569.62,442.51,365.5
COM,3669.73,2912.92,2452.12,2032.24,1911.36
COG,4502.58,5152.82,4797.36,3927.96,3364.77
CRI,403.67,335.26,270.03,217.23,195.1
CIV,8633.6,8583.82,6348.38,5819.96,5807.87
