ISO,1990,1995,2000,2005,2010
AFG,1544.79,1608.01,1609.52,1376.12,1024.19
ALB,105.98,115.14,98.77,67.12,55.86
DZA,419.35,323.74,334.9,234.69,160.64
AND,6.35,5.88,5.46,5.07,4.68
AGO,7253.43,6473.78,4938.09,3134.52,2330.35
ATG,63.95,79.45,53.47,50.99,39.16
ARG,193.98,136.94,82.58,62.63,51.51
ARM,63.34,67.54,56.56,45.39,32.18
AUS,6.54,6.49,6.56,6.12,5.85
AUT,5.26,3.96,3.42,3.46,3.69
AZE,122.1,139.65,114.69,82.16,50.24
BHS,49.02,29.42,16.68,20.57,16.66
BHR,139.11,107.82,78.66,62.46,44.93
BGD,2405.87,1784.62,1214.11,838.39,608.14
BRB,69.43,42.02,31.49,40.39,30.5
BLR,30.53,31.2,30.49,24.89,18.04
BEL,11.34,8.02,7.28,8.04,8.05
BLZ,113.65,93.13,88.57,84.28,77.19
BEN,3215,2462.17,2198.63,1523.23,1241.08
BTN,2044.79,1361.81,880.51,624.22,434.99
BOL,896.93,704.08,507.15,398.15,343.9
BIH,58.72,57.56,37.14,27.27,22.83
BWA,172.56,161.88,149.98,83.04,42.72
BRA,197.94,168.51,154.58,104.06,73.46
BRN,46.61,45.35,35.94,30.81,25.36
BGR,20.78,18.64,23.3,24.07,22.7
BFA,1916.06,1955.13,1787.89,1624.39,1624.6
BDI,5332.91,4614.78,4252.16,3709.15,2834.18
KHM,1148.81,948.31,786.02,468.79,332.11
CMR,1724.2,1719.37,1680.8,1316.34,1158.77
CAN,9.32,8.8,8.68,8.19,8.14
CPV,719.91,568.92,373.74,288.32,222.94
CAF,5541.42,5996.57,6510.11,6495.45,5980.79
TCD,3524.5,3070.09,3176.66,2757.2,2586.86
CHL,38.44,28.08,25.07,22.92,20.65
CHN,83.57,73.35,59.08,40.99,28.32
COL,257.09,219.16,216.78,213.69,167.5
COM,2595.36,2070.29,1759.02,1527.38,1472.43
COG,2519.26,2948.1,2920.18,2439.47,1840.88
CRI,65.88,38.72,20.44,14.22,13.56
CIV,1575.03,1666.68,1337.42,1423.85,1455.57
HRV,8.37,7.88,6.9,6.14,5.44
CUB,11.76,13.43,9.29,10.86,8.96
CYP,19.26,16.78,16.55,18.32,19.21
CZE,13.2,13.86,14.69,16.08,15.16
PRK,178.12,84511.2,111.77,92.32,78.54
COD,4910.75,4919.64,4910.87,4384.29,4662.18
DNK,10.99,10.59,12.05,12.62,10.86
DJI,2933.02,2537.16,2157.16,1879.71,1613.9
