ISO,1990,1995,2000,2005,2010
AFG,1144.55,1084.13,1002.74,849.6,604.53
ALB,124.35,130.65,127.44,85.38,70.14
DZA,493.77,387.35,384.04,265.55,167
AND,8.02,7,6.82,6.53,5.65
AGO,10214.8,8471.08,6477.41,3909.48,2792.08
ATG,87.55,110.66,75.85,73.01,56.95
ARG,241.68,175.18,106.67,82.19,65.75
ARM,74.59,80.72,68.28,57.69,43.07
AUS,7.69,7.75,7.87,7.23,6.72
AUT,6.91,5.09,4.44,4.65,4.9
AZE,213.28,241.3,191.22,129.95,80.11
BHS,73.9,43.9,22.57,26.19,23.54
BHR,99.38,79.97,65.67,56.36,42.29
BGD,1798.84,1353.76,863.48,568.65,405.04
BRB,98.8,64.04,43.77,52.65,41.04
BLR,32.93,33.84,33.38,28.27,21.95
BEL,14.25,10.07,8.75,9.35,9.1
BLZ,162.53,139.9,131,109.79,103.89
BEN,3573.68,2755.42,2485.52,1648.86,1296.29
BTN,1779.2,1155.33,695.91,461.07,314.43
BOL,972.94,728.06,515.22,399.56,337.18
BIH,68.43,68.22,42.14,31.15,26.01
BWA,248.92,240.11,215.69,111.18,59.65
BRA,273.33,229.52,212.05,148.65,106.4
BRN,34.81,34.72,30.84,27.87,25.47
BGR,28.7,26.57,34.56,35.05,31.62
BFA,1763.85,1812.29,1776.23,1695.51,1785.07
BDI,5497.14,4784.61,4237.99,3586.9,2553.97
KHM,1327.65,1124.81,917.58,516.86,363.57
CMR,1950.73,1997.32,1951.05,1445.45,1239.06
CAN,11.47,10.23,10.1,9.54,9.53
CPV,678.46,569.58,406.7,312.11,231.36
CAF,6570.19,7039.18,7558.56,7278.84,6799.3
TCD,4619.73,3988.53,4165,3556.03,3350.25
CHL,59.16,45.5,42.12,38.48,38.89
CHN,81.31,74.08,61.84,44.29,31.64
COL,294.25,253.68,248.2,236.67,190.38
COM,2611.57,1995.94,1695.58,1440.49,1348.19
COG,2742.18,3184.29,3204.9,2579.7,1980.84
CRI,92.79,54.18,27.87,20.03,19.16
CIV,2005.61,2211.12,1702.59,1799.21,1801.03
HRV,11.12,9.8,8.53,7.55,6.55
CUB,14.2,16.57,12.48,14.38,12.07
CYP,15.14,13.59,15.55,18.25,19.65
CZE,17.48,18.22,19.26,21.27,20.64
PRK,191.84,168478,122.36,98.7,85.29
COD,5441.48,5513.38,5510.19,4657.01,5050.36
DNK,11.72,11.61,13.47,13.84,12.1
DJI,3147.03,2665.9,2096.04,1734.19,1443.58
DMA,127.08,116.62,67.03,65.6,75.59
DOM,288.64,206.35,105.27,122.18,95.7
ECU,501.24,444.39,448.13,275.8,178.27
EGY,521.04,429.43,324.7,259.08,214.24
SLV,458.44,320.39,244.76,183.27,162.31
GNQ,7042.57,5910.24,4487.09,2656.67,1897.67
ERI,5407.02,3375.49,3183.4,2551.37,2343.25
EST,30.8,30.88,25.74,20.78,16.23
ETH,3304.52,3194.78,2925.06,2292.56,1742.18
FJI,427.22,377.55,299.53,233.07,210.49
FIN,17.25,11.42,6.96,5.94,5.47
FRA,17.26,17.32,18.52,18.5,17.28
GAB,2377.94,2211.06,2114.49,2112.36,1662.56
GMB,2591.73,2264.73,1889.37,1465.3,1099.2
GEO,23.85,24.61,27.8,40.38,44.88
DEU,12.69,9.53,9.22,9.13,9.15
GHA,1619.78,1411.07,1538.98,1591.38,1251.68
GRC,12.28,7.71,5.91,5.46,5.94
GRD,171.3,98.64,86.47,89.97,66.98
GTM,1924.22,1381.73,849,696.38,634.43
GIN,3427.3,2602.08,2626.77,1654.98,1674.38
GNB,3984.75,3449.62,3482.5,2666.85,2001.36
GUY,484.85,362.38,255.16,303.93,228.38
HTI,1174.18,1362.96,1082.02,1169.03,956.93
HND,528.31,501.47,387.34,268.75,239
HUN,20.94,21.2,21.8,21.63,20.24
ISL,10.34,9.6,9.16,8.34,8.35
IND,1706.88,1368.1,992.14,744.09,575.35
IDN,760.9,458.73,246.72,178.38,140.8
IRN,397.03,253.58,119.89,75.85,65.08
IRQ,160.52,160.76,145.77,148.75,143.24
IRL,10.46,9.84,9.49,8.03,7.02
ISR,24.45,17.44,17.34,16.46,14.73
ITA,7.42,7.43,7.79,8.37,8.5
JAM,259.54,196.33,122.96,89.56,71.35
JPN,13.1,14.99,16.14,16.32,15.35
JOR,63.08,53.04,47.31,37.55,30.54
KAZ,108.5,160.39,158.59,88.49,61.11
KEN,2262.63,2866.12,3196.76,2425.02,1789.17
KIR,2409.16,2067.85,1595.97,1162.65,848.83
KWT,65.33,43.92,27.37,21.85,18.38
KGZ,99.16,97.48,80.97,64.38,59.71
LAO,1706.96,1225.47,913.15,705.68,505.08
LVA,21.77,23.42,22.67,22.83,19.06
LBN,93.07,62.54,53.81,51.36,38.62
LSO,480.1,415.3,393.17,439.53,492.99
LBR,3781.73,2764.06,2431.67,1587.73,2041.01
LBY,125.08,71.71,83.44,86.14,83.34
LTU,20.39,20.06,17.8,16.96,14.22
LUX,11.29,9.9,11.8,12.98,10.87
MKD,32.83,24.49,20.09,19.47,16.88
MDG,4735,3838.7,2481.52,2123.6,1829.99
MWI,4453.3,3742.02,3443.1,2524.77,1978.25
MYS,131.03,104.26,78.17,64.78,58.98
MDV,729.83,351.08,285.18,160.08,122.79
MLI,4877.99,4419.41,4305.3,2737.62,2488.09
MLT,11.01,9.21,8.4,8.16,8.28
MHL,814.39,692.1,659.09,548.87,404.55
MRT,1721.82,1566.79,1733.64,1385.24,1030.95
MUS,383.09,169.42,117.21,102.29,102.69
MEX,528.23,406.17,274.1,193.83,165.87
FSM,1386.77,927.46,574.12,439.66,388.43
MNG,277.78,230.61,183.05,140.1,114.58
MNE,36.58,39.5,45.6,43.57,37.44
MAR,976.09,763.36,517.93,353.72,271.52
MOZ,3217.52,2566.45,1919.84,1631.37,1299.42
MMR,931.73,725.62,632.69,508.82,340.27
NAM,416.71,308.62,305.87,300.61,187.83
NPL,974.32,706.25,474.78,350.3,277.56
NLD,16.18,15.59,15.95,16.28,14.77
NZL,7.73,7.24,6.24,5.5,5.17
NIC,491.71,449.17,417.72,276.07,199.95
NER,7192.99,6203.62,5353.85,3527.57,3406.74
NGA,3447.93,3261.8,2639.38,1917.77,1828.7
NOR,7.69,6.22,6.67,6.78,6.7
OMN,586.7,419.97,338.04,282.68,203.86
PAK,593.47,526.93,415.11,356.71,314.14
PAN,359.56,404.33,350.57,257.89,187.79
PNG,1731.07,1488.81,1180.11,957.45,727.3
PRY,158.38,105.03,135.31,171.63,156.95
PER,816.99,587.37,269.44,176.29,152.19
PHL,1040.54,596.94,385.9,245.28,191.22
POL,58.34,46.53,23.97,19.81,17.53
PRT,14.59,10.06,8.59,8.07,8.31
QAT,33.75,36.07,37.44,28.99,20.04
KOR,37.48,23.28,15.51,9.8,8.05
MDA,43.74,45.09,35.86,34.21,31.19
ROU,53.44,51.45,37.06,29.56,25.21
RUS,37.12,40.97,39.97,35.8,27.65
RWA,3693.52,5458.31,3568.76,1659.46,978.81
LCA,198.27,124.33,66.22,69.82,55.51
VCT,370.76,286.07,176.29,166.06,116.34
WSM,367.07,338.12,247.73,182.11,142.56
STP,2440.68,2269.09,1732.7,1233.26,873.28
SAU,133.43,120.26,101.31,89.03,70.84
SEN,611.56,582.25,579.46,367.05,298.32
SRB,31.19,32.12,27.37,27.94,25.37
SYC,357.59,368.23,311.14,271.62,234.52
SLE,11829.8,10604.6,9151.61,6635.24,4300.25
SGP,27.12,19.21,17.19,16.72,15.5
SVK,18.77,17.87,15.59,14.53,12.96
SVN,16.48,14.25,13.24,12.1,10.66
SLB,1299.89,1073.52,913,826.98,660.64
SOM,5494.16,5009.83,4075.93,3303.51,3430.72
ZAF,520.65,380.44,281.22,178.22,95.62
ESP,13.46,13.64,14.7,16.1,14.91
LKA,426.64,287.15,225.02,175.24,138.1
SDN,2777.63,2494.25,2017.06,1706.95,1175.14
SUR,201.91,240.35,171.19,119.64,87.81
SWZ,353.13,343.31,384.97,451.22,221.77
SWE,8.54,7.63,8.06,8.76,8.64
CHE,13.05,11.44,10.99,10.04,9.5
SYR,350.16,246.26,177.42,148.74,129.48
TJK,248.04,248.95,203.07,155.01,139.74
TZA,2526.86,2081.64,1646.4,1272.95,1057.5
THA,133.65,100.71,82.31,55.78,49.08
TLS,1241.88,941.15,851.78,552.92,443.95
TGO,2333.1,2121.06,1742.26,1843.39,1626.82
TON,361.22,334.6,337.26,312.81,251.21
TTO,79.24,91.98,82.79,70.46,58.46
TUN,1762.88,1423.64,875.82,643.21,527.05
TUR,204.44,113.32,64.39,48.32,39.16
TKM,177.63,161.47,124.27,77.88,61.94
UGA,2950.49,2694.31,2375.98,1589.96,923.28
UKR,26.73,29.48,30.53,25.6,21.05
ARE,165.59,143.11,126.35,110.28,92.5
GBR,25.25,22.37,12.88,8.83,8.04
USA,11.29,11.68,12.32,12.38,12.3
URY,152.68,112.72,80.46,77.23,60.9
UZB,134.9,135.28,106.66,78.15,66.11
VUT,1040.53,840.55,798.1,838.47,599.21
VEN,247.07,266.82,182.43,141.75,117.84
VNM,539.61,364.34,246.86,168.74,131.97
YEM,1117.68,1023.04,766.37,551.47,475.4
ZMB,5165.03,5000.55,4450.94,3409.49,2638.97
ZWE,605.55,594.02,615.93,869.28,1036.28
