ISO,1990,1995,2000,2005,2010
AFG,4986.55,4950.75,4915.21,4879.92,4968.27
ALB,1053.49,987.54,925.72,867.77,1193.42
DZA,1548.19,1572.44,1597.06,1622.08,1629.75
AND,1452.41,1418.67,1385.73,1353.54,1400.69
AGO,1399.54,1334.88,1273.2,1214.38,1117.31
ATG,1270.07,1243.45,1217.39,1191.87,1561.92
ARG,1104.62,1076.92,1049.92,1023.59,1150.62
ARM,1097.46,1102.45,1107.46,1112.5,1114.16
AUS,679.16,686.86,694.64,702.52,705.84
AUT,891.43,871.81,852.62,833.85,1091.66
AZE,1062.21,1071.39,1080.66,1090.01,948.91
BHS,1703.24,1400.55,1151.65,946.99,1201.32
BHR,1981.92,1982.36,1982.8,1983.24,2015.91
BGD,853.91,852.67,851.44,850.21,754.15
BRB,1692.95,1509.74,1346.36,1200.66,1183.51
BLR,1281.64,1354.27,1431.02,1512.11,1466.03
BEL,1020.32,986.79,954.36,923,866.91
BLZ,1359.97,1191.93,1044.65,915.58,1203.21
BEN,1166.25,1174.74,1183.29,1191.91,874.12
BTN,1143.56,1057.26,977.48,903.72,885.95
BOL,1137.11,1204.34,1275.54,1350.95,870.39
BIH,1365.18,1128.99,933.66,772.13,808.92
BWA,1117.3,1166.16,1217.17,1270.4,1672.15
BRA,1151.24,1183.32,1216.3,1250.19,1188.99
BRN,992.6,979.39,966.35,953.48,1006.59
BGR,821.45,806.85,792.51,778.43,1049.57
BFA,1364.99,1306.47,1250.46,1196.85,887.77
BDI,1295.48,1326.87,1359.02,1391.95,1363.93
KHM,1265.64,1177.84,1096.12,1020.08,1095.76
CMR,1390.91,1264.62,1149.79,1045.39,992.26
CAN,732.72,730.18,727.65,725.13,993.57
CPV,1205.65,1317.67,1440.1,1573.91,1142.07
CAF,1645.51,1428.48,1240.08,1076.52,1266.66
TCD,1324.48,1301.94,1279.78,1257.99,1174.14
CHL,1067.56,1046.68,1026.2,1006.13,900.04
CHN,752.56,737.32,722.4,707.77,718.71
COL,1381.91,1382.64,1383.36,1384.09,1409.58
COM,1304.79,1264.35,1225.16,1187.19,1312.91
COG,1645.42,1509.51,1384.82,1270.43,1443.41
CRI,1301.99,1239.8,1180.58,1124.19,1051.27
CIV,1554.14,1436.64,1328.03,1227.62,1156.12
HRV,1863.5,1685.55,1524.6,1379.01,1613.45
CUB,1000.56,1037.82,1076.47,1116.55,1308.88
CYP,1439.52,1410.64,1382.34,1354.61,1248.25
CZE,984.59,884.26,794.16,713.24,744
PRK,863.63,786.34,715.96,651.88,607.81
COD,1284.21,1271.89,1259.69,1247.6,1277.02
DNK,871.04,854.76,838.78,823.1,1100.21
DJI,1299.59,1360.02,1423.26,1489.44,1520.23
DMA,1263.46,1229.75,1196.93,1164.99,1195.43
DOM,1460.65,1288.58,1136.79,1002.88,1009.64
ECU,1121.13,1179.84,1241.63,1306.65,979.69
EGY,1395.94,1312.97,1234.94,1161.54,1155.79
SLV,1502.73,1439.57,1379.07,1321.11,1182.38
GNQ,1645.44,1619,1592.99,1567.39,1598.32
ERI,1633.88,1540.84,1453.1,1370.35,1462.55
EST,1354.18,1487.1,1633.06,1793.34,1513.36
ETH,910.5,884.84,859.89,835.65,816.32
FJI,1022.86,1074.3,1128.32,1185.06,790
FIN,1164.79,1134.88,1105.73,1077.32,1303.06
FRA,1168.07,1143.72,1119.88,1096.53,1039.08
GAB,1661.44,1622.35,1584.17,1546.89,1625.2
GMB,1871.84,1764.06,1662.49,1566.77,1147.23
GEO,1112.31,1108.13,1103.97,1099.82,1094.08
DEU,1097.07,1065.58,1034.99,1005.28,1061.59
GHA,1347.76,1352.58,1357.42,1362.27,1000.68
GRC,1187.83,1212.93,1238.57,1264.74,1064.42
GRD,1466.93,1258.18,1079.14,925.58,1209.9
GTM,1474.5,1428.88,1384.66,1341.81,1194.94
GIN,1190.41,1244.61,1301.28,1360.53,1004.49
GNB,1195.78,1258.52,1324.56,1394.07,886.67
GUY,1346.29,1231.58,1126.64,1030.64,1392.44
HTI,1262.24,1236.79,1211.85,1187.42,1055.82
HND,1992.31,1920.45,1851.19,1784.43,2054.84
HUN,830.92,811.9,793.31,775.14,757.24
ISL,811.9,867.56,927.03,990.58,1032.41
IND,935.43,935.76,936.09,936.42,924.53
IDN,1195.06,1171.41,1148.22,1125.5,1119.07
IRN,1602.23,1611.1,1620.03,1629,1548.31
IRQ,993.21,992.22,991.23,990.25,973.27
IRL,678.53,722,768.25,817.46,879.69
ISR,1031.42,1011,990.98,971.36,998.69
ITA,1065.04,1128.34,1195.41,1266.47,1051.6
JAM,1265.41,1188.98,1117.17,1049.69,1050.64
JPN,604.26,603.54,602.81,602.09,571.53
JOR,1515.3,1564.49,1615.28,1667.72,1718.23
KAZ,1098,1128.89,1160.65,1193.31,940.77
KEN,1151.34,1204.68,1260.49,1318.89,1163.54
KIR,1295.88,1314.95,1334.29,1353.92,1285.82
KWT,1743.27,1675.58,1610.51,1547.98,1756.51
KGZ,1086.74,1044.25,1003.43,964.2,1073.36
LAO,1240.94,1198.23,1156.99,1117.17,1309.29
LVA,1311.87,1353.25,1395.93,1439.95,1379.39
LBN,1247.52,1216.26,1185.78,1156.06,1153.63
LSO,942.86,1118.29,1326.37,1573.16,1391.64
LBR,1360.03,1378.22,1396.65,1415.32,1035.51
LBY,1989.32,1998.29,2007.29,2016.34,2020.9
LTU,1297.79,1337.52,1378.46,1420.66,1070.23
LUX,1271.05,1301.02,1331.7,1363.1,1432.35
MKD,1357.81,1177.06,1020.37,884.54,1198.16
MDG,1012.38,1048.65,1086.23,1125.16,1150.54
MWI,1261.64,1179.44,1102.6,1030.77,1291.79
MYS,1329.21,1237.12,1151.42,1071.65,1282.01
MDV,1535.5,1386.36,1251.71,1130.14,1166.79
MLI,1231.76,1259.48,1287.82,1316.8,1289.37
MLT,1286.38,1318.73,1351.89,1385.88,1442.8
MHL,1351.38,1401.9,1454.3,1508.67,1283.98
MRT,1390.51,1323.12,1259,1197.98,1123.8
MUS,1202.2,1181.89,1161.92,1142.29,1160.41
MEX,835.59,798.86,763.75,730.18,667.8
FSM,1018.69,1074.88,1134.16,1196.71,977.16
MNG,807.45,889.24,979.33,1078.53,1086.57
MNE,1381.21,1343.36,1306.54,1270.74,1380.96
MAR,1779.06,1682.8,1591.76,1505.64,1503.31
MOZ,1403.56,1255.51,1123.07,1004.6,1004.29
MMR,1241.42,1207.37,1174.25,1142.04,1167.55
NAM,1441.41,1447.85,1454.32,1460.82,1113.67
NPL,509.51,573.16,644.77,725.32,673.54
NLD,1585.25,1600.21,1615.32,1630.57,1745.85
NZL,1041.07,1050.03,1059.07,1068.18,1077.05
NIC,1436.86,1340.44,1250.5,1166.59,1156.58
NER,1251.26,1277.57,1304.44,1331.87,994.08
NGA,853.49,858.57,863.68,868.82,836.64
NOR,1321.9,1290.96,1260.73,1231.22,1288.98
OMN,1545.27,1541.22,1537.18,1533.14,1214.24
PAK,1017.42,1026.93,1036.54,1046.23,1095.13
PAN,1544.2,1394.79,1259.84,1137.94,1048.37
