ISO,1990,1995,2000,2005,2010
AFG,1481.09,1534.75,1593.94,1513.16,1347.94
ALB,570.15,543.02,522.86,497.76,479.47
DZA,548.88,518.46,505.08,472.39,440.88
AND,365.28,373.31,367.12,361.74,356.96
AGO,1715.81,1558.8,1336.15,1187.02,1120.27
ATG,314.03,281.43,239.06,212.14,207.77
ARG,466.03,458.35,457.82,458.54,445.12
ARM,693.89,681.7,639.89,617.87,588.97
AUS,576.47,574.2,533.43,490.12,482.6
AUT,450.03,460.09,484.04,492.33,475.79
AZE,702.18,737.43,633.33,578.5,544.91
BHS,409.98,302.61,223.7,185.79,188.35
BHR,723.01,725.51,684.38,648.88,540.68
BGD,2801.4,2246.25,2015.14,1816.14,1825.41
BRB,330.13,302.61,271.36,258.07,248.39
BLR,642.39,565.21,481.76,382.01,324.2
BEL,484.09,493.46,486.93,477.15,462.98
BLZ,419.71,438.25,431.51,369.4,353.98
BEN,1022.36,866.23,800.54,753.75,741.41
BTN,3357.48,2758.03,2344.96,2018.3,1788.28
BOL,1163.73,1002.85,838.48,739.99,684.12
BIH,718.84,724.05,640.72,606.16,561.32
BWA,1119.36,1004.26,1009.35,908.72,803.01
BRA,787.91,813.6,725.44,652.47,607.42
BRN,745.33,695.56,579.43,539.31,501.68
BGR,539.93,514.29,539.44,566.14,582.45
BFA,1223.33,1076.71,980.02,909.07,894
BDI,1595.67,1543.85,1416.11,1305.82,1236.51
KHM,1576.1,1490.45,1293.2,1086.27,986.03
CMR,1142.72,993.79,904.71,838.63,810.09
CAN,465.72,493.33,484.42,469.9,466.6
CPV,941.43,890.68,840.01,803.47,767.08
CAF,1751.82,1738.09,1690.54,1642.27,1629.82
TCD,1179.71,1015.95,959.75,907.09,891.02
CHL,463.5,425.53,444.77,441.96,395.38
CHN,2740.75,2204.76,1612.41,1230.18,923.06
COL,725.29,724.15,691.78,646.51,607.64
COM,1515.93,1387.47,1258.47,1204.33,1173.07
COG,1407.07,1458.43,1338.66,1237.18,1156.93
CRI,566.91,551.25,536.06,459.83,429.05
CIV,1053.63,920.81,843.18,816.74,814.41
