ISO,1990,1995,2000,2005,2010
AFG,1319.59,1323.55,1359.29,1363.04,1307.52
ALB,768.85,745.56,749.02,734.52,700.38
DZA,692.67,703.96,701.38,639.17,568.51
AND,634.95,612.87,593.29,579.71,543.62
AGO,2461.08,2180.68,1951.72,1796.82,1749.72
ATG,390.62,376.64,332.6,310.39,314.19
ARG,916.25,928.29,908.71,856.4,795.1
ARM,1433.1,1513.41,1289.28,1183.53,1137.71
AUS,1006.78,882.39,743.4,632.48,600.18
AUT,752.77,734.94,750.53,729.33,680.89
AZE,1146.56,1271.35,915.76,821.49,805.17
BHS,638.04,512.51,375.66,318.68,320.53
BHR,850.68,811.17,796.02,805.62,695.49
BGD,2727.12,2280.1,2267.66,2142.09,2234.45
BRB,558.92,468.24,405.39,380.42,363.14
BLR,1580.32,1653.63,1567.51,1298.38,1099.61
BEL,1127.62,1089.81,997.56,843.65,800.53
BLZ,623.34,676.82,778.05,659.36,634.48
BEN,1633.07,1357.21,1263.48,1184.99,1178.47
BTN,3797.63,3249.81,2940.56,2755.09,2571.81
BOL,1048.42,922.11,816.54,724.04,686.4
BIH,1076.14,1211.31,971.3,918.83,808.41
BWA,1736.92,1492.81,1382.81,1258.62,1251.07
BRA,1266.48,1286.53,1137.34,1009.24,935.85
BRN,1079.89,1088.42,974.5,789.74,743.46
BGR,903.01,889.14,920.78,1044.63,1060.36
BFA,1688.37,1411.42,1285.59,1232.06,1259.56
BDI,1763.93,1717.08,1445.23,1320.93,1245.61
KHM,1499.79,1480.04,1443.19,1405.69,1376.4
CMR,1684.69,1380.78,1250.46,1174.03,1161.68
CAN,814.19,765.91,688.15,607.73,574.23
CPV,1959.35,1825.73,1664.26,1579.78,1530.03
CAF,2716.66,2634.38,2495.02,2532.98,2618.02
TCD,1436.28,1203.35,1135.74,1089.33,1095.15
CHL,788.47,646.64,630.67,606.76,575.24
CHN,3445.38,2931.16,2289.97,1851.51,1481.99
COL,1004.52,1007.6,1000.34,951.2,905.04
COM,1538.75,1380.9,1196.87,1138.36,1140.65
COG,2147.88,2200.44,1988.18,1869.14,1826.3
CRI,655.02,663.03,682.08,616.02,575.05
CIV,1744.12,1527.26,1436.24,1408.7,1378.49
HRV,829.85,811.19,821.65,828.45,732.54
CUB,663.52,728.14,711.36,696.27,647.55
CYP,619.92,608.26,584.81,509.13,499.27
CZE,954.36,718.75,673,676.27,652.76
PRK,2720.2,2699,2599.06,2508.26,2421.37
COD,1613.08,1526.29,1466.69,1465.28,1538.53
DNK,1053.19,1103.72,1076.23,940.99,847.65
DJI,1371.9,1287,1139.75,1076.55,1040.24
DMA,537.99,509.58,470.37,509.39,541.16
DOM,602.54,568.48,525.35,544.49,539.72
ECU,1074.51,825.05,667.16,598.13,572.46
EGY,1887.14,1497.15,1324.94,1285.85,1161.67
SLV,872.99,727.63,528.24,492.92,478.25
GNQ,2525.78,2103.82,1805.32,1636.85,1571.84
ERI,1571.26,1387.44,1222.44,1165.31,1149.77
EST,607,610.92,514.21,510.72,413.99
ETH,2862.76,2512.47,2115.45,1895.45,1785.37
FJI,1063.19,1049.63,1015.62,914.95,871.43
FIN,669.28,595.66,548.32,489.75,429.59
FRA,623.97,587.4,517.54,434.07,417.95
GAB,2081.58,2054.03,2009.92,2053.71,2006.97
GMB,1854.47,1456.54,1267.28,1188.52,1147.87
GEO,801.67,683.25,716.12,1004.04,1149.45
DEU,861.65,740.76,645.2,571.08,543.12
GHA,992.57,1006.21,986.88,1053.55,1080.38
GRC,496.09,487.93,503.48,487.45,496.88
GRD,601.81,536.87,561.8,583.6,509.81
GTM,899.1,840.7,706.27,566.9,556.46
GIN,1538.03,1249.69,1161.81,1080.12,1132.02
GNB,1862.59,1465.27,1306.64,1253.34,1222.54
GUY,806.23,736.27,617.31,626.65,589.44
HTI,626.33,583.46,525.47,480.21,467.83
HND,1242.95,1220.38,1131.38,1029.62,987.05
HUN,1302.04,1213.75,1067.27,1134.16,1062.96
ISL,441.85,450.59,450.1,436.78,430.48
IND,4526.3,4016.43,3448.58,3007.9,3245.74
IDN,1289.27,1303.87,1323.11,1318.61,1313.3
IRN,750.99,691.67,678.27,658.62,626.4
IRQ,704.93,690.07,660.32,653.52,662.4
IRL,1197.9,1108.33,962.05,748.37,666.67
ISR,707.23,625.09,623.5,580.71,515.85
ITA,697.03,622.35,555.05,485.63,447.25
JAM,587.55,529.59,545.32,540.79,562.42
JPN,375.6,325.7,276.62,252.05,236.81
JOR,1190.47,1059.92,847.06,765.73,743.7
KAZ,2208.73,2696.42,2444.3,2333.39,1884.24
KEN,875.13,856.07,814.97,793.56,805.1
KIR,1739,1648.69,1651.84,1541.12,1431.98
KWT,461.57,482.89,460.71,463.46,470.03
KGZ,2707.11,3199.72,2718.53,2482.36,2087.23
LAO,1643.53,1587.71,1489.54,1427.08,1361.83
LVA,856.93,854.94,612.89,610.42,535.52
LBN,812.78,733.38,665.84,621.6,591.14
LSO,2450.79,2508.82,2595.05,2748.28,2681.24
LBR,2251,1982.95,1822.83,1652.74,1830.93
LBY,843.77,758.17,773.82,803.04,780.6
LTU,1292.17,1223.88,995.99,974.49,779.88
LUX,905.04,862.35,772.37,692.38,596.42
MKD,924.23,841.49,730.88,690.04,641.94
MDG,1664.89,1608.48,1382.92,1292.28,1252.01
MWI,1576.81,1564.16,1496.05,1447.6,1325.87
MYS,1351.38,1592.84,1516.84,1356.83,1378.95
MDV,890.99,784.29,747.13,729.9,716.23
MLI,2055.62,1894.33,1814.18,1696.07,1727.28
MLT,786.39,780.09,792.74,734.13,693.46
MHL,1441.38,1299.41,1206.37,1145.17,1098.41
MRT,1440.85,1192.93,1091.56,1049.63,1046.67
MUS,1458.81,1220.69,1081.69,947.91,886.44
MEX,785.9,689.46,644.84,606.75,593.93
FSM,1680.92,1478.21,1404.23,1351.79,1309.77
MNG,1443.86,1595.36,1555.94,1692.65,1562.81
MNE,342.38,346.34,342.94,326.77,311.76
MAR,725.68,702.76,677.92,660.48,633.73
MOZ,1069,1082.64,1052.91,1111.41,1083.13
MMR,1789.37,1772.54,1744.14,1687.8,1639.6
NAM,2453.48,2503.75,2629.23,2644.94,2172.13
NPL,3232.63,2854.44,2558.02,2331.54,2230.15
NLD,1030.53,999.44,926.95,788.15,697.97
NZL,1059.27,960.55,874.96,752.84,676.66
NIC,681.11,650.47,638.36,679.36,676.36
NER,1680.35,1305.71,1139.41,1047.41,1060.9
NGA,1170.44,935.04,797.34,731.55,731.95
NOR,562.44,597.66,633.35,603.91,593.05
OMN,581.14,546.92,528.47,514.24,482.06
PAK,2834.98,2749.34,2637.72,2542.95,2495.21
PAN,783.88,694.97,525.85,503.89,566.65
PNG,2063.25,1951.26,1868.09,1830.84,1704.38
PRY,609.19,598.8,606.75,643.36,676.95
PER,561.32,531.83,516.48,515.91,504.81
PHL,1723.72,1745.87,1685.15,1400.66,1473.14
POL,1400.74,1213.54,909.4,874.26,812.1
PRT,733.56,682.97,626.35,532.5,470.78
QAT,590.19,571.17,486.58,429.26,373.51
KOR,537.02,501.39,494.52,438.23,390.73
MDA,1559.17,1726.31,1284.78,1252.5,1138.53
ROU,1562.6,1340.2,958.37,845.86,799.1
RUS,1554.42,1874.73,1543.68,1412.94,1040.8
RWA,1781.06,1778.62,1309.97,1073.55,1049.14
LCA,896.97,780.3,749.06,687.37,620.17
VCT,586.21,494.01,485.25,500.79,448.88
WSM,1459.03,1280.04,1183.86,1071.15,992.53
STP,1986.66,1835.99,1809.13,1737.97,1670.68
SAU,680.76,683.75,653.29,600.27,556.05
SEN,1740.44,1368.17,1240.87,1139.15,1163.51
SRB,842.83,883.56,843.51,828.32,733.68
SYC,1737.05,1803.51,1644.35,1588.08,1550.47
SLE,1990.09,1518.54,1313.54,1219.53,1222.89
SGP,1090.56,898.58,635.08,504.75,474.75
SVK,676.1,595.51,661.75,671.95,651.19
SVN,1016.21,1031.17,922.02,751.19,622.23
SLB,2020.9,1797.24,1706.89,1644.5,1557.99
SOM,1444.63,1362.09,1162.99,1063.5,1081.53
ZAF,2215.53,2226.71,2063.12,1583.68,1553
ESP,824.56,798.25,721.7,613.27,510.76
LKA,926.48,1386.84,1509.76,1393.78,1249.31
SDN,1153.64,1079.1,926.38,874.27,862.35
SUR,681.2,519.05,433.08,392,371.52
SWZ,2249.8,2334.85,2689.29,3096.14,2729.57
SWE,478.73,478.02,479.71,466.53,442.78
CHE,991.24,951.59,893.46,811.92,764.27
SYR,1031.32,894.68,805.84,715.58,672.8
TJK,1508.7,1586.46,1172.95,1141.89,1220.94
TZA,1067.42,1013.84,963.3,931.24,934.22
THA,1050.53,1299.65,1273.26,1160.57,1054.31
TLS,1280.55,1255.88,1203.09,1131.59,1107.02
TGO,1630.87,1293.54,1148.18,1111.17,1103.25
TON,985.52,929.88,953.92,1036.84,1010.72
TTO,824.94,835.06,801.61,754.41,745.29
TUN,831.54,825.56,768.77,733.54,699.31
TUR,1373.95,1395.77,1249.74,1247.4,1181.33
TKM,1433.88,1441.07,1525,1443.79,1338.3
UGA,1245.31,1246.13,1147.95,1088.19,1049.45
UKR,1700.59,1981.6,1663.46,1470.07,1095.67
ARE,1000.83,963.92,868.45,769.2,717.72
GBR,1057.34,951.08,883.45,822.12,750.88
USA,1060.75,1035.61,1001.98,961.09,904.27
URY,961.55,1081.69,1104.47,1071.64,991.36
UZB,1215.7,1269.47,1089.1,891.35,917.73
VUT,2228.32,1920.83,1553.8,1465.44,1395.71
VEN,682.73,639.08,609.75,561.88,611.3
VNM,1447.91,1425.08,1316.93,1178.72,1107.14
YEM,1087.61,1022.21,936.71,869.49,854.19
ZMB,1003.16,982.13,932.37,887.21,874.36
ZWE,1278.83,1185.47,1366.59,1837.82,1867.98
HIA,852.281,806.668,733.284,669.468,612.667
LIA,1766.32,1622.11,1476.75,1413.02,1396.94
LMA,1582.69,1496.61,1388.26,1332.08,1284.12
UMA,1138.02,1103.27,1021.15,960.496,900.328
HIM,814.19,740.76,661.75,610.42,575.24
LIM,1633.07,1465.27,1309.97,1232.06,1222.89
LMM,1443.86,1380.78,1284.78,1178.72,1138.53
UMM,916.25,883.56,843.51,803.04,743.7
HWW,,925.321,826.321,757.647,672.666
LIW,,1783.9,1665.86,1572.37,1553.04
LMW,,2737.01,2412.66,2153.95,2248.34
UMW,,2198.85,1772.7,1472.61,1232.94
WLD,,1973.49,1696.97,1492.19,1409.56
EAS,,2632.98,2124.07,1763.09,1472.32
ECS,,1693.3,1415.46,1305.99,1066.55
LCN,,946.14,866.46,794.39,753.61
MEA,,944.33,874,838.03,784.76
SAS,,3633.81,3191.1,2830.05,3013.69
SSF,,1452.89,1313.36,1221.28,1205.87
