ISO,1990,1995,2000,2005,2010
AFG,3568.13,3586.93,3605.87,3624.97,3665.2
ALB,865.37,819.85,776.72,735.87,945.96
DZA,1205.01,1232.81,1261.27,1290.39,1281.99
AND,1132.42,1132.53,1132.88,1133.45,1182.03
AGO,1114.19,1065.67,1019.27,974.89,910.99
ATG,1034.32,1011.15,988.5,966.36,1236.01
ARG,910.92,889.58,868.75,848.42,960.31
ARM,907.78,911.14,914.52,917.93,904.89
AUS,610.32,612.39,614.49,616.61,612.59
AUT,736.31,735.03,733.88,732.87,926.99
AZE,878.27,895.09,912.23,929.7,790.09
BHS,1299.72,1096.5,925.07,780.45,969.23
BHR,1493.03,1519.25,1545.95,1573.14,1561.51
BGD,727.67,724.61,721.56,718.53,659.16
BRB,1336.5,1207.94,1091.75,986.73,974.05
BLR,1036.11,1087.25,1140.92,1197.26,1154.67
BEL,842.54,829.87,817.56,805.58,771.94
BLZ,1116.39,993.22,883.64,786.15,968.06
BEN,956.44,958.09,959.76,961.43,735.9
BTN,924.57,867.46,813.88,763.62,747.42
BOL,928,978.36,1031.45,1087.43,753.82
BIH,1070.74,917.1,785.51,672.82,702.29
BWA,922.31,949.03,976.55,1004.89,1277.86
BRA,935.28,970.56,1007.17,1045.18,992.41
BRN,789.97,786.01,782.08,778.16,820.44
BGR,707.65,697.09,686.69,676.45,867.64
BFA,1065.1,1026.24,988.8,952.73,741.14
BDI,1013.4,1036.41,1059.94,1084.01,1051.21
KHM,1030.65,958.27,891.02,828.53,876.24
CMR,1085.53,1000.87,922.82,850.86,813.07
CAN,643.88,643.17,642.5,641.86,829.78
CPV,955.4,1029.2,1108.72,1194.41,914.13
CAF,1293.42,1137.51,1000.4,879.82,998.45
TCD,1035.57,1020.16,1004.98,990.05,917.31
CHL,887.67,871.57,855.77,840.26,765.46
CHN,661.08,646.38,632.06,618.12,631.67
COL,1125.92,1125.97,1126.03,1126.1,1126.38
COM,1035.49,1002.93,971.4,940.86,1028.88
COG,1301.78,1196.12,1099.04,1009.85,1113.24
CRI,1061.28,1013.33,967.55,923.85,881.56
CIV,1188.68,1114.18,1044.36,978.92,924.09
HRV,1439.36,1307.33,1187.42,1078.52,1260.73
CUB,852.3,874.17,896.6,919.61,1039.01
CYP,1131.17,1130.86,1130.75,1130.85,1047.07
CZE,816.92,747.99,684.89,627.11,655.04
PRK,732.16,673.07,618.81,568.98,547.63
COD,1017.69,1006.26,994.96,983.8,1019.69
DNK,738.6,734.37,730.31,726.4,943.79
DJI,1026.98,1067.09,1108.76,1152.07,1159.94
DMA,1067.61,1034.75,1002.9,972.04,976.25
DOM,1159.36,1040.37,933.6,837.79,828.68
ECU,929.19,978.74,1030.93,1085.9,824.32
EGY,1098.96,1054.85,1012.52,971.91,970
SLV,1185.9,1138.93,1093.83,1050.53,971.96
GNQ,1297.99,1269.75,1242.14,1215.14,1234.09
ERI,1256.56,1198.17,1142.49,1089.42,1149.43
EST,1090.96,1183.68,1284.3,1393.49,1185.54
ETH,751.61,736.35,721.4,706.76,693.82
FJI,859.27,890.48,922.83,956.35,683.34
FIN,945.54,943.91,942.44,941.14,1101.92
FRA,936.28,939.56,943.04,946.73,893.65
GAB,1302.72,1263.39,1225.26,1188.28,1233.53
GMB,1441.73,1364.89,1292.15,1223.31,924.01
GEO,907.71,907.66,907.62,907.57,899.45
DEU,895.72,887.8,880.11,872.64,907.64
GHA,1060.76,1063.3,1065.87,1068.45,816.33
GRC,961.5,994.6,1029.05,1064.9,912.39
GRD,1194.98,1041.63,907.97,791.45,972.16
GTM,1151.06,1116.44,1082.87,1050.32,961.47
GIN,954.84,998,1043.12,1090.3,823.89
GNB,940.12,989.44,1041.37,1096.04,725.99
GUY,1081.48,1001.13,926.75,857.89,1104.75
HTI,1023.1,1002.54,982.39,962.65,861.16
HND,1526.65,1483.56,1441.71,1401.05,1600.37
HUN,711.13,698.09,685.3,672.74,658.96
ISL,697.44,750.3,807.29,868.74,899.31
IND,786.85,786.94,787.03,787.12,777.42
IDN,968.39,948.45,928.94,909.85,903.1
IRN,1258.24,1259.06,1259.9,1260.75,1246.15
IRQ,821.37,825.33,829.33,833.37,832.17
IRL,606.71,645.94,687.82,732.53,776.26
ISR,846.12,843.39,840.84,838.46,862.8
ITA,867.07,929.13,995.82,1067.49,901.34
JAM,1041.94,988.85,938.47,890.66,884.35
JPN,529.76,532.14,534.54,536.94,509.3
JOR,1194.68,1246.24,1300.04,1356.18,1350.29
KAZ,899.17,926.24,954.12,982.85,780.09
KEN,923.47,958.45,994.77,1032.46,940.4
KIR,1043.44,1056.61,1069.96,1083.49,1009.61
KWT,1358.21,1330.91,1304.18,1278.01,1397.83
KGZ,894.47,864.74,835.99,808.19,878.33
LAO,982.23,958.79,935.95,913.68,1045.92
LVA,1050.19,1073.47,1097.28,1121.62,1108.4
LBN,1005.06,989.62,974.44,959.5,964.2
LSO,795.79,916.7,1056.04,1216.62,1073.63
LBR,1037.85,1051.78,1065.9,1080.23,830.79
LBY,1522.66,1541.07,1559.73,1578.65,1605.52
LTU,1045.75,1069.27,1093.33,1117.94,885.58
LUX,1017.86,1055.88,1095.54,1136.89,1177.71
MKD,1087.14,960.27,848.22,749.25,975.97
MDG,837.52,860.91,884.96,909.68,918.46
MWI,1015.38,943.76,877.2,815.35,1027.34
MYS,1067.14,999.54,936.24,876.96,1004.98
MDV,1217.64,1105.57,1003.85,911.52,935.46
MLI,997.43,1021.19,1045.53,1070.46,1004.98
MLT,1009.99,1048.44,1088.52,1130.3,1171.64
MHL,1039.26,1087.29,1137.55,1190.12,1025.31
MRT,1089.15,1041.15,995.27,951.42,904.42
MUS,963.19,948.35,933.75,919.41,952.21
MEX,726.16,699.8,674.4,649.94,609.01
FSM,860.33,897.23,935.72,975.87,829.95
MNG,699.01,753.87,813.05,876.88,882.23
MNE,1088.39,1068.96,1049.9,1031.19,1074.86
MAR,1353.31,1301.69,1252.07,1204.35,1181.33
MOZ,1111.57,1000.82,901.11,811.35,835.69
MMR,1002.85,974.63,947.24,920.64,938.79
NAM,1153.14,1150.61,1148.09,1145.59,908.77
NPL,502.42,541.39,583.39,628.65,610.6
NLD,1232.52,1265.71,1300.07,1335.63,1419.52
NZL,856.56,861.43,866.36,871.34,859.73
NIC,1148.1,1073.76,1004.24,939.23,931.91
NER,988.29,1015.14,1042.73,1071.08,817.42
NGA,725.8,728.25,730.71,733.2,704.25
NOR,1022.61,1023.03,1023.65,1024.49,1075.5
OMN,1190.21,1209.92,1229.97,1250.36,1000.06
PAK,844.5,847.18,849.87,852.57,902.44
PAN,1207.72,1117.53,1034.1,956.9,876.89
PNG,854.71,859.13,863.58,868.05,926.67
PRY,1150.01,1138,1126.12,1114.37,1141.52
PER,965.63,965.67,965.72,965.77,913.2
PHL,1001.09,975.29,950.19,925.75,939.81
POL,834.38,811.39,789.03,767.29,750.02
PRT,993.83,919.25,850.48,787.06,815.9
QAT,1497.38,1520.71,1544.43,1568.53,1554.42
KOR,555.16,550.44,545.75,541.11,517.87
MDA,1051.14,1078.44,1106.46,1135.22,821
ROU,874.52,846.62,819.6,793.45,820.91
RUS,1194.6,1204.18,1213.84,1223.59,1154.65
RWA,1293.18,1325.36,1358.34,1392.15,1259.13
LCA,1033.25,1095.6,1161.74,1231.88,769.4
VCT,1328.42,1195.44,1075.78,968.1,975.48
WSM,693.11,722.44,753.01,784.88,831.6
STP,1222.82,1224.05,1225.3,1226.56,1132.33
SAU,1200.12,1165.75,1132.38,1099.96,1100.31
SEN,990.28,1025.32,1061.6,1099.19,825.96
SRB,1087.18,993.86,908.56,830.59,774.46
SYC,1120.54,1045.92,976.28,911.3,955.32
SLE,939.07,921.46,904.18,887.24,996.76
SGP,1014.88,1010.39,1005.93,1001.49,1058.44
SVK,1093.99,931.75,793.59,675.93,708.03
SVN,941.78,899.24,858.63,819.85,866.44
SLB,861.16,960.38,1071.03,1194.43,684.23
SOM,1099.91,1088.72,1077.65,1066.7,1111.92
ZAF,885.86,898.2,910.72,923.42,839.82
ESP,749.5,769.25,789.67,810.79,832.31
LKA,1045.8,1007.63,970.89,935.5,874.75
SDN,1219.49,1224.69,1229.9,1235.15,1223.56
SUR,1085.02,1122.76,1161.81,1202.22,966.88
SWZ,915.13,1017.08,1130.46,1256.55,997.55
SWE,975.75,937.93,901.76,867.15,900.61
CHE,875.04,871.76,868.66,865.73,1116.55
SYR,1404.88,1349.74,1296.78,1245.91,1241.53
TJK,889.72,896.63,903.6,910.62,910.03
TZA,822.66,843.95,865.78,888.19,1108.15
THA,879.37,898.24,917.53,937.26,938.63
TLS,1190.13,1139.26,1090.59,1044.03,1041.36
TGO,1078.38,1060.71,1043.33,1026.25,814.11
TON,697.07,844.05,1022.04,1237.59,841.01
TTO,1097.71,1056.13,1016.13,977.64,975.95
TUN,972.43,1057.64,1150.33,1251.15,1261.36
TUR,1152.23,1174.5,1197.21,1220.37,1196.89
TKM,874.08,912.82,953.28,995.55,1108.61
UGA,1155.28,1152.48,1149.68,1146.91,1116.82
UKR,839.92,876.45,914.58,954.38,745.64
ARE,1523.69,1546.23,1569.12,1592.37,1553.08
GBR,629.66,625.36,621.18,617.13,622.76
USA,750.14,758.99,767.98,777.13,841.35
URY,878.68,840.86,804.67,770.05,878.78
UZB,894.64,890.54,886.47,882.43,998.85
VUT,852.38,884.34,917.5,951.91,836.46
VEN,1076.29,1025.82,977.72,931.89,939.92
VNM,769.77,758.5,747.42,736.54,754.82
YEM,1396.98,1250.43,1119.26,1001.87,1225.99
ZMB,1280.69,1184.16,1094.92,1012.41,1038.95
ZWE,1043.3,1025.17,1007.36,989.87,1112.07
HIA,984.577,973.92,965.833,960.114,982.391
LIA,1070.76,1056.2,1043.69,1033.09,990.026
LMA,1027.44,1017.54,1010.64,1006.79,958.342
UMA,1019.46,1002.23,989.042,979.762,962.236
HIM,961.5,937.93,925.07,872.64,912.39
LIM,1015.38,1002.54,994.77,962.65,918.46
LMM,1001.09,1007.63,1012.52,975.87,924.09
UMM,1039.26,993.22,967.55,956.35,945.96
HWW,,835.303,837.641,841.668,848.81
LIW,,953.448,951.382,954.2,941.886
LMW,,865.856,858.454,850.952,840.642
UMW,,781.051,777.191,774.787,776.814
WLD,,828.56,826.08,825.61,825.7
EAS,,717.84,704.8,692.28,707.46
ECS,,1055.3,1065.63,1075.3,1023.75
LCN,,936.19,936.78,939.35,906.96
MEA,,1175.92,1159.65,1145.39,1149.71
SAS,,823.89,824.7,828.69,822.9
SSF,,936.97,931.41,926.1,893.77
# Series: DAUDMAIN,,,,,
"# Name: DALYs per 100,000, Unipolar depressive disorder, male",,,,,
"# Definition: The mean Disability Adjusted Life Years (DALY) rate per 100,000 attributable to risk factor/cause of disease or death",,,,,
# Source: Global Burden of Disease by Institute for Health Metrics and Evaluation (GBD by IHME),,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,
