ISO,2012
ALB,yes
DZA,no
AGO,yes
ARG,yes
ARM,no
AUS,yes
AZE,yes
BGD,yes
BEN,yes
BOL,yes
BIH,yes
BRA,yes
BFA,no
KHM,yes
CMR,no
CAN,no
CHL,yes
CHN,yes
COL,yes
CRI,yes
CIV,no
HRV,yes
COD,no
DNK,no
ECU,yes
EGY,no
SLV,yes
ETH,yes
FJI,yes
FIN,no
FRA,yes
DEU,no
GHA,yes
GTM,yes
HTI,no
HND,yes
IND,yes
IDN,yes
IRN,no
ITA,yes
JAM,yes
JPN,yes
JOR,no
KAZ,yes
KEN,no
LVA,no
LBN,no
LSO,no
LTU,yes
MKD,yes
MDG,no
MWI,yes
MYS,yes
MLI,no
MUS,yes
MEX,yes
MNG,yes
MAR,no
MOZ,yes
NAM,yes
NPL,yes
NIC,yes
NER,no
NGA,yes
PAK,no
PAN,yes
PRY,yes
PER,yes
PHL,yes
POL,yes
PRT,yes
KOR,yes
ROU,yes
RUS,no
RWA,yes
SAU,no
SEN,no
SRB,yes
SLE,yes
SGP,yes
ZAF,yes
ESP,yes
LKA,yes
SWE,yes
CHE,yes
SYR,no
THA,yes
TUN,no
TUR,yes
UGA,yes
UKR,yes
GBR,yes
USA,yes
URY,yes
UZB,no
VEN,yes
YEM,no
ZMB,yes
ZWE,yes
# Series: DDVLIEAB,
"# Name: Domestic violence legislation includes emotional abuse, yes/no.",
# Definition: The presence of legislation that includes emotional abuse as domestic violence.,
"# Source: World Bank, Women Business and the Law",
# Data from the No Ceilings project: http://noceilings.org,
"# For more about the data, please visit http://noceilings.org/data",
