ISO,1990,1995,2000,2005,2010
AFG,319.77,341.43,363.2,352.72,319.7
ALB,131.04,134.79,146.58,146.4,135.71
DZA,138.24,127.4,118.71,111.15,102.19
AND,58.08,53.38,46.68,41.52,38.79
AGO,115.64,116.57,119.79,106.14,100.21
ATG,112.41,96.15,72.38,60.63,55.46
ARG,81.24,65.89,54.23,46.92,42.81
ARM,97.76,101.75,98.96,88.58,77.81
AUS,54.4,45.99,38.29,31.9,30.01
AUT,72.05,59.8,51.22,35.8,30.56
AZE,115.06,104.35,99.67,109.07,96.06
BHS,93.17,58.59,22.22,19.34,28.6
BHR,83.19,78.24,64.53,52.15,36.65
BGD,75.04,98.99,93.12,58.03,55.38
BRB,89.73,80.78,65.62,59.87,55.63
BLR,125.05,142.92,141.19,125.87,108.84
BEL,63.59,50.69,46.34,37.31,34.68
BLZ,85.14,82.77,84.31,67.17,64.18
BEN,97.65,80.88,85.42,84.94,87.08
BTN,73.55,80.7,74.79,69.61,63.32
BOL,99.55,93.09,81,71.61,65.44
BIH,204.28,207.88,170.98,151.3,136.3
BWA,108.43,93.35,87.26,70.47,53.83
BRA,105.93,97.96,82.81,73.8,69.24
BRN,96.81,93.18,82.38,71.62,66.88
BGR,191.28,175.82,165.8,151.18,145.72
BFA,58.57,52.92,59.51,75.42,93.19
BDI,198,181.13,161.63,163.73,162.01
KHM,141.06,137.04,137.72,130.86,120.57
CMR,104.5,85.88,88.07,85.52,87.06
CAN,42.14,38.2,32.93,27.81,26
CPV,107.3,99.61,93.09,87.04,78.15
CAF,136.76,126.79,117,112.47,116.87
TCD,94.26,78.91,85.31,83.69,83.36
CHL,81.52,62.2,54.51,48.52,39.68
CHN,153.33,144.95,134.02,119.42,102.79
COL,70.8,68.68,59.7,52.86,49.24
COM,184.6,164.29,142.42,140.34,143.01
COG,143.62,145.28,135.57,128.75,128.98
CRI,49.13,44.38,37.62,33.25,30.52
CIV,102.16,84.42,88.27,89.91,95.48
HRV,139.69,131.88,110.2,94.92,84.43
CUB,69.84,78.33,73.2,68.02,60.45
CYP,70.67,67.92,61.2,46.46,40.36
CZE,147.86,127.62,118.7,89.73,72.22
PRK,136.63,128.08,138.79,137.5,132.78
COD,123.51,120.3,122.66,126.31,131.54
DNK,58.9,58.34,52.74,47.17,43.88
DJI,125.98,116.87,107.49,105.47,99.59
DMA,97.82,84.59,63.02,59.3,55.73
DOM,99.16,89.43,79.98,79.95,80.7
ECU,59.02,54.14,46.6,41.22,38.1
EGY,126.44,119.95,118.86,122.73,110.63
SLV,65.03,53.04,38.96,34.83,33.48
GNQ,134.33,127.2,102.94,81.48,71.38
ERI,163.57,144.78,128.16,126.06,129.35
EST,142.58,138.08,118.97,89.11,66.02
ETH,90.13,82.29,71.49,88.04,83.05
FJI,222.85,234.04,213.97,136.15,99.35
FIN,68.62,56.78,47.46,38.18,32.86
FRA,44.47,36.61,34.41,26.87,24.23
GAB,105.65,101.03,94.77,91.96,89.76
GMB,130.13,106.69,106.01,102.34,94.08
GEO,139.95,127.86,115.8,112.27,112.34
DEU,63.04,55.79,48.09,35.92,30.94
GHA,146.53,135.44,136.26,129.67,126.69
GRC,124.31,111.6,116.56,98.49,77.86
GRD,143.89,127.25,101.52,102.82,94.86
GTM,56.18,58.13,54.55,43.85,39.97
GIN,121.93,100.16,101.92,101.04,108.14
GNB,117.67,96.44,102.2,113.53,114.95
GUY,214.28,190.64,148.73,154.47,151.82
HTI,306.93,292.7,279.82,270.45,251.42
HND,94.3,94.33,96.62,94.6,89.67
HUN,140.7,124.64,109.62,86.3,73.6
ISL,50.68,44.64,39.65,30.35,25.46
IND,82.5,81.86,81.54,82.01,75.18
IDN,200.18,192.92,198.56,198.28,185.2
IRN,91.15,88.29,81.59,70.84,63.28
IRQ,132.9,139.45,131.66,128.5,123.52
IRL,66.37,56.39,49.41,37.38,33.81
ISR,56.98,50.5,41.16,30.93,26.01
ITA,69.44,58.65,52.64,41.58,38.49
JAM,139.03,123.8,112.59,95,96.65
JPN,61.7,54.84,47.01,39.01,35.76
JOR,138.97,131.4,120.24,114.02,103.01
KAZ,160.38,192.36,195.18,181.35,149.91
KEN,96.97,86.02,72.15,68.93,66.75
KIR,109.34,111.93,114.38,99.39,87.02
KWT,63.04,62.76,56.64,53.96,59.84
KGZ,182.44,218.35,188.9,172.37,148.83
LAO,145.93,142.01,142.11,137.61,125.74
LVA,164.58,182.22,159.99,142.47,108.72
LBN,103.45,98.73,87.53,75.93,67.28
LSO,133.85,131.57,134.88,145.34,135.02
LBR,95.95,95.12,99.86,95.79,101.44
LBY,111.4,105.12,104.74,101.06,95.73
LTU,92.3,105.28,92.88,87.91,71.3
LUX,83.27,67.8,57.55,45.07,39.03
MKD,242.37,249.24,226.52,212.09,192.86
MDG,223.16,226.78,212.9,200.36,194.41
MWI,206.71,213.72,215.24,203.3,180.52
MYS,113.56,100.81,95.89,86.28,80.74
MDV,74.18,55.96,44.72,34.64,29.59
MLI,138.51,131,132.01,123.95,122.95
MLT,60.22,50.13,46.62,42.5,36.88
MHL,96.27,109.12,111.09,103.24,88.8
MRT,110.83,90.97,91.77,92.73,92.98
MUS,140.64,133.97,120.35,95.59,80.16
MEX,47.51,43.22,41.23,37.73,37.17
FSM,113.2,119.02,113.54,103.04,96.31
MNG,201.62,234.13,232.67,206.28,185.45
MNE,104.37,117.64,134.69,113.56,93.05
MAR,128.48,120.76,110.89,104.35,94.68
MOZ,75.37,74.39,69.94,72.77,75.61
MMR,176.43,174.92,166.43,148.2,133.87
NAM,147.17,150.23,155.76,154.08,123.57
NPL,72.81,85.15,81.51,77.42,73.81
NLD,52.21,49.41,45.94,37.11,32.02
NZL,59.62,51.34,43.8,37.93,32.89
NIC,88.65,77.45,68.9,63.53,59.9
NER,108.42,92.21,94.54,95.97,101.28
NGA,94.27,77.92,77.76,74.58,72.73
NOR,60,51.96,44.2,36.05,33.87
OMN,99.13,89.26,78.24,71.85,59.61
PAK,104.71,111.99,107.09,98.75,88.56
PAN,77.64,67.19,54.54,50.79,52.15
PNG,41.96,43.75,43.68,43.09,41.41
PRY,125.52,121.86,109.76,107.15,100.18
PER,62.66,55.45,45.13,40.17,36.98
PHL,70.26,72.07,80.21,91.58,90.09
POL,160.05,143.82,115.96,92.57,80.01
PRT,153.37,129.43,108.62,71.72,65.54
QAT,80.15,82.76,37.39,24.27,19.08
KOR,187.11,149.15,115.04,82.52,69.96
MDA,149.71,177.31,134.84,138.87,116.66
ROU,188.7,196.1,181.83,164.34,140.77
RUS,183.87,220.56,222.97,197.62,158.07
RWA,192.73,175.18,134.9,107.18,105.64
LCA,148.59,119.92,96.57,85.29,91.43
VCT,132.51,128.77,100.79,85.45,83.96
WSM,89.08,83.67,71.22,59.14,46.52
STP,125.8,128.19,116.12,103.94,99.69
SAU,114.98,112.84,106.51,97.7,83.13
SEN,64.31,55.18,50.16,47.37,49.78
SRB,155.44,168.92,175.29,153.23,118.72
SYC,109.38,86.92,83.47,85.92,82.92
SLE,107.6,89.74,97.63,98.63,102.63
SGP,81.79,72.94,60.03,49.3,46.56
SVK,109.45,97.68,87.17,74.36,67.48
SVN,106.75,84.8,72.13,53.71,47.49
SLB,134.7,149.03,148.34,144.21,135.92
SOM,149.92,139.13,125.25,119.29,123.22
ZAF,122.73,114.1,110.12,98.04,83.74
ESP,68.9,53.53,45.58,36.85,32.27
LKA,62.9,64.87,67.87,55.62,49.7
SDN,106.78,88.94,70.88,60.36,55.47
SUR,132.88,127.54,136.46,125.2,110.65
SWZ,136.07,127.36,141.13,166.86,144.89
SWE,52.22,48.09,45.09,37.97,34.44
CHE,49.66,40.01,34.05,30.19,28.3
SYR,102.83,98.04,88.29,76.35,59.07
TJK,159.93,188.23,178.87,168.31,156.81
TZA,68.49,70,60.42,56.1,53.77
THA,55.4,48.46,58.23,68.24,59.37
TLS,130.71,123.54,117.93,116.04,114.16
TGO,117.91,95.21,97.82,98.42,99.79
TON,77.65,71.49,64.27,50.85,41.83
TTO,106.32,108.27,96.31,81.35,72.46
TUN,95.26,91.77,82.53,75.96,69.1
TUR,150.03,133.41,121.32,101.98,90.25
TKM,145.01,148.47,144.72,132.37,118.54
UGA,113.54,102.62,91.79,89.97,88.46
UKR,158.44,180.14,157.26,137.33,114.16
ARE,114.72,105.98,94.51,81.92,73.47
GBR,68.08,58.9,50.48,44.53,38.31
USA,42.66,39.86,36.77,31.84,28.63
URY,92.79,83.26,79.1,71.72,63.04
UZB,145.93,161.68,161.11,153.66,140.25
VUT,123.26,137.84,141.75,136.39,125.36
VEN,73.41,66.32,56.83,51.29,47.2
VNM,146.48,138.7,126.32,110.85,95
YEM,137.24,134.53,127.82,122.1,121.32
ZMB,132.12,139.76,137.43,138.49,126.56
ZWE,95.6,77.17,91.41,128.36,129
HIA,89.4994,81.4631,70.2271,58.2508,50.5587
LIA,139.391,133.393,128.799,125.508,122.436
LMA,117.278,115.347,109.635,105.091,97.5085
UMA,118.926,114.718,106.947,96.226,86.2138
HIM,80.15,62.76,54.51,46.46,39.03
LIM,123.51,106.69,106.01,112.47,114.95
LMM,113.2,116.87,109.76,103.04,95
UMM,113.56,109.12,100.79,91.96,83.96
HWW,,82.6678,75.0182,62.1484,52.4485
LIW,,120.545,115.93,108.321,104.777
LMW,,104.649,102.753,100.397,92.1851
UMW,,124.979,114.942,102.597,89.6373
WLD,,106.28,98.75,88.45,78.55
EAS,,143.48,135.48,123.98,108.95
ECS,,195.4,188.46,166.55,137.31
LCN,,76.9,67.01,60.27,56.25
MEA,,114.58,107.76,102.03,92.75
SAS,,88.47,87.45,83.59,76.48
SSF,,101.11,96.73,95.31,92.59
# Series: DECBFEIN,,,,,
"# Name: Deaths per 100,000, Cerebrovascular disease, female",,,,,
"# Definition: The mean number of deaths per 100,000 attributable to cause of disease or death",,,,,
# Source: Global Burden of Disease by Institute for Health Metrics and Evaluation (GBD by IHME),,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,
