ISO,1990,1995,2000,2005,2010
AFG,44.48,51.03,60.64,63.92,63.07
ALB,3.52,4.07,5.11,5.97,5.38
DZA,44.52,44.78,44.98,44.68,40.72
AND,8.42,8.34,7.93,7.66,7.71
AGO,21.04,23.38,26.43,26.01,27.49
ATG,46.65,52.33,59.64,63.09,61.98
ARG,17.5,17.41,16.4,15.28,14.8
ARM,17.83,28.29,34.86,32.13,28.84
AUS,8.91,9.02,8.04,7.6,7.73
AUT,11.27,10.11,9.5,11,10.02
AZE,11.53,15.32,16.88,16.94,14.5
BHS,57.28,47.03,25.4,20.69,26.35
BHR,58.74,72.46,71.22,77.53,61.38
BGD,16.19,17.27,19.43,24.06,24.97
BRB,68.77,66.61,62.12,64.52,65.19
BLR,4.71,6.63,5.58,4.26,3.36
BEL,11.41,9.27,9.38,7.48,7.39
BLZ,32.6,34.06,62.44,72.26,77.94
BEN,19.56,24.41,26.76,25.86,25.77
BTN,20.32,21.96,23.77,25.79,27.08
BOL,36.29,40.83,39.65,37.93,37.44
BIH,23.06,25.71,22.6,20.19,17.95
BWA,38.42,36.34,38.12,34.26,27.16
BRA,27.79,30.94,30.24,29.9,30.9
BRN,59.53,60.63,68.15,65.06,56.62
BGR,14.4,15.08,14.56,13.15,12.76
BFA,34.5,38.32,40.43,39.55,40.82
BDI,31.68,33.35,33.99,36.85,37.82
KHM,25.36,27.08,29.79,29.96,28.2
CMR,22.11,26.7,30.17,32.34,36.86
CAN,10.85,11.5,11.81,11.47,11.47
CPV,12.21,13.27,13.91,14.65,15.39
CAF,25.04,25.64,24.85,25.6,28.6
TCD,16.82,21.36,24.94,25.06,26.13
CHL,15.16,15.4,13.73,13.84,12.33
CHN,8.78,10.4,12.97,13.13,11.64
COL,20.94,24.4,25.67,23.86,20.98
COM,35.33,36.44,35.03,35.9,37.72
COG,26.28,30.41,30.59,31.48,33.68
CRI,17.86,17.8,14.58,13.68,12.47
CIV,21.94,26.59,30.05,31.49,34.63
HRV,11.95,14.17,11.14,10.41,10.01
CUB,25.37,25.19,15.41,13.41,14.53
CYP,9.2,9.13,11.98,25.52,25.02
CZE,11.81,6.97,6.91,7.32,7.35
PRK,11.91,12.32,13.73,13.92,13.72
COD,20.81,21.6,22.57,24.68,27.83
DNK,8.44,8.01,9.68,9.29,8.88
DJI,27.84,30.45,32.61,35.24,35.06
DMA,58.58,66.1,59.82,53.46,54.1
DOM,33.77,34.1,29.54,31.33,34.36
ECU,26.21,31.6,31.07,26.92,25.21
EGY,22.62,18.87,14.93,13.48,12.37
SLV,23.92,27.42,29.49,34.93,38.36
GNQ,23.23,24.73,22.64,20.12,19.37
ERI,29.03,30.05,30.88,32.22,34.43
EST,4.43,5.5,6.64,7.74,5.89
ETH,34.9,33.53,31.59,30,29.11
FJI,76.13,89.04,106.23,146.24,179.16
FIN,7.11,5.88,4.49,3.55,3.16
FRA,6.34,5.93,7.77,7.19,6.4
GAB,22.29,24.99,26.79,28.8,31.5
GMB,27.03,33.67,36.88,38.2,38.78
GEO,7.44,7.6,8.36,8.14,7.82
DEU,13.4,12.87,11.12,9.16,8.22
GHA,19.99,22.81,25.28,26.13,26.35
GRC,8.02,5.72,5.38,5.68,5.54
GRD,44.83,41.69,64.57,83.71,87.54
GTM,19.79,32.5,40.29,49.01,53.14
GIN,23.32,28,29.58,29.52,32.21
GNB,24.61,29.41,32.11,35.41,36.83
GUY,65.91,77.83,87.54,106.42,115.11
HTI,78.83,90.61,93.32,102.57,107.31
HND,19.33,22,23.87,24.63,24.47
HUN,12.91,11.24,11.46,12.6,11.56
ISL,2.92,3.29,4.11,3.85,3.58
IND,20.83,24.31,28.18,27.4,26.13
IDN,62.84,63.96,67.6,69.07,66.1
IRN,12.33,12.17,13.15,15.38,14.23
IRQ,36.11,40.46,41.61,43.18,43.26
IRL,8.27,6.91,6.62,6.02,5.59
ISR,17.83,19.22,28.83,24.97,21.75
ITA,18.65,15.56,13.93,11.91,11.57
JAM,86.46,88.43,83.81,75.01,84.78
JPN,4.69,3.43,2.37,2.02,1.97
JOR,23.53,23.15,54.89,67.99,60.88
KAZ,8.4,14.32,12.68,10.78,9.57
KEN,20.61,21.2,20.53,20.72,20.95
KIR,124.12,128.03,142.94,154.47,166.86
KWT,29.31,35.35,34.92,26.87,29.51
KGZ,6.72,11.58,8.77,7.55,7.29
LAO,28.42,30.89,34.63,35.71,34.02
LVA,5.52,8.21,6.75,7.1,6.56
LBN,13.38,14.34,14.89,14.35,13.45
LSO,60.13,65.57,71.13,79.71,78.62
LBR,20.52,28.01,30.35,29.53,32.62
LBY,25.59,27.99,34.57,38.26,40.47
LTU,4.02,5.33,4.28,4.28,3.42
LUX,9.37,8.17,6.02,5.36,5.32
MKD,20.58,22.42,23.86,23.23,20.87
MDG,24.98,24.58,23.45,22.38,21.62
MWI,27.08,29.38,31.08,29.7,26.68
MYS,25.59,24.24,24.68,24.92,25.13
MDV,25.94,21.05,16.35,10.99,8.51
MLI,25.73,31.73,34.76,35.47,38.39
MLT,20.23,12.35,10.89,11.96,11.96
MHL,111.64,147.67,193.1,227.95,243.81
MRT,27.72,34,35.64,36.17,37.11
MUS,50.13,40.75,46.19,80.66,100.65
MEX,59.71,60.49,56.81,56.99,57
FSM,108.97,120.66,135.51,147.24,158.83
MNG,4.31,5.43,5.75,5.03,4.56
MNE,18.54,20.14,21.75,15.07,12.69
MAR,84.42,87.88,91.54,94.95,90.19
MOZ,17.26,18.35,18.23,20.29,21.44
MMR,45.89,47.68,46.89,43.35,40.23
NAM,48.59,55.08,64.16,69.29,59.69
NPL,15.61,17.89,19.51,21.05,22.33
NLD,14.73,12.34,11.78,10.08,8.26
NZL,7.16,7.4,8.31,7.83,7.43
NIC,29.49,38.23,39.6,40.29,39.8
NER,20.44,24.99,26.64,27.44,28.34
NGA,23.7,29.46,31.17,29.86,29.55
NOR,5.88,5.66,5.96,5.82,5.87
OMN,42.66,43.09,46.52,47.79,54.64
PAK,24.12,31.42,36.67,38.97,39.86
PAN,26.64,29.73,26.54,28.03,31.82
PNG,90.27,102.58,116.08,131.43,143.98
PRY,37.63,43.15,54.4,66.43,64.42
PER,21.14,20.9,15.69,13.21,12.65
PHL,14.71,20.34,25.46,34.74,36.81
POL,14.99,12.15,9.44,8.39,7.99
PRT,18.16,18.94,18.95,16.69,14.82
QAT,42.16,44.69,68.95,66.76,55.37
KOR,18.18,24.04,27.3,22,18.08
MDA,7.41,11.02,7.86,7.45,5.37
ROU,7.13,6.75,5.58,5.56,5.47
RUS,5.1,8.5,7.05,6.11,5.08
RWA,35.32,36.46,31.12,26.33,26.98
LCA,70.99,88.57,86.26,82.71,93.8
VCT,79.33,111.01,107.9,87.98,71.78
WSM,80.56,85.85,95.24,101.25,101.15
STP,14.97,16.89,15.61,14.92,15.39
SAU,12.98,14.77,16.78,18.2,17.85
SEN,25.03,29.73,32.78,33.14,37.13
SRB,15.35,16.26,17.01,16.78,14.38
SYC,16.35,23.92,30.44,33.37,34.82
SLE,22.6,27.48,30.82,32.45,36.31
SGP,19.02,14.54,14.66,13.68,11
SVK,12.16,10,10.16,8.78,7.68
SVN,10.2,15.98,15.55,10.23,6.79
SLB,103.24,117.45,139.01,160.4,176.11
SOM,28.94,30.95,31.76,31.98,34.3
ZAF,66.77,65.53,74.02,72.29,68.27
ESP,14.96,12.43,10.67,9.25,8.81
LKA,7.66,20.56,34.25,49.3,36.07
SDN,22.24,21.68,19.85,18.25,17.83
SUR,45.8,36.68,38.82,36.42,37.94
SWZ,64.4,66.51,81.01,104.67,99.26
SWE,7.28,6.86,6.93,6.81,6.42
CHE,10.88,11.43,10.78,9.02,8.3
SYR,10.77,10.77,10.82,9.97,8.8
TJK,13.06,15.78,14.18,15.53,14.89
TZA,29.78,31.7,35.44,37.81,36.09
