ISO,1990,1995,2000,2005,2010
AFG,0.61,0.96,0.85,0.85,1.08
ALB,0.83,1.33,0.98,1.3,0.96
DZA,0.02,0.17,0.47,1.25,1.62
AND,,0,0,,
AGO,11.11,26.24,48.85,75.57,75.46
ATG,3.58,6.06,4.97,4.28,3.78
ARG,1.01,2.38,2.96,2.63,2.63
ARM,0.81,1.09,1.56,1.95,2.13
AUS,0.41,0.48,0.22,0.2,0.21
AUT,0.49,0.78,0.41,0.27,0.25
AZE,0.02,0.07,0.2,0.42,0.56
BHS,52.24,114.32,107.21,83.01,73.46
BHR,0.98,1.53,2.5,3.08,3.66
BGD,,0,0.01,0.03,0.07
BRB,7.85,18.36,13.16,7.47,7.86
BLR,0.83,1.75,2.5,2.77,1.58
BEL,0.8,1.13,0.53,0.48,0.5
BLZ,13.16,26.58,47.51,53.02,48.99
BEN,32.48,48.73,70.04,67.36,33.02
BTN,0,0.01,0.05,0.61,2.25
BOL,0.57,1.27,2.04,2.59,2.64
BIH,0.5,0.81,0.54,0.61,0.67
BWA,104.75,325.05,654.46,567.92,199.94
BRA,8.49,12.11,7.47,7.04,7.75
BRN,0.35,0.39,0.33,0.35,0.36
BGR,0.04,0.13,0.41,0.94,1.51
BFA,96.13,121.47,119.3,88.65,46.25
BDI,96.34,210.6,264.22,230.62,157.49
KHM,0.94,13.49,36.92,40.9,8.82
CMR,34.24,96.59,169.09,206,162.56
CAN,0.72,1.09,0.58,0.53,0.6
CPV,19.98,26.02,27.79,26.3,19.1
CAF,57.12,150.71,256.75,340.68,336.4
TCD,18.84,51.75,97.42,122.99,79.98
CHL,0.59,0.79,0.8,0.79,1.01
CHN,0.01,0.1,0.65,1.14,1.42
COL,1.27,5.77,11.98,11.62,10.31
COM,0.03,0.04,0.04,0.03,0.01
COG,104.06,187.83,198.92,189.71,122.21
CRI,0.87,1.21,1.27,1.07,1.36
CIV,94.21,189.79,245.87,231.92,134.32
HRV,0.03,0.13,0.18,0.24,0.24
CUB,0.71,0.88,0.81,0.43,0.57
CYP,0.81,1.57,0.84,0.74,0.61
CZE,0.03,0.1,0.12,0.08,0.08
PRK,0,0.08,0.26,0.39,0.45
COD,48.54,67.84,80.21,89.67,88.76
DNK,0.65,0.93,0.31,0.3,0.3
DJI,6.65,42.33,112.88,149.69,128.45
DMA,11.7,12.58,8.09,4.58,3.15
DOM,3.98,22.33,39.27,42.19,19.84
ECU,0.26,0.78,1.92,3.28,3.34
EGY,0.02,0.06,0.12,0.19,0.25
SLV,3.29,6.34,9.17,8.78,7.24
GNQ,2.95,13.04,41.72,105.1,166.7
ERI,4.33,17.31,47.78,64.74,39.09
EST,0.14,0.71,3.3,11.01,11.46
ETH,12.56,43.61,86.78,103.38,35.21
FJI,0.08,0.17,0.37,0.86,1.26
FIN,0.26,0.5,0.23,0.2,0.22
FRA,1.5,2.68,0.99,0.76,0.65
GAB,19.98,66.53,137.48,181.62,158.35
GMB,2.75,10.65,27.44,52.41,68.29
GEO,0.06,0.28,0.62,1.28,1.81
DEU,0.42,0.76,0.38,0.3,0.28
GHA,45.79,96.15,112.2,111.04,81.13
GRC,2.74,4.18,2.87,3.38,2.63
GRD,8,9.55,7.59,7.48,5.93
GTM,0.48,1.73,5.18,5.34,9.13
GIN,14.67,36.98,60.07,67.21,40.05
GNB,3.98,12.12,28.21,51.77,40.7
GUY,4.41,41.47,101.61,110.89,52.37
HTI,33.47,78.63,94.37,85.04,20.93
HND,5.38,13.48,19.5,12.84,10.67
HUN,2.6,2.43,1.34,0.95,0.93
ISL,0.37,1.34,1.38,1.45,1.02
IND,0.3,1.39,4.69,8.47,8.41
IDN,,0,0,0.39,2.54
IRN,0.1,0.21,0.42,0.72,0.66
IRQ,0.01,0.01,0.02,0.02,0.03
IRL,0.58,1.05,0.67,0.39,0.28
ISR,0.36,1.32,0.79,0.49,0.45
ITA,1.27,3.28,0.96,0.74,0.73
JAM,3.33,19.46,53.57,56.06,31.72
JPN,0.18,0.11,0.06,0.06,0.06
JOR,0.08,0.12,0.23,0.3,0.39
KAZ,0,0.16,1.05,2.56,3.6
KEN,26.37,169.41,300.85,294.78,152.43
KIR,0.14,1.36,4.4,6.31,3.28
KWT,0.3,0.54,0.83,1,1.44
KGZ,0.14,0.97,3.1,7.95,15.25
LAO,0.01,0.2,1.08,2.84,3.67
LVA,0.22,0.78,2.57,7.02,9.94
LBN,0.86,1.32,2.11,2.59,3.35
LSO,10.86,123.97,500.42,893.76,654.72
LBR,9.68,37.15,65.27,83.5,66.12
LBY,0.33,0.56,0.84,1.05,1.43
LTU,0.11,0.29,0.67,1.21,1.28
LUX,0.86,0.86,0.42,0.45,0.45
MKD,1.45,2.27,1.51,1.79,1.3
MDG,7.2,14.96,22.27,24.67,23.35
MWI,143.05,329.24,520.35,612.27,362.92
MYS,2.5,6.1,7.93,7.08,6.47
MDV,0.43,0.69,0.74,0.57,0.4
MLI,17.51,52.08,84.45,83.15,51.74
MLT,0.61,0.59,0.44,0.37,0.3
MHL,,0,0,,
MRT,5.75,16.1,27.8,33.5,32.25
MUS,3.36,7.02,10.6,13.3,13.51
MEX,1.87,2.97,3.53,3.75,1.52
FSM,,0,0,,
MNG,0,0.01,0.04,0.14,0.36
MNE,0.02,0.07,0.11,0.14,0.15
MAR,1.66,3.16,4.19,4.09,3.88
MOZ,1.31,43.77,193.93,356.1,340.3
MMR,0.02,2.08,10.02,21.21,22.8
NAM,21.58,123.27,396.2,640.18,213.61
NPL,0.01,0.16,2.07,7.66,8.07
NLD,0.48,0.72,0.4,0.26,0.21
NZL,0.79,0.76,0.23,0.14,0.15
NIC,0.89,1.36,1.84,2.35,1.22
NER,12.07,22.52,31.42,34.98,27.27
NGA,5.04,37.87,100.36,134.2,118.8
NOR,0.5,0.6,0.26,0.25,0.24
OMN,0.41,0.7,0.3,0.22,0.29
PAK,0.08,0.22,0.38,0.64,1.09
PAN,4.31,21.82,38.32,34.64,19.22
PNG,0.7,8.82,29.23,43.89,23.1
PRY,1.26,1.88,2.7,4.26,4.15
PER,1.59,3.37,4.74,6.28,4.41
PHL,0,0,0.02,0.08,0.17
POL,0.22,0.81,0.38,0.3,0.25
PRT,0.86,2.77,3.5,3.26,2.74
QAT,0.16,0.24,0.4,0.46,0.53
KOR,0.36,0.33,0.22,0.41,0.45
MDA,4.39,6.64,9.45,12.86,12.58
ROU,0.21,0.87,0.85,1.41,1.65
RUS,,0.02,0.89,12.53,17.44
RWA,175.63,296.73,257.76,194.09,53.25
LCA,5.62,4.99,4.99,6.15,5.24
VCT,6.41,17.15,24.49,20.1,14.23
WSM,,0,0,,
STP,1.98,29.91,66.8,68.44,44.51
SAU,0.11,0.17,0.28,0.35,0.44
SEN,5.87,11.89,20.65,24.64,20.79
SRB,0.93,1.17,0.83,0.71,1.62
SYC,0.98,5.89,10.43,10.59,7.59
SLE,1.58,9.11,27.45,43.95,50.31
SGP,0.48,0.7,0.71,0.52,0.49
SVK,0,0.02,0.03,0.05,0.06
SVN,0.03,0.09,0.17,0.24,0.27
SLB,,0,0,,
SOM,15.59,38.14,52.11,55.24,63.56
ZAF,9.53,74.13,341.07,627.68,428.2
ESP,1.96,4.93,1.82,1.3,0.96
LKA,0,0.01,0.08,0.32,0.51
SDN,5.82,18.03,27.27,34.26,39.21
SUR,4.5,15.2,33.14,40.49,32.37
SWZ,43.12,205.11,559.51,973.5,684.81
SWE,0.46,0.58,0.23,0.22,0.21
CHE,2.55,4.21,1.53,0.88,0.85
SYR,0.08,0.13,0.22,0.25,0.3
TJK,0.79,1.21,2.25,5.1,8.59
TZA,77.16,227.58,326.6,317.46,229.21
THA,5.47,38.21,56.67,40.06,25.23
TLS,,0,0,,
TGO,20.71,48.75,81.17,105.41,93.73
TON,,0,0,,
TTO,2.7,20.71,50.14,48.35,38.74
TUN,0.38,0.81,1.17,1.56,3.28
TUR,0,0.01,0.05,0.11,0.09
TKM,0.77,1.14,2.26,4.99,8.18
UGA,295.14,376.37,340.34,259.27,198.23
UKR,0,0.12,3.17,24.35,37.37
ARE,0.62,0.98,1.62,1.83,2.24
