ISO,1990,1995,2000,2005,2010
AFG,0.01501,0.111379,0.144533,0.109021,0.090167
ALB,0.000581,0.022817,0.04882,0.021161,0.000477
DZA,,0.000142,0.018756,0.063587,0.148744
AGO,0.093962,0.802752,3.10375,7.36989,11.7658
ATG,0.39368,0.547176,0.499793,0.451987,0.35067
ARG,0.224608,0.230678,0.251414,0.324923,0.353188
ARM,0.008056,0.034512,0.110512,0.168977,0.074138
AUS,0.118384,0.148583,0.035159,0.029575,0.032548
AUT,0.060258,0.080372,0.060857,0.059589,0.060834
AZE,0.000169,0.000267,0.000711,0.003223,0.001933
BHS,0.362661,2.32593,3.11386,1.81316,2.814
BHR,0.112918,0.181097,0.251786,0.383454,0.552184
BGD,,,0.00001,0.000129,0.003692
BRB,0.534622,1.02156,0.788977,0.722058,0.640418
BLR,0.000908,0.018861,0.046205,0.030291,0.011468
BEL,0.296554,0.406213,0.111927,0.071611,0.079744
BLZ,0.355604,1.28813,3.70222,4.92395,4.96526
BEN,3.83844,8.80762,11.6236,12.24,12.0734
BTN,,,0.002004,0.002029,0.048024
BOL,0.02745,0.084582,0.187448,0.321332,0.351519
BIH,0.001784,0.035298,0.065308,0.090477,0.084238
BWA,0.210852,4.377,23.9139,19.4427,6.51284
BRA,0.266805,0.804392,0.84258,0.452055,0.261282
BRN,0.095068,0.10271,0.087305,0.068003,0.070213
BGR,0.000648,0.007192,0.025647,0.085585,0.251541
BFA,2.63445,16.0523,26.0899,25.2794,21.5568
BDI,0.348347,8.71672,34.6586,50.566,46.9126
KHM,0,0.002131,0.740803,4.30037,4.14677
CMR,0.16671,2.3674,10.2765,20.2597,28.3608
CAN,0.133248,0.173824,0.047382,0.024418,0.030366
CPV,1.44941,4.0751,5.20316,5.80517,5.43589
CAF,0.187765,2.12231,7.52627,18.0475,27.0158
TCD,0.195981,1.88258,7.89556,15.391,22.9346
CHL,0.088536,0.085969,0.044022,0.063083,0.077312
CHN,0.00001,0.000715,0.003418,0.050123,0.107992
COL,0.01755,0.084088,0.50835,1.71913,2.21506
COM,0.00352,0.002966,0.003037,0.002853,0.00143
COG,1.51665,16.3255,33.3772,36.0638,32.2943
CRI,0.214658,0.413112,0.19094,0.119717,0.132459
CIV,0.765569,8.4956,22.3283,32.8561,36.9645
HRV,0.000539,0.005178,0.0241,0.076228,0.147728
CUB,0.187663,0.220577,0.13593,0.094498,0.107855
CYP,0.111873,0.156094,0.087813,0.067003,0.058159
CZE,0.000031,0.000532,0.002306,0.003248,0.000566
PRK,,,0.005112,0.044599,0.086572
COD,2.95701,5.76207,10.1085,13.9899,16.4087
DNK,0.032739,0.039106,0.022709,0.021027,0.019827
DJI,0.827413,6.94185,12.6413,23.7703,31.06
DMA,0.659174,0.735708,0.486163,0.378027,0.308978
DOM,0,0.046824,1.46002,4.34324,4.36879
ECU,0.007714,0.020751,0.064151,0.182207,0.097597
EGY,0.000077,0.001678,0.005341,0.011421,0.019862
SLV,1.24042,2.81973,3.45034,2.06332,0.855385
GNQ,0.041037,0.283669,1.57062,6.00988,15.8503
ERI,0.222941,0.907755,3.60248,9.31027,11.3373
EST,0.000856,0.00327,0.009363,0.004757,0.015926
ETH,0.094228,0.966304,5.13075,14.4837,17.567
FJI,0.002286,0.008561,0.033843,0.070204,0.162305
FIN,0.000313,0.007137,0.013543,0.005264,0.000194
FRA,0.297658,0.427628,0.146417,0.049736,0.040664
GAB,0.126382,0.864524,3.83503,11.0183,17.632
GMB,0.021171,0.153701,0.742883,2.10656,4.01104
GEO,0.000222,0.001447,0.01394,0.031293,0.027107
DEU,0.107356,0.117793,0.047778,0.032061,0.025056
GHA,0.452233,4.59285,11.6856,16.479,16.6042
GRC,0.001854,0.073526,0.137056,0.056193,0.001299
GRD,1.38365,1.23466,0.920491,0.831502,0.640846
GTM,0.014978,0.043595,0.157425,0.360927,0.674677
GIN,0.141369,1.49534,5.65448,10.2013,14.1001
GNB,0.120718,0.643088,2.29903,5.61287,9.82297
GUY,0.048249,0.177077,3.1957,14.8212,14.0093
HTI,0.057395,2.59716,12.604,18.864,16.7534
HND,0.131942,0.510274,1.66104,2.01954,1.33749
HUN,0.00264,0.117483,0.247072,0.102125,0.011101
ISL,0.002354,0.004467,0.019972,0.026768,0.021798
IND,0.000099,0.023635,0.152662,0.574978,1.51622
IDN,,,,0,0.002656
IRN,0.000025,0.002089,0.013284,0.021748,0.034028
IRQ,0.000659,0.001135,0.001838,0.003095,0.005104
IRL,0.154763,0.200581,0.114405,0.062995,0.050582
ISR,0.000129,0.004872,0.030797,0.014919,0.000183
ITA,0.196383,0.353098,0.179386,0.09461,0.086977
JAM,0.044627,0.460812,1.78872,3.50514,2.15483
JPN,0.050075,0.030873,0.015872,0.019978,0.018481
JOR,0.010089,0.01636,0.026759,0.041556,0.061989
KAZ,,0.000131,0.007186,0.046165,0.031374
KEN,0.034057,1.16945,13.8818,34.1436,28.6635
KIR,0.018885,0.003919,0.127928,0.680306,1.1383
KWT,0.035143,0.065792,0.09324,0.142577,0.248652
KGZ,,0.000144,0.034719,0.161678,0.277123
LAO,0.000278,0.000256,0.012594,0.112696,0.326702
LVA,0.000593,0.004517,0.016758,0.050192,0.004424
LBN,0.100789,0.164852,0.240496,0.356953,0.548759
LSO,0.047995,0.50619,7.53214,59.471,62.545
LBR,0.022234,0.572837,3.27889,8.6542,14.3645
LBY,0.025864,0.046005,0.088526,0.128605,0.212173
LTU,0.00133,0.012052,0.033392,0.0748,0.163088
LUX,0.049318,0.063328,0.048721,0.048504,0.044123
MKD,0.000992,0.037336,0.061217,0.02629,0.000544
MDG,0.237554,0.707555,1.54394,2.74418,3.44312
MWI,1.37948,16.8547,59.1932,77.4195,67.7584
MYS,0.115812,0.210638,0.601237,0.887787,0.743754
MDV,0.004245,0.037633,0.068986,0.072781,0.071464
MLI,0.097051,1.25724,5.89113,11.6076,13.9776
