ISO,1990,1995,2000,2005,2010
AFG,237.97,263.3,247.28,223.95,227.22
ALB,60.27,68.34,79.72,74.69,70.07
DZA,65.44,91.61,77.19,62.08,51.89
AND,44.78,40.79,37.11,35.67,31.91
AGO,260.39,211.42,193.54,181.82,190.62
ATG,46.14,195.99,40.1,39.77,42.66
ARG,86.52,90.69,93.3,86.05,82.03
ARM,108.37,111.36,82.29,82.66,87.16
AUS,62.5,54.59,53.56,45.92,42.59
AUT,86.83,76.64,66.46,58.71,52.69
AZE,91.7,89.81,57.8,54.77,52.45
BHS,113.42,97.98,98.17,86.44,83.63
BHR,76.51,76.77,75.87,72.46,57.37
BGD,111.74,108.05,95.42,83.64,77.18
BRB,62.61,58,61.7,60.3,54.45
BLR,155.1,206.24,220.49,210.2,195.86
BEL,79.89,78.42,76.51,66.88,63.33
BLZ,77.62,115.06,140.76,125.11,116.09
BEN,110.75,110.19,108.04,97.56,93.65
BTN,238.43,214.19,245.57,176.8,164.5
BOL,139.56,120.64,108.89,93.89,91.32
BIH,86.66,466.73,67.22,60.4,52.44
BWA,112.78,128.74,172.17,162.74,100.05
BRA,142.82,141.9,138.43,133.05,129.53
BRN,70.67,72.57,63.42,55.76,55.29
BGR,87.81,93.14,78.38,70.32,62.77
BFA,137.07,141.85,134.56,124.3,125.95
BDI,182.82,192.58,191.11,188.12,172.84
KHM,105.85,108.58,111.21,103.27,102.82
CMR,127.6,130.13,131.64,129.58,128.57
CAN,68.19,62.82,55.82,51.24,47.95
CPV,105.53,102.81,92.03,89,90.93
CAF,194.54,202.87,213.94,233.32,249.82
TCD,156.49,104.11,126.52,113.51,111.2
CHL,131.08,107.52,86.55,77.15,83.76
CHN,96.58,92.96,88.4,83.63,77.41
COL,253.31,243.9,228.96,173.9,151.06
COM,157.69,155.16,149.07,152.11,160.77
COG,182.34,223.41,211.37,195.95,188.73
CRI,82.96,86.43,82.31,76.99,77.13
CIV,126.97,149.79,157.73,151.29,138.22
HRV,131.49,116.43,82.82,75.72,65.4
CUB,104.27,102.82,86.53,72.27,64.39
CYP,61.13,62.55,58.72,50.03,46.3
CZE,98.06,89.94,79.47,71.9,64.04
PRK,104.2,100.32,3341.26,98.07,97.24
COD,132.99,126.06,125.69,114.25,129.22
DNK,75.22,69.11,58.19,50.3,45.08
DJI,182.6,175.87,155.84,155.2,153.53
DMA,70.74,74.73,73.88,75.87,74.81
DOM,85.07,85.67,94.22,102.25,96.07
ECU,143.7,136.6,127.59,116.32,117.55
EGY,50.48,55.32,52.78,48.7,52.24
SLV,281.36,264.74,225.55,237.12,243.35
GNQ,237.98,189.4,191.43,211.62,228.89
ERI,161.01,150.86,1814.92,161.05,158.83
EST,178.88,258.43,189.86,145.15,93.19
ETH,313.92,162.17,150.24,145.36,142.7
FJI,108.99,106.73,104.01,93.52,92
FIN,116.74,98.03,86.06,78.63,68.65
FRA,99.01,91.72,81.56,67.58,64.16
GAB,212.86,228.27,248.32,273.92,275.9
GMB,113.28,110.45,104.75,101.98,96.94
GEO,100.63,92.66,60.58,62.15,69.96
DEU,66.06,58.5,52.08,44.06,39.89
GHA,66.23,73.22,65.38,68.67,71.75
GRC,57.4,53.6,50.1,44.79,43.2
GRD,72.52,72.13,89.29,102.51,79.16
GTM,183.55,199.4,190.83,212.21,208.29
GIN,97.38,94.14,95.38,81.88,86.34
GNB,143.55,139.17,137.01,127.88,122.06
GUY,155.75,149.05,158.44,220.01,157
HTI,89.5,111.75,112.91,120.4,2825.68
HND,151.61,152.82,150.58,142.97,147.66
HUN,139.49,129.47,110.58,98.26,83.59
ISL,59.85,48.95,45.16,36.75,35.16
IND,113.1,125.71,134.47,129.85,132.88
IDN,73.27,78.16,77.57,71.64,72
IRN,234.6,127.71,130.1,124.93,109.25
IRQ,107.27,102.16,86.59,274.06,94.88
IRL,54.89,53.68,56.41,44.72,42.88
ISR,61.6,58.04,56.03,50.98,40.43
ITA,60.25,54.54,49.17,39.94,37.03
JAM,31.73,42.05,67.56,77.05,61.08
JPN,56.41,58.21,60.31,57.61,53.03
JOR,71.49,63.31,61.5,55.15,53.33
KAZ,188.25,254.91,250.57,231.57,192.29
KEN,94.38,100.67,113.63,121.23,113.68
KIR,185.28,182.05,180.77,167.84,153.24
KWT,50.34,63.98,56.08,51.33,52.51
KGZ,145,162,127.41,129.34,125.77
LAO,143.51,136.68,130.08,127.45,120.89
LVA,195.53,284.09,201.76,166.93,116
LBN,162.28,62.63,53.97,50.13,47.85
LSO,187.38,206.09,251.18,328.08,310.8
LBR,295.68,146.05,81.65,70.68,75.18
LBY,65.63,55.91,63.06,67.25,65.88
LTU,186.98,251.39,207.89,207.85,159.74
LUX,79.57,69.12,64.69,54.69,44.31
MKD,60.47,55.37,56.25,50.43,43.75
MDG,134.93,128.9,117.49,111.58,111.91
MWI,140.36,154.84,194.02,207.49,187.63
MYS,99.09,98.37,96.23,90.25,93.85
MDV,122.41,103.76,102.38,102.27,66.57
MLI,131.65,117.45,110.67,95.05,93.29
MLT,26.3,25.18,30.97,27.93,28.38
MHL,129.56,120.16,114.79,107.31,101.29
MRT,116.28,115.97,112.67,107.29,106.75
MUS,68.87,67.79,56.68,52.31,53.04
MEX,147.38,124.51,102.68,92.25,104.03
FSM,142.65,131.9,125.21,122.26,121.32
MNG,160.43,146.9,138.92,154.83,139.4
MNE,65.98,69.2,70.62,68.92,68.31
MAR,44.18,256.57,41.44,39.83,45.6
MOZ,172.07,158.15,169.62,194.76,205.15
MMR,147.9,150.56,145.41,138.67,132.43
NAM,157.52,158.67,190.37,217.55,156.68
NPL,118.62,110.58,101.04,97.71,87.78
NLD,44.24,41.55,40.93,35.9,32.58
NZL,77.13,66.24,58,51.21,45.88
NIC,103.1,95.61,88.87,86.71,83.89
NER,121.04,102.54,90.28,77.45,76.78
NGA,129.93,136.79,131,128.4,134.1
NOR,65.18,55.27,55.62,47.19,43.1
OMN,105.33,99.67,99.75,93.58,95.61
PAK,117.88,125.1,122.46,188.02,128.72
PAN,101.94,99.25,83.42,82.93,89.62
PNG,193.8,195.68,192.93,185.55,167.08
PRY,76.18,89,94.07,99.43,105.18
PER,100.73,95.17,79.24,65.45,64.9
PHL,85.65,81.75,91.76,92.58,89.62
POL,113.49,108.02,102.53,96.67,84.03
PRT,104.59,88.56,77.49,62.06,54.82
QAT,59.16,61.43,73.74,73.03,63.33
KOR,122.39,116.11,97.8,83.03,76.17
MDA,151.42,173.44,123.88,128.47,133.91
ROU,100.62,109.34,92.08,82.74,75.37
RUS,209.26,337.88,328.63,308.61,206.26
RWA,255.18,1644.27,195.49,159.46,147.54
LCA,89.08,93.69,101.38,92.26,85.6
VCT,85.94,87.75,91.18,96.09,80.43
WSM,114.37,104.04,97.6,94.97,81.67
STP,76.87,73.62,71.73,63.26,61.1
SAU,104.6,98.64,97.44,90.3,87.7
SEN,79.25,82.37,74.83,64.58,68.43
SRB,70.67,76.17,63.1,58.18,54.28
SYC,173.77,173.85,157.27,172.07,186.88
SLE,130.29,155.42,115.21,100.52,101.98
SGP,53.37,42.31,36.91,34.89,32.87
SVK,108.86,92.7,87.09,77.94,68.92
SVN,132.02,120.89,103.69,88.92,73.49
SLB,144.43,137.07,135.8,134.89,128.27
SOM,209.92,168.01,157.98,151.03,192.41
ZAF,167.61,162.12,154.06,150.91,140.24
ESP,71.15,58.17,52.91,45.49,35.83
LKA,212.15,197.84,195.54,166.29,149.97
SDN,130.52,114.04,118.6,109.38,113.27
SUR,108.38,90.03,97.6,101.35,95.02
SWZ,149.69,158.65,221.42,293.79,254.43
SWE,62.64,51.43,47.75,45.31,42.45
CHE,87.81,76.3,66.9,56.9,50.27
SYR,41.72,36.87,33.17,27.69,25.5
TJK,102.65,142.15,72.07,72.12,83.61
TZA,115.92,113.18,111.7,117.57,115.88
THA,104.3,149.04,146.11,138.14,122.84
TLS,76.19,74.63,74.03,68.37,65.61
TGO,113.61,111.91,104.11,113.01,100.92
TON,94.89,84.81,89.84,99.19,93.35
TTO,101.2,103.01,101.48,111.1,112.1
TUN,78.22,77.04,70.95,67.6,65.39
TUR,62.64,96.55,59.92,46.24,43.28
TKM,119.26,112.2,103.05,93.53,88.3
UGA,142.71,163.68,181.85,176.19,171.78
UKR,160,217.32,205.81,204.55,150.7
ARE,81.47,82.85,75.48,67.8,61.59
GBR,44.95,42.39,40.4,37.15,34.83
USA,87.53,82.39,73.76,74.4,69.5
URY,93.71,102.71,97,89.31,81.88
UZB,99.13,96.19,88.02,88.35,90.4
VUT,144.76,138.46,135.49,132.78,125.48
VEN,128.23,133.79,141.29,153.83,172.59
VNM,117.24,113.98,107.1,98.32,89.81
YEM,82.64,78.05,71.12,63.88,63.55
ZMB,227.43,258.79,265.43,259.23,227.64
ZWE,104.16,114.59,167.89,227.12,186.57
HIA,90.8921,94.3365,82.4871,74.9923,66.0983
LIA,149.338,180.759,274.767,132.332,208.307
LMA,132.205,138.581,130.923,132.495,124.661
UMA,113.393,119.437,109.364,108.704,97.3661
HIM,77.13,76.3,66.46,58.71,54.45
LIM,134.93,139.17,126.52,120.4,122.06
LMM,127.6,130.13,123.88,127.45,121.32
UMM,100.62,98.37,92.08,92.26,83.59
HWW,,109.23,100.924,92.323,75.2219
LIW,,145.81,241.034,124.257,155.163
LMW,,121.616,121.196,121.741,117.638
UMW,,109.106,102.023,97.9801,90.4728
WLD,,116.07,123.73,106.63,103.14
EAS,,95.06,131.76,86.96,81.67
ECS,,224.48,202,187.33,136.53
LCN,,136,127.43,118.58,160.17
MEA,,104.55,76.91,85.85,69.75
SAS,,127.79,132.63,133.56,129.21
SSF,,152.27,147.41,136.74,135.76
# Series: DEIJMAIN,,,,,
"# Name: Deaths per 100,000, injuries, male",,,,,
"# Definition: The mean number of deaths per 100,000 attributable to cause of disease or death",,,,,
# Source: Global Burden of Disease by Institute for Health Metrics and Evaluation (GBD by IHME),,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,
