ISO,1990,1995,2000,2005,2010
AFG,184.54,182.46,183.12,158.73,118.97
ALB,80.63,62.56,48,38.05,33.6
DZA,40.06,37.4,36.48,29.12,22.98
AND,18.18,17.06,15.93,15.23,13.85
AGO,242.4,213.62,176.31,138.48,121.22
ATG,43.01,34,25.65,26.05,27.5
ARG,40.81,42.21,44.05,46.8,45.3
ARM,36.06,32.92,22.16,19.06,17.48
AUS,11.92,11.04,10.55,9.65,9.11
AUT,14.78,12.18,11.63,9.9,8.73
AZE,91.31,99,73.39,54.16,37.39
BHS,67.24,40.08,24.39,18.48,18.07
BHR,28.4,23.18,24.13,27.46,22.68
BGD,147.65,124.48,94.41,79.39,74.01
BRB,36.1,27.78,28.04,31.21,28.93
BLR,16.25,18.85,19.66,17.35,15.04
BEL,27.05,25.71,27.46,23.49,21.99
BLZ,66.11,63.81,67.42,51.48,46.55
BEN,192.52,196.81,192.53,167.74,157.23
BTN,125.53,106.28,87.78,70.52,59.48
BOL,137.33,121.96,98.59,81.58,75.35
BIH,18.22,19.33,13.39,11.64,9.48
BWA,67.51,58.55,53.71,33.79,26.51
BRA,62.26,55.02,44.92,42.15,41.73
BRN,33.25,33,32.27,32.39,35.11
BGR,42.82,39.27,32.97,27.41,24.75
BFA,262.71,285.15,262.76,230.8,229.54
BDI,195.4,198.66,196.69,177.59,155.34
KHM,159.88,154.45,146.63,111.66,94.12
CMR,169.51,201.87,194.7,169.65,163.69
CAN,24.33,22.37,17.6,13.93,13.59
CPV,82.22,85.06,74.88,64.65,55.64
CAF,239.42,252.71,262.07,253.61,253.93
TCD,228.15,249.81,259.19,238.22,231.72
CHL,85.96,68.44,47.32,35.11,32.08
CHN,38.7,34.96,28.02,22.13,18.08
COL,34.62,34.29,30.16,28.75,27.42
COM,158.23,143.25,132.41,126.89,125.67
COG,135.38,155.17,148.84,129.35,118.42
CRI,28.53,26.91,20.65,18.4,18.18
CIV,180.67,221.99,215.89,212.33,207.58
HRV,23.2,22.7,21.84,21.04,14.05
CUB,40.71,47.59,47.86,44.4,38.96
CYP,31.07,33.32,25.57,16.05,13.54
CZE,24.91,22.76,21.82,20.83,19.87
