ISO,1990,1995,2000,2005,2010
AFG,38.9,41.13,45.03,43.08,32.82
ALB,0.7,0.41,0.28,0.2,0.14
DZA,6.16,4.18,2.63,1.49,1.11
AND,0.05,0.05,0.04,0.03,0.03
AGO,59.82,46.11,40.82,38.11,29.48
ATG,1.06,0.88,0.56,0.41,0.31
ARG,3.18,2.52,2.34,1.97,2.25
ARM,1.77,1.67,1.14,0.8,0.73
AUS,0.16,0.13,0.12,0.1,0.1
AUT,0.12,0.11,0.09,0.07,0.05
AZE,1.18,1.49,1.03,0.77,0.65
BHS,1.63,1.71,1.41,1.05,0.84
BHR,3.54,2.52,1.78,1.15,0.8
BGD,40.91,28.28,20.85,11.33,8.59
BRB,2.02,1.02,1.11,0.97,1.01
BLR,0.65,0.41,0.29,0.17,0.14
BEL,0.16,0.18,0.13,0.08,0.1
BLZ,3.35,2.88,3.45,2.47,1.96
BEN,25.66,20.18,16.31,15.91,13.35
BTN,43.92,29.23,17.63,12.26,7.46
BOL,23.22,14.69,13.35,12.74,10.18
BIH,0.38,0.42,0.17,0.14,0.1
BWA,19.21,33.76,66.66,57.03,15.55
BRA,4.91,4.05,3.27,3,2.64
BRN,1.11,0.79,0.51,0.46,0.38
BGR,1.03,0.69,0.62,0.39,0.27
BFA,17.19,26.8,27.75,22.34,17.89
BDI,53.35,59.25,58.75,46.05,31.83
KHM,9.31,7.93,6.51,6.47,3.33
CMR,30.97,38.45,44.01,39.82,30.38
CAN,0.11,0.12,0.1,0.11,0.13
CPV,10.35,7.33,4.34,2.72,1.94
CAF,51.01,60.04,66.15,72.74,68.53
TCD,45.28,49.5,64.75,61.04,47.8
CHL,2.4,1.38,0.89,0.7,0.67
CHN,3.21,1.97,1.37,0.94,0.57
COL,4.9,4.43,5.21,4.09,3.05
COM,39.13,31.2,25.39,23.43,23.08
COG,25.9,41.48,47.98,46.22,31.91
CRI,1.8,1.83,1.32,1.18,0.98
CIV,23.13,23.58,18.8,15.11,12.04
HRV,0.27,0.25,0.15,0.15,0.13
CUB,2.93,2.17,1.46,1.17,0.94
CYP,0.17,0.14,0.1,0.08,0.06
CZE,0.25,0.13,0.1,0.09,0.08
PRK,3.48,3.43,2.94,2.66,2.39
COD,32.6,32.21,32.35,31.7,29.63
DNK,0.11,0.13,0.09,0.07,0.08
DJI,43.56,40.85,42.1,37.93,27.65
DMA,3.42,3.54,2.41,1.81,1.76
DOM,7.06,4.6,3.95,4.92,3.51
ECU,8.88,6.22,5.73,4.82,3.79
EGY,13.66,6.7,3.13,1.77,1.66
SLV,8.19,6.2,3.05,2.01,2.09
GNQ,53.38,46.39,25.53,19.44,19.21
ERI,74.7,59.23,49.09,46.17,42.78
EST,1.46,0.98,0.47,0.24,0.16
ETH,44.12,40.32,32.03,25.09,16.06
FJI,1.97,2.11,1.83,1.56,1.43
FIN,0.17,0.1,0.12,0.12,0.11
FRA,0.15,0.11,0.11,0.11,0.1
GAB,17.21,15.58,12.85,13.69,12.16
GMB,49.72,44.52,35.71,28.32,22.95
GEO,0.96,0.63,0.4,0.64,0.59
DEU,0.14,0.1,0.09,0.06,0.07
GHA,26.39,26.97,20.76,20.72,18.24
GRC,0.1,0.08,0.09,0.08,0.07
GRD,1.41,1.05,0.84,0.77,0.64
GTM,14.42,10.65,8.67,7.08,6.4
GIN,54.85,49.1,47.9,39.94,35.81
GNB,63.17,57.2,54.83,52.05,43.84
