ISO,1990,1995,2000,2005,2010
AFG,20.54,21.43,15.62,9.43,5.61
ALB,0,0,0,0,0
DZA,0,0,0,0,0
AND,0,0,0,0,0
AGO,80.13,103.94,140.36,199.04,100.57
ATG,0,0,0,0,0
ARG,0.06,0.03,0.01,0.01,0
ARM,0.08,0.04,0.02,0.01,0
AUS,0,0,0,0,0
AUT,0,0,0,0,0
AZE,0.1,0.05,0.02,0.01,0
BHS,0,0,0,0,0
BHR,0,0,0,0,0
BGD,16.73,13.02,9.51,7.63,5.34
BRB,0,0,0,0,0
BLR,0,0,0,0,0
BEL,0,0,0,0,0
BLZ,4.39,3.44,2.65,1.69,1.05
BEN,133.75,139.83,169.12,218.29,187.01
BTN,20.75,16.78,10.33,6.1,2.94
BOL,2.43,1.64,0.85,0.57,0.34
BIH,0,0,0,0,0
BWA,8.69,12.51,24.97,30.95,14.6
BRA,0.84,0.39,0.19,0.13,0.08
BRN,0,0,0,0,0
BGR,0,0,0,0,0
BFA,159.02,224.11,274.41,353.84,273.08
BDI,205.26,254.75,351.85,282.7,197.94
KHM,74.4,73.3,51.86,28.27,17.27
CMR,113.15,157.51,221.01,248.11,135.87
CAN,0,0,0,0,0
CPV,0,0,0,0,0
CAF,184.05,232.45,312.9,388.91,228.93
TCD,71.47,81.7,107.21,140.9,104.59
CHL,0,0,0,0,0
CHN,0.02,0.02,0.02,0.02,0.01
COL,0.7,0.6,0.42,0.29,0.14
COM,104.84,137.7,180.11,151.84,85.21
COG,191.18,241.91,297.58,269.19,135.18
CRI,0.04,0.02,0.01,0,0
CIV,139.85,166.41,203.53,291.01,205.81
HRV,0,0,0,0,0
CUB,0,0,0,0,0
CYP,0,0,0,0,0
CZE,0,0,0,0,0
PRK,0.08,0.04,0.02,0.01,0
COD,153.81,177.37,229.37,273.99,172.81
DNK,0,0,0,0,0
DJI,27.24,42.37,66.6,62.89,47.67
DMA,0,0,0,0,0
DOM,0.32,0.27,0.18,0.2,0.13
ECU,1.05,0.93,0.63,0.25,0.11
EGY,0.05,0.04,0,0,0
SLV,0.09,0.04,0.02,0.01,0
GNQ,227.54,286.11,296.33,164.45,152.88
ERI,57.69,76.7,109.18,100.25,76.21
EST,0,0,0,0,0
ETH,80.62,99.59,95.1,56.96,48.53
FJI,0,0,0,0,0
FIN,0,0,0,0,0
FRA,0,0,0,0,0
GAB,179.45,199.41,233.45,252.71,155.05
GMB,80.74,95.93,100.25,135.63,132.16
GEO,0.08,0.04,0.02,0.01,0
DEU,0,0,0,0,0
GHA,97.06,103.46,114.34,178.51,125.58
GRC,0,0,0,0,0
GRD,0,0,0,0,0
GTM,4.09,2.26,1.01,0.61,0.36
GIN,152.22,157.91,200.16,233.18,163.53
GNB,167.96,163.5,175.07,217.91,211.79
GUY,6.75,7.62,6.87,5.37,3.14
HTI,28.43,23.88,22.42,18.44,12.32
HND,0.73,0.64,0.42,0.36,0.24
HUN,0,0,0,0,0
ISL,0,0,0,0,0
IND,18.86,15.5,12.39,12.69,6.05
IDN,25.08,21.43,17.14,14.94,8.77
IRN,0.05,0.05,0.04,0.02,0.01
IRQ,0.06,0.03,0.01,0.01,0
IRL,0,0,0,0,0
ISR,0,0,0,0,0
ITA,0,0,0,0,0
JAM,0,0,0,0,0
JPN,0,0,0,0,0
JOR,0,0,0,0,0
KAZ,0,0,0,0,0
