ISO,1990,1995,2000,2005,2010
AFG,38.45,39.26,41.12,42.24,41.53
ALB,25.81,23.46,24.04,23.55,22.27
DZA,14.84,16.64,16.39,13.75,10.8
AND,24.39,23.51,22.61,21.97,19.93
AGO,72.06,61.36,53.05,48.34,47.92
ATG,6.88,7,5.07,3.88,4.27
ARG,34.81,36.46,36.05,33.67,30.67
ARM,58.27,59.48,49.76,44.85,41.97
AUS,43.43,36.58,28.69,22.51,21.37
AUT,24.94,24.01,26.03,24.05,21.19
AZE,39.09,43.46,25.44,20.64,20.1
BHS,16.29,10.72,5.22,3.36,3.56
BHR,26.62,26.86,25.96,27.62,21.6
BGD,105.48,81.7,83.42,78.12,84.16
BRB,13.81,9.68,6.67,6.02,5.62
BLR,72.44,70.95,66.25,49.96,40.37
BEL,52.21,51.99,47.93,37.26,35.13
BLZ,18.64,21.5,26.86,20.1,19.09
BEN,35.27,24.8,22.76,21.71,22.2
BTN,158.66,131.76,116.14,107.8,101.05
BOL,31.35,28.29,25.35,21.4,20.01
BIH,43.84,51.94,38.57,35.17,28.1
BWA,48.97,29.63,17.55,11.33,15.21
BRA,59.35,63.08,54.5,47.18,42.62
BRN,65.03,68.83,63.88,48.57,44.88
BGR,30.03,28.47,30.89,37.27,39.34
BFA,35.22,23.33,21.43,21.14,22.01
BDI,37.91,37.13,28.64,25.66,23.78
KHM,46.77,46.14,44.17,46.01,45.97
CMR,40.87,26.61,22.4,20.98,21.43
CAN,36.62,34.98,30.56,24.91,23.1
CPV,59.64,55.12,48.66,45.15,41.58
CAF,89.03,85.85,80.01,82.46,87.88
TCD,30.02,19.7,17.87,17.13,17.78
CHL,33.74,23.68,25.06,25.23,22.63
CHN,200.52,176.24,139.03,111.76,88.79
COL,45.8,50.15,52.61,52.1,49.94
COM,34.13,29.63,23.15,21.64,21.64
COG,64.34,67.36,57.72,53.87,54.36
CRI,31.06,31.18,32.71,31.75,30.1
CIV,40.92,30.13,28.92,28.62,28.09
HRV,30.25,29.46,30.65,32.89,26.76
CUB,20.75,26.05,25.26,24.96,23.41
CYP,23.26,22.65,22.13,18.59,18.23
CZE,32.92,19.83,18.3,19.13,18.43
PRK,144.99,140.87,135.97,131.49,127.4
COD,37.23,34.19,32.81,34.52,38.31
DNK,40.1,45.54,46.22,38.05,32.82
DJI,25.7,23.55,19,17.5,16.43
DMA,14.7,13.18,10.45,13.21,15.71
DOM,17.62,16.18,14.39,16.24,16.75
ECU,33.08,25.34,22.24,19.59,19.06
EGY,59.22,48.86,45.82,44.89,38.21
SLV,34.93,31.21,22.34,21.61,21.37
GNQ,76.31,59.06,45.66,40.56,39.74
ERI,33.84,28.59,22.55,20.92,20.62
EST,20.11,20.51,17.75,18.53,13.77
ETH,79.03,68.28,53.17,46.19,43.33
FJI,28.04,27.91,26.58,22.99,22.22
FIN,28.94,25.8,24.11,20.37,16.78
FRA,26.22,25.1,21.4,15.13,14.22
GAB,62.82,62.73,61.26,63.83,63.41
GMB,47.08,29.95,23.81,21.92,20.64
GEO,21.03,13.11,14.15,30.64,36.93
DEU,41.78,34.22,29.06,24.07,21.94
GHA,12.6,12.83,11.26,14.53,16.24
GRC,17.74,17.78,20.41,19.39,19.23
GRD,13.23,10.54,12.55,14.48,11.98
GTM,29.18,27.88,24.42,19.82,20.32
GIN,32.21,20.81,18.48,17.75,20.16
GNB,44.96,28.03,23.13,23.1,23.62
GUY,27.43,24.93,18.78,20.01,18.15
HTI,15.31,13.46,11.71,9.97,10.2
HND,48.75,49.34,49.12,47.45,46.12
HUN,51.12,44.53,36.27,39.21,37.46
ISL,16.23,18.11,17.81,17.08,16.74
IND,207.11,182.27,149.43,126.81,143.67
IDN,39.76,42.42,44.44,44.89,44.34
IRN,16.86,15.24,15.64,15.51,14.62
IRQ,17.4,17.21,16.04,15.9,15.99
IRL,59.88,56.63,48.52,34.86,29.51
ISR,27.81,22.73,23.88,20.85,17.21
ITA,33.58,29.68,27.39,22.99,20.19
JAM,15.57,12.15,12.56,13.34,16.35
JPN,20.15,17.07,14.18,12.89,11.98
JOR,42.31,37.42,28.69,24.55,22.8
KAZ,93.87,113.33,98.83,86.72,66.09
KEN,10.78,9.29,7.33,7.61,8.41
KIR,55.49,52.05,52.25,48.21,43.31
KWT,7.39,8.9,7.53,7.44,7.61
KGZ,128.54,143.76,123.2,109.71,89.37
LAO,52.35,52.24,48.69,46.56,44.26
LVA,27.97,26.24,16.61,16.97,13.72
LBN,22.15,19.17,16.95,14.96,13.59
LSO,83.81,87.06,91.4,96.91,94.5
LBR,61.26,54.45,50.2,46.36,52.12
LBY,23.27,20.58,21.88,23.85,23.59
LTU,53.14,50.02,40.47,37.23,27.04
LUX,40.64,39,34.59,28.33,22.39
MKD,37.04,31.75,25.16,22.79,20.82
MDG,37.35,34.83,28.11,25.47,24.56
MWI,31.04,31.61,30.83,31.04,27.97
MYS,46.58,65.52,60.31,51.79,52.83
MDV,16.35,13.95,13.59,15.42,14.59
MLI,46.96,41.01,38.36,36.95,38.77
MLT,35.27,36.01,38.2,34.67,32.1
MHL,46.45,39.4,35.17,32.52,30.82
MRT,31.8,20.68,17.43,17.34,17.8
MUS,53.36,41.38,34.39,27.85,24.88
MEX,40.98,35.67,37.11,35.3,33.36
FSM,57.5,48.54,45.87,44.52,44.49
MNG,51.97,59.3,56.72,63.74,58.18
MNE,5.21,5.71,5.76,4.52,4.12
MAR,15.44,14.97,14.61,14.53,13.45
MOZ,16.46,17.92,17.15,19.89,19.89
MMR,64.46,65.11,63.99,61.39,60
NAM,84.68,87.4,92.84,91.04,70.04
NPL,130.22,112.02,97.27,86.1,82.39
NLD,50.84,50.59,46.34,36.53,30.75
NZL,47.01,42.65,38.48,31.04,26.63
NIC,28.71,28.16,28.72,33.3,34.51
NER,33.89,19.49,15.29,14.36,15.07
NGA,27.81,16.8,12.55,11.09,11.78
NOR,21.15,24.38,27.65,25.93,26.07
OMN,10.88,10.1,9.59,9.24,7.98
PAK,114.38,107.35,100.72,95.01,94.37
PAN,34.88,31.93,22.55,21.3,24.99
PNG,72.99,68.65,66.15,65.92,61.63
PRY,21.74,21.21,21.32,22.92,25.64
PER,11.37,11.85,11.74,11.78,12.3
PHL,48.47,53.71,50.73,33.15,38.24
POL,53.98,45.51,34.82,33.94,30.85
PRT,33.39,32.13,30.52,26.17,22.88
QAT,12.92,13.44,9.57,7.42,4.98
KOR,28.28,27.37,29.17,26.24,23.18
MDA,63.87,72.94,55.13,54.77,47.62
ROU,66.84,53.02,33.25,26.97,24.57
RUS,65.75,74.93,59.2,50.51,35.37
RWA,41.08,38.8,23.01,15.73,15.71
LCA,26.99,24.57,24.74,22.39,19.94
VCT,13.47,9.92,10.01,11.27,9.49
WSM,47.98,41.07,38.6,34.53,31.03
STP,65.13,57.93,57.17,54.58,52.92
SAU,19.06,20.44,18.84,15.29,13.62
SEN,42.43,26.1,22.53,20.86,22.27
SRB,29.74,32.26,30.41,29.1,24.67
SYC,55.93,61.7,55.06,51.54,50.02
SLE,48.44,29.51,23.95,22.74,23.75
SGP,66.74,57.24,38.77,29.57,28.38
SVK,19.35,14.78,19.35,19.76,19.24
SVN,39.93,45.67,41.21,29.9,21.17
SLB,73.1,62.9,60.08,57.72,54.84
SOM,27.42,25.18,19.25,16.59,17.1
ZAF,65.47,67.75,62.46,34.1,33.66
ESP,44.38,44.77,41.58,33.88,26.95
LKA,22.67,47.21,54.04,48.69,41.98
SDN,21.14,18.71,13.35,12.1,12.18
SUR,21.71,12.51,8.26,6.37,6.59
SWZ,74.31,77.54,94.96,114.7,98.78
SWE,15.96,16.73,17.4,16.59,15.6
CHE,27.21,26.97,24.92,20.33,18.15
SYR,30.05,24.21,20.59,16.35,14.86
TJK,63.61,61.76,39.2,36.22,39.32
TZA,18.66,15.65,13.88,13.58,14.42
THA,38.82,54.82,59.82,55.54,46.11
TLS,35.7,36.88,35.32,33.12,32.91
TGO,39.35,23.97,19.57,18.98,19.4
TON,27.04,24.64,27.26,32.82,31.47
TTO,29.05,30.95,29.07,27.3,27.55
TUN,22.52,23.04,21.35,19.69,18.39
TUR,45.08,49.12,46.6,46.48,44.23
TKM,54.09,49.72,53.41,49.8,44.89
UGA,16.18,17.7,17.24,17.21,17.08
UKR,75.26,84.89,67.96,54.87,38.65
ARE,35.25,32.96,28.88,24.21,21.99
GBR,43.44,38.03,34.65,31.38,27.72
USA,37.88,37.2,35.94,33.66,31.44
