ISO,1990,1995,2000,2005,2010
AFG,15.39,14.15,14.11,14.8,17.14
ALB,1.63,1.1,1.22,2.62,3.06
DZA,2.94,2.95,2.99,2.83,2.46
AND,4.59,4.14,3.11,2.54,2.38
AGO,20.96,15.6,16.15,19.69,24.31
ATG,1.62,2.16,2.21,1.86,1.69
ARG,4.87,5.99,6.99,6.11,6.95
ARM,6.49,5.65,4.76,4.97,4.94
AUS,14.99,11.25,10.61,8.19,8.14
AUT,14.84,15.15,11.51,10.26,7.32
AZE,2.98,1.81,1.16,1.5,1.84
BHS,9.53,11.1,14.42,9.04,7.51
BHR,12.21,13.19,11.94,8.92,5.84
BGD,1.75,1.52,1.39,1.51,1.86
BRB,2.59,2.47,2.81,2.86,2.57
BLR,13.12,12.46,11.6,9.08,8.31
BEL,12.1,12.94,11.27,7.54,8.14
BLZ,2.67,5.54,8.16,6.51,6.3
BEN,7.81,8.21,9.52,9.27,8.53
BTN,8.14,8.2,8.17,7.55,7.65
BOL,9.05,9.92,8.75,7.55,7.33
BIH,0.33,0.44,0.37,0.48,0.41
BWA,6.4,13.53,35.02,37.99,12.14
BRA,8.53,9.7,8.3,8.49,8.43
BRN,14.34,13.62,10.29,8.56,7.07
BGR,7.71,8.1,7.36,7.07,7.39
BFA,13.85,14.04,14.81,13.94,14.3
BDI,14.73,15.98,15.98,14.95,12.88
KHM,4.13,4.77,6.1,6.73,6.69
CMR,16.02,15.07,17.22,19.52,18.4
CAN,14.16,12.84,12.08,9.88,9.7
CPV,5.14,4.63,4.32,4.41,4.93
CAF,14.99,15.69,16.95,21.69,22.58
TCD,6.23,6.41,8,9.82,9.81
CHL,3.45,4.21,4.4,4.32,4.7
CHN,5.41,6.23,6.2,6.08,5.79
COL,6.19,7.13,8.37,6.63,6.12
COM,17.62,16.19,13.99,13.59,14.36
COG,21.55,33.64,29.6,25.66,22.51
CRI,4.49,5.15,5.3,4.37,4.44
CIV,12.55,15.9,20.35,19.55,15.47
HRV,10.69,11.95,9.41,9.32,5.78
CUB,15.57,12.06,9.12,6.35,4.88
CYP,10.47,10.69,8.81,6.77,5.27
CZE,9.49,9.97,9.04,7.52,5.19
PRK,8.93,8.49,7.86,7.35,6.91
COD,9.38,6.88,4.98,4.64,5.4
DNK,11.47,8.91,9.12,6.88,6.26
DJI,20.2,19.17,19.23,21.64,20.1
DMA,7.81,6.78,5.26,4.23,3.22
DOM,4.91,6.57,9.12,9.54,8.37
ECU,7.29,7.17,7.24,7.47,7.3
EGY,3.65,4.34,4.11,3.96,5.07
SLV,6.56,7.16,6.39,5.38,5.73
GNQ,13.91,11.42,16.41,22.37,27.41
ERI,8.4,9.29,11.17,11.69,10.25
EST,15.02,14.18,9.57,7.08,4.92
ETH,12.81,10.09,9.73,11.48,11.96
FJI,2.55,2.9,3.04,2.68,2.64
FIN,13.44,7.79,8.58,7.5,6.25
FRA,11.99,10.51,10.03,6.62,5.69
GAB,23.15,27.32,33.82,40.57,40.3
GMB,11.6,11.15,11.91,12.08,12.28
GEO,6.12,4.02,2.96,2.97,3.06
DEU,13.98,13.33,11.76,7.31,5.71
GHA,5,6.79,7.46,8.26,8.33
GRC,10.56,11.26,10.8,9.35,7
GRD,2.15,2.01,2.79,4.01,3.24
GTM,1.99,1.7,1.33,1.53,1.95
GIN,7.57,7.86,8.51,8.76,9.19
GNB,13.38,13.18,14.2,13.92,13.8
GUY,2.23,2.93,5.92,9.23,6.61
HTI,11.08,9.79,9.51,10.46,8.25
HND,3.89,4.6,4.85,4.79,4.47
HUN,11.24,8.86,6.99,6.16,4.69
ISL,8.35,4.57,5.98,6.87,5.76
IND,5.57,5.73,5.88,5.84,6.69
IDN,8.65,10.43,11.71,11.79,11.76
IRN,6.1,5.74,6.31,6.5,5.39
IRQ,2.99,3.02,2.9,2.94,2.87
IRL,10.97,8.12,9.63,6.17,6.51
ISR,7.48,7.1,5.92,5.47,3.92
ITA,9.17,9.14,9,6.31,7.37
JAM,0.57,0.66,1.49,2.14,1.58
JPN,6.9,6.26,4.75,3.77,3.09
JOR,3.86,3.34,3.69,3.84,3.85
KAZ,9.02,7.94,7.99,11.73,10.58
KEN,4.96,6.77,10.57,10.51,6.19
KIR,4,4.09,4.94,4.69,4.02
KWT,5.39,5.93,5.6,4.92,5.38
KGZ,8.31,7.58,6.25,7.31,6.59
LAO,5.18,6.26,6.58,7.36,7.19
LVA,20.99,19.93,16.14,13.54,7.72
LBN,8.32,7.63,6.44,5.61,4.98
LSO,1.43,1.42,4.61,10.93,7.22
LBR,10.71,7.71,7.8,8.56,8.96
LBY,6.62,6.13,7.22,6.85,6.68
LTU,17.64,15.76,14.51,14,8.16
LUX,9.29,16.7,6.61,5.55,4.43
MKD,1.8,1.55,1.96,2.5,2.07
MDG,10.61,9.85,8.38,7.43,7.33
MWI,11.48,16.47,23.43,24.46,17.18
MYS,6.76,6.72,6.51,5.82,5.78
MDV,5.15,3.95,3.1,2.1,1.45
MLI,9.68,10.13,11.79,11.62,11.41
MLT,3.95,3.15,2.99,2.66,2.16
MHL,4.41,5.13,5.72,5.3,4.63
MRT,16.89,16.61,17.9,17.32,17.61
MUS,2.13,2.66,2.36,1.8,2.08
MEX,5.94,6.2,6.77,6.87,6.7
FSM,4.23,4.37,4.27,4.03,3.9
MNG,6.99,8.28,8,7.14,6.77
MNE,4.88,5.15,6.06,6.63,6.58
MAR,3.23,3.64,3.45,2.95,2.71
MOZ,3.54,4.16,5.96,9.84,10.85
MMR,7.43,7.79,8.26,9.4,10.49
NAM,2.95,3.64,7.3,15.11,5.85
NPL,8.65,8.61,7.84,7.76,7.59
NLD,9.24,7.7,7.34,4.87,3.73
NZL,26.06,22.04,16.83,15.44,13.38
NIC,3.99,3.32,2.99,2.93,2.63
NER,8.22,7.17,6.75,6.62,6.77
