ISO,1990,1995,2000,2005,2010
AFG,52.31,51.53,51.44,52.58,54.12
ALB,12.28,8.99,9.59,13.97,15.32
DZA,15.17,15.73,15.36,13.14,10.49
AND,21.57,18.56,15.71,14.36,11.92
AGO,71.16,47.23,52.17,57.02,59.89
ATG,5.65,7.64,6.7,5.98,5.93
ARG,13.41,16.48,18.27,17.14,18.48
ARM,15.46,10.92,10.2,12.62,13.82
AUS,43.15,31.17,29.11,19.97,18.33
AUT,53.86,45.12,33.54,27.32,23.19
AZE,13.5,8.59,5.46,6.08,6.71
BHS,25.89,21.86,26.02,17.26,16.1
BHR,36.59,33.01,32.88,31,24.26
BGD,6.76,6.27,6.66,7.43,8
BRB,13.22,10.64,10.38,9.11,7.99
BLR,33.36,32.05,26.56,23.73,21.01
BEL,43.54,36.01,32.95,22.8,20.83
BLZ,12.5,20.82,26.43,20.65,18.82
BEN,21.23,22.51,26.24,25.36,24.47
BTN,12.45,12.27,12.12,12.52,11.54
BOL,22.7,21.76,21.42,19.69,19.09
BIH,0.67,0.81,0.76,0.78,0.69
BWA,18.72,29.82,54.27,47.44,19.34
BRA,28.48,28.48,28.54,30.57,33.13
BRN,33.74,35.6,29.87,25.18,24.05
BGR,17.52,16.31,14.5,14.25,16.45
BFA,37.75,38.84,37.2,33.26,33.71
BDI,45.66,49.8,44.42,44.21,35.82
KHM,14.14,15.43,21.36,23.51,24.96
CMR,31.7,33.5,39.33,40.85,39.97
CAN,39.32,30.12,23.41,21.07,18.97
CPV,15.02,14.19,13.36,13.73,15.41
CAF,49.7,47.95,47.6,58.61,62.62
TCD,17.24,18.17,24.35,29.22,28.36
CHL,12.58,12.79,10.23,10.3,11.4
CHN,13.12,15.7,19.04,19.45,19.25
COL,22,26.95,29.62,21.43,19.38
COM,37.01,35.96,31.9,31.33,32.56
COG,46.54,71.04,63.66,55.13,53.12
CRI,15.28,18.55,20.24,17.55,17.98
CIV,29.62,39.7,50.68,46.34,38.79
HRV,36.86,33.8,30.03,27.14,23.43
CUB,30.55,27.05,14.29,11.25,9.43
CYP,35.48,34.8,32.08,27.41,24.03
CZE,25.04,26.68,22.03,18.36,14.94
PRK,20.07,19.28,18.31,17.53,17.58
COD,20.78,16.06,13.61,13.72,16.19
DNK,30.43,30.21,27.82,21.99,18.51
DJI,46.33,43.89,37.58,37.4,34.26
DMA,20.47,21.93,17.92,17.1,18.82
DOM,19.74,24.03,28.33,27.75,26.17
ECU,24.45,24.05,25.12,24.02,24.77
EGY,16.48,17.57,16.05,15.28,20.49
SLV,25.86,29.95,25.21,21.98,21.92
GNQ,55.74,41.42,48.84,55.84,63.51
ERI,28.13,29.87,33.19,32.95,29.16
EST,45.97,43.92,28.07,23.32,13.86
ETH,33.6,28.64,28.04,28.61,28.42
FJI,2.78,2.89,3,2.69,2.64
FIN,34.83,23.58,20.25,18.65,17.97
FRA,38.12,31.91,31.56,22.31,19.35
GAB,58.83,67.82,76.41,84.89,84.76
GMB,26.01,25.11,28.16,29.71,29.13
GEO,23,16.54,11.63,10.75,12.04
DEU,40.58,36.57,30,19.91,15.19
GHA,16.95,20.05,18.67,20.59,23.52
GRC,39.5,39.02,38.02,32.83,30.12
GRD,6.24,5.6,8.15,10.67,9.58
GTM,6.59,6.82,5.56,6.89,7.85
GIN,15.72,17.28,19.9,19.81,21.51
GNB,48.58,47.44,51.91,50.17,48.04
GUY,10.99,10.49,17.05,24.16,20.4
HTI,12.96,10.32,9.41,8.4,7.94
HND,11.75,12.49,12.29,11.66,10.81
HUN,34.44,22.13,14.9,14.71,12.96
ISL,29.33,22.25,15.95,5.9,5.04
IND,23.19,22.94,24.64,26.02,27.43
IDN,34.18,37.99,40.58,40.11,40.67
