ISO,2010
DZA,7.6
ARM,2.3
AUS,29.5
AZE,1.8
BLR,7.8
CHL,16.8
CHN,4
COL,7.3
CYP,14.6
ECU,6.1
EGY,2.1
EST,6.6
DEU,22.5
GHA,4.9
IRQ,3.9
JPN,11.5
JOR,7
KAZ,5.5
KWT,14
KGZ,12.3
LBN,15.4
LBY,7.6
MYS,19
MEX,14
MAR,2.3
NLD,31.1
NZL,30.5
NGA,11.5
PAK,11.5
PER,8
PHL,18.2
POL,7.6
QAT,17.8
KOR,12.5
ROU,9.5
RUS,3.5
RWA,14
SGP,18.8
SVN,18.5
ESP,4.4
SWE,41.6
TTO,18.6
TUN,3
TUR,6.7
UKR,6.1
USA,17.9
URY,7.4
UZB,10.7
YEM,2
ZWE,2.9
# Series: DPTYGMTE,
# Name: % of women who have given money to an ecological organisation (past 2 years),
# Definition: % of female respondents who have given money to an ecological organisation (past 2 years),
# Source: World Values Survey,
# Data from the No Ceilings project: http://noceilings.org,
"# For more about the data, please visit http://noceilings.org/data",
