ISO,1990,1995,2000,2005,2010
AFG,172.03,156.32,167.43,182.19,178.42
ALB,172.09,192.3,197.68,217.5,215.07
DZA,190.07,188.62,200.48,221.42,228.34
AND,210.84,192.96,209.39,209.1,210.96
AGO,155.59,155.88,165.28,173.18,191.05
ATG,365.69,412.51,395.4,412.52,417.78
ARG,290.66,311.86,316.67,317.76,326.91
ARM,198.2,213.45,217.51,218.2,223.26
AUS,365.22,382.19,397.73,378.04,393.8
AUT,300.18,307.52,312.58,315.23,313.03
AZE,221.14,205.72,198.32,220.9,269.61
BHS,381.82,393.84,405.15,414.32,388.2
BHR,257.86,258.22,259.54,275.36,274.63
BGD,169.01,158.45,153.8,163.32,171.4
BRB,366.56,363.44,384.41,425.56,426.51
BLR,205.55,226,253.96,283.06,294.39
BEL,257.31,260.86,264.11,263.27,268.24
BLZ,290.5,325.09,389.7,414.18,443.79
BEN,123.42,125.65,142.36,157.13,145.47
BTN,173.53,196.68,186.71,187.65,197.75
BOL,254.35,268.88,277.69,286.39,310.77
BIH,178.81,214.97,190.91,190.84,193.67
BWA,173.81,211.06,289.86,305.91,261.8
BRA,320.38,345.72,316.72,325.08,337.69
BRN,254.05,239.05,221.89,243.28,241.89
BGR,133.94,137.18,143.28,151.98,151.85
BFA,124.03,132.67,147.03,160.96,151.15
BDI,167.48,195.57,217.07,200.58,206.84
KHM,162.54,187.97,218.5,200.98,178.14
CMR,135.65,141.38,151.12,159.44,165.74
CAN,290.58,310.68,331.89,352.91,359.74
CPV,126.98,130.63,134.59,139.54,140.45
CAF,145.06,149.07,154.49,163.66,193.4
TCD,120.39,127.07,134.8,138,131.72
CHL,266.61,249.05,247.69,256.08,262.93
CHN,151.81,145.45,153.1,153.99,151.25
COL,191.99,191.18,202.34,210.82,207.17
COM,162.97,158.9,155.38,162.61,171.29
COG,150.61,168.44,179.14,199.21,194.22
CRI,223.3,225.34,221.15,223.18,229.02
CIV,133.05,140.67,153.86,166.89,169.84
HRV,148.91,145.29,154.67,169.28,166.3
CUB,252.84,227.67,218.38,218.28,224.53
CYP,157.38,158.74,160.66,161.77,163.71
