ISO,1998,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
ALB,,,,,,,,,,,,,96.7,,
DZA,,,,,,,,54.5,,,,,,,
AND,,,,,,,,93.7,,,,,,,
ARG,,,,,90.4,,,,,,,,,,
ARM,,,98.7,,,,,,,,,,,,
AUS,,,,,,,,,,,,,,100,
AZE,,,,,,,,,,,99.1,,,,
BHS,,97.6,,,,,,,,,,,,,
BHR,,,88.2,,,,,,,,,,,,
BGD,,,52.9,,,,,,,,,,,,
BRB,,86.2,,,,,,,,,,,,,
BLR,,,,,,,,,,,96.7,,,,
BEL,,,,,,,,,,,,,94.1,,
BLZ,,,,,,,,,,,,89.9,,,
BTN,,,,,,,47.3,,,,,,,,
BOL,,,,,,,,,,,,,,64.5,
BIH,,,,,,,,,,,,,84.1,,
BRA,,,,,,,,,,,,,74.8,,
BFA,,,,,,,,,8,,,,,,
KHM,,,,,,,,,,,47.9,,,,
TCD,,,,,,14.2,,,,,,,,,
CHL,,,,,,,,,,,,85.2,,,
CHN,,,,,,,,,,,,96.5,,,
CRI,,,,,,,,,,,,,,79.8,
HRV,,,,,,,,,,,,,98.5,,
CUB,,,,87.4,,,,,,,,,,,
CYP,,,,,,,,,,,,,,96.1,
CZE,,,,,,,,,,,,,,99.8,
DNK,,,,,,,,,,,,,,96.8,
DMA,,,88.3,,,,,,,,,,,,
DOM,,,,,,,,,,,,,,63.8,
ECU,,,,,,,,,,,,73.7,,,
SLV,,,,,,,,,,,,,,60,
ETH,,,,,,,,,,,,,37.3,,
FJI,,,,,,,,,80.6,,,,,,
FRA,,,,,,,,,,,,,,98.6,
GEO,,,,98.8,,,,,,,,,,,
DEU,,,,,,,,,,,,,,99.9,
GHA,,,,,,,,,,,,73.4,,,
GRC,,,,,,,,,,,,95.6,,,
GTM,,,,,,,,,,,,,,54.5,
GUY,,,,67.1,,,,,,,,,,,
HND,,,,,,,,,,,,,,52.7,
HUN,,,,,,,,,,,,,,100,
IDN,,,,,,,,,,,,,79.2,,
ISR,,,,,,,,,,,,,,96.5,
ITA,,,,,,,,,,,,,,96.4,
JPN,,,,,,,,,,,,85.8,,,
JOR,,,,,,,,,,,,90.3,,,
KAZ,,,,,,,,,100,,,,,,
KEN,,,,,,,,,,,,53,,,
KWT,,,,,,,,,,,,,,64.7,
KGZ,,,,,,,,,,,98.7,,,,
LVA,,,,,,,,,,,,,,99.7,
LBN,,,,,,,,,82.3,,,,,,
LSO,,,,,,,,,,34,,,,,
LTU,,,,,,,,,,,,,,99.1,
MKD,,,,85.3,,,,,,,,,,,
MWI,28.8,,,,,,,,,,,,,,
MYS,,,,,,,,,,,,94.4,,,
MDV,,,,,,,,40,,,,,,,
MLI,,,,,,,,,,,,,22.2,,
MLT,,,,,,,,,,,,,,98.6,
MUS,,,,,,,,,,,,,69.7,,
MEX,,,,,,,,,,,,,,78.8,
MNG,,,,,,,,,,,,95.4,,,
MNE,,,,,,,,,,,,,98.9,,
NAM,,,48.9,,,,,,,,,,,,
NLD,,,,,,,,,,,,,,97.4,
NOR,,,,,,,,,,,,,97.1,,
OMN,,,,,,,,,,71.2,,,,,
PAK,,,,,,,,,,,,,61,,
PAN,,,,,,,,,,,,72.5,,,
PRY,,,,,,,,,,69.3,,,,,
PER,,,,,,,,,,,,,,85,
POL,,,,,,,,,,,,,,99.3,
PRT,,,,,,,,,,,,,,93,
QAT,,,,,,,,,,,,,,73.4,
KOR,,,,,,,,,,,,97.6,,,
MDA,,,,,,,,,,,,,,99.4,
ROU,,,,,,,,,,,,,,99.1,
RUS,,,,,,,,,,,,96.5,,,
WSM,,,94.7,,,,,,,,,,,,
SAU,,,,,,,,,,,,,,,85.6
SEN,,,,,,,,,,,,,28.5,,
SRB,,,,,,,,,,,,,,92.4,
SYC,,,,88.9,,,,,,,,,,,
SGP,,,,,,,,,,,,,,87.9,
SVK,,,,,,,,,,,,,,99.8,
SVN,,,,,,,,,,,,,,99.7,
ZAF,,,,,,,,,,,,,,81.5,
ESP,,,,,,,,,,,,,,91.2,
SUR,,,,,,81.3,,,,,,,,,
SYR,,,,,,,,,,,76.1,,,,
TJK,,98.3,,,,,,,,,,,,,
TZA,,,,56.7,,,,,,,,,,,
THA,,,,,,,,,,,,63.2,,,
TON,,,,,,,,,,,,,95.8,,
TTO,,,,,,,,,,,95.6,,,,
TUR,,,,,,,,,,,,,,90.4,
UGA,,,,,,,,,,,,50.4,,,
UKR,,,98.3,,,,,,,,,,,,
ARE,,,,,,,73.2,,,,,,,,
GBR,,,,,,,,,,,,,99.9,,
USA,,,,,,,,,,,,,,98.7,
URY,,,,,,,,,,,,,,88.2,
VEN,,,,,,,,,,,81.7,,,,
ZWE,,,,73.8,,,,,,,,,,,
# Series: EAPLMAIN,,,,,,,,,,,,,,,
"# Name: Educational attainment (primary) of the population aged 25 and older, male",,,,,,,,,,,,,,,
# Definition: Number of students enrolled in each field over the total enrollment in tertiary education in a specific academic-year.,,,,,,,,,,,,,,,
"# Source: UN Educational, Scientific and Cultural Organization (UNESCO) Institute for Statistics",,,,,,,,,,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,,,,,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,,,,,,,,,,
