ISO,1998,2000,2001,2002,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
ALB,,,,,,,,,,,,11.4,,
AND,,,,,,,31,,,,,,,
ARM,,,42.6,,,,,,,,,,,
AUS,,,,,,,,,,,,,50.1,
AUT,,,,,,,,,,,,,24.3,
AZE,,,,,,,,,,25.5,,,,
BHS,,20.1,,,,,,,,,,,,
BGD,,,3.5,,,,,,,,,,,
BRB,,17,,,,,,,,,,,,
BLR,,,,,,,,,,61.7,,,,
BEL,,,,,,,,,,,,32.1,,
BLZ,,,,,,,,,,,14.4,,,
BEN,,,,0.8,,,,,,,,,,
BTN,,,,,,11.2,,,,,,,,
BOL,,,,,,,,,,,,,24.3,
BIH,,,,,,,,,,,,8.2,,
BFA,,,,,,,,0.1,,,,,,
KHM,,,,,,,,,,1,,,,
CAN,,,,,,,,,,,,58.6,,
CHN,,,,,,,,,,,7.6,,,
CRI,,,,,,,,,,,,,21.2,
CUB,,,,9.5,,,,,,,,,,
CYP,,,,,,,,,,,,,36.7,
CZE,,,,,,,,,,,,,18.5,
DOM,,,,,,,,,,,,,12.5,
ECU,,,,,,,,,,,12.6,,,
ETH,,,,,,,,,,,,3.8,,
FJI,,,,,,,,13.7,,,,,,
FRA,,,,,,,,,,,,,26.4,
GEO,,,,48.4,,,,,,,,,,
DEU,,,,,,,,,,,,,27.8,
GHA,,,,,,,,,,,8.1,,,
GRC,,,,,,,,,,,26,,,
GTM,,,,,,,,,,,,,1.8,
GUY,,,,2.4,,,,,,,,,,
HND,,,,,,,,,,,,,7.1,
HUN,,,,,,,,,,,,,24.5,
ISL,,,,,,30.5,,,,,,,,
IRN,,,,,,,,,,,,,18.6,
IRL,,,,,,,,,,,,36.5,,
ISR,,,,,,,,,,,,,47.3,
ITA,,,,,,,,,,,,,14.2,
JOR,,,,,,,,,,,25.7,,,
KAZ,,,,,,,,60.8,,,,,,
KEN,,,,,,,,,,,6.7,,,
KWT,,,,,,,,,,,,,20.4,
KGZ,,,,,,,,,,30.5,,,,
LVA,,,,,,,,,,,,,42.5,
LSO,,,,,,,,,5.6,,,,,
LTU,,,,,,,,,,,,,53.9,
MKD,,,,10.7,,,,,,,,,,
MWI,0.3,,,,,,,,,,,,,
MYS,,,,,,,,,,,15.7,,,
MDV,,,,,,,3.2,,,,,,,
MLT,,,,,,,,,,,,,18.6,
MUS,,,,,,,,,,,,10.5,,
MNG,,,,,,,,,,,40.1,,,
NAM,,,4.9,,,,,,,,,,,
NLD,,,,,,,,,,,,,28.9,
NZL,,,,,,,,,,,,41.5,,
NOR,,,,,,,,,,,,35.6,,
OMN,,,,,,,,,17.3,,,,,
PAK,,,,,,,,,,,,4.6,,
PAN,,,,,,,,,,,25.7,,,
PHL,,,,,,,,,31,,,,,
POL,,,,,,,,,,,,,28.5,
PRT,,,,,,,,,,,,,17.2,
QAT,,,,,,,,,,,,,37.8,
MDA,,,,,,,,,,,,,51.3,
ROU,,,,,,,,,,,,,16.5,
RUS,,,,,,,,,,,66.1,,,
WSM,,,10.9,,,,,,,,,,,
SAU,,,,,,,,,,,,,,24.5
SGP,,,,,,,,,,,,,44.3,
ZAF,,,,,,,,,,,,,12.9,
ESP,,,,,,,,,,,,,26.6,
SUR,,,,,3.1,,,,,,,,,
SWE,,,,,,,,,,,,,37.4,
CHE,,,,,,,,,,,,,32.5,
SYR,,,,,,,,,,10.3,,,,
TJK,,13.2,,,,,,,,,,,,
THA,,,,,,,,,,,13.3,,,
TGO,,,,,,,,,,1.2,,,,
TON,,,,,,,,,,,,15.9,,
TTO,,,,,,,,,,41.8,,,,
UGA,,,,,,,,,,,6.4,,,
ARE,,,,,,31.2,,,,,,,,
GBR,,,,,,,,,,,,31.9,,
URY,,,,,,,,,,,,,13,
VNM,,,,,,,,,,10.1,,,,
ZWE,,,,5.7,,,,,,,,,,
# Series: EAPSFEIN,,,,,,,,,,,,,,
"# Name: Educational attainment (post-secondary) of the population aged 25 and older, female",,,,,,,,,,,,,,
# Definition: Number of students enrolled in each field over the total enrollment in tertiary education in a specific academic-year.,,,,,,,,,,,,,,
"# Source: UN Educational, Scientific and Cultural Organization (UNESCO) Institute for Statistics",,,,,,,,,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,,,,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,,,,,,,,,
