ISO,1998,2000,2001,2002,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
ALB,,,,,,,,,,,,12.4,,
AND,,,,,,,29.4,,,,,,,
ARM,,,41.6,,,,,,,,,,,
AUS,,,,,,,,,,,,,42.8,
AUT,,,,,,,,,,,,,29.9,
AZE,,,,,,,,,,34.5,,,,
BHS,,17.7,,,,,,,,,,,,
BGD,,,4.9,,,,,,,,,,,
BRB,,14.1,,,,,,,,,,,,
BLR,,,,,,,,,,61.4,,,,
BEL,,,,,,,,,,,,32.3,,
BLZ,,,,,,,,,,,13.6,,,
BEN,,,,3.8,,,,,,,,,,
BTN,,,,,,13.6,,,,,,,,
BOL,,,,,,,,,,,,,27.1,
BIH,,,,,,,,,,,,11.6,,
BFA,,,,,,,,0.4,,,,,,
KHM,,,,,,,,,,3.3,,,,
CAN,,,,,,,,,,,,60.7,,
CHN,,,,,,,,,,,10,,,
CRI,,,,,,,,,,,,,20.6,
CUB,,,,9.2,,,,,,,,,,
CYP,,,,,,,,,,,,,34.5,
CZE,,,,,,,,,,,,,19.5,
DOM,,,,,,,,,,,,,9,
ECU,,,,,,,,,,,12,,,
ETH,,,,,,,,,,,,8.5,,
FJI,,,,,,,,16.7,,,,,,
FRA,,,,,,,,,,,,,25.7,
GEO,,,,48.2,,,,,,,,,,
DEU,,,,,,,,,,,,,36,
GHA,,,,,,,,,,,15,,,
GRC,,,,,,,,,,,27.8,,,
GTM,,,,,,,,,,,,,2.6,
GUY,,,,2.1,,,,,,,,,,
HND,,,,,,,,,,,,,7.2,
HUN,,,,,,,,,,,,,21,
ISL,,,,,,28.6,,,,,,,,
IRN,,,,,,,,,,,,,21.2,
IRL,,,,,,,,,,,,35.6,,
ISR,,,,,,,,,,,,,41.4,
ITA,,,,,,,,,,,,,12.8,
JOR,,,,,,,,,,,28.4,,,
KAZ,,,,,,,,52.5,,,,,,
KEN,,,,,,,,,,,8.7,,,
KWT,,,,,,,,,,,,,14.4,
KGZ,,,,,,,,,,23.7,,,,
LVA,,,,,,,,,,,,,27.6,
LSO,,,,,,,,,5,,,,,
LTU,,,,,,,,,,,,,44.3,
MKD,,,,13.8,,,,,,,,,,
MWI,0.7,,,,,,,,,,,,,
MYS,,,,,,,,,,,17,,,
MDV,,,,,,,4.7,,,,,,,
MLT,,,,,,,,,,,,,26.5,
MUS,,,,,,,,,,,,14.6,,
MNG,,,,,,,,,,,30.7,,,
NAM,,,5.7,,,,,,,,,,,
NLD,,,,,,,,,,,,,34.7,
NZL,,,,,,,,,,,,48.9,,
NOR,,,,,,,,,,,,33,,
OMN,,,,,,,,,21.2,,,,,
PAK,,,,,,,,,,,,9.9,,
PAN,,,,,,,,,,,19.6,,,
PHL,,,,,,,,,28.5,,,,,
POL,,,,,,,,,,,,,21.3,
PRT,,,,,,,,,,,,,14.1,
QAT,,,,,,,,,,,,,22.4,
MDA,,,,,,,,,,,,,59,
ROU,,,,,,,,,,,,,17.7,
RUS,,,,,,,,,,,64.8,,,
WSM,,,13.7,,,,,,,,,,,
SAU,,,,,,,,,,,,,,26.8
SGP,,,,,,,,,,,,,53.5,
ZAF,,,,,,,,,,,,,14,
ESP,,,,,,,,,,,,,27.3,
SUR,,,,,4,,,,,,,,,
SWE,,,,,,,,,,,,,31.8,
CHE,,,,,,,,,,,,,48.2,
SYR,,,,,,,,,,14.5,,,,
TJK,,26.6,,,,,,,,,,,,
THA,,,,,,,,,,,12.1,,,
TGO,,,,,,,,,,4.9,,,,
TON,,,,,,,,,,,,17.7,,
TTO,,,,,,,,,,45.6,,,,
UGA,,,,,,,,,,,9.6,,,
ARE,,,,,,19.8,,,,,,,,
GBR,,,,,,,,,,,,34.3,,
URY,,,,,,,,,,,,,8.5,
VNM,,,,,,,,,,14.3,,,,
ZWE,,,,12.7,,,,,,,,,,
# Series: EAPSMAIN,,,,,,,,,,,,,,
"# Name: Educational attainment (post-secondary) of the population aged 25 and older, male",,,,,,,,,,,,,,
# Definition: Number of students enrolled in each field over the total enrollment in tertiary education in a specific academic-year.,,,,,,,,,,,,,,
"# Source: UN Educational, Scientific and Cultural Organization (UNESCO) Institute for Statistics",,,,,,,,,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,,,,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,,,,,,,,,
