ISO,1998,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
ALB,,,,,,,,,,,,,1.5,,
AND,,,,,,,,18.7,,,,,,,
ARG,,,,,15.3,,,,,,,,,,
ARM,,,19.5,,,,,,,,,,,,
AUS,,,,,,,,,,,,,,44.9,
AUT,,,,,,,,,,,,,,14.7,
AZE,,,,,,,,,,,22.9,,,,
BHS,,0.3,,,,,,,,,,,,,
BHR,,,11.9,,,,,,,,,,,,
BGD,,,3.5,,,,,,,,,,,,
BRB,,1.1,,,,,,,,,,,,,
BLR,,,,,,,,,,,52.9,,,,
BEL,,,,,,,,,,,,,29.9,,
BLZ,,,,,,,,,,,,5.1,,,
BEN,,,,0.8,,,,,,,,,,,
BTN,,,,,,,8.1,,,,,,,,
BOL,,,,,,,,,,,,,,24.3,
BIH,,,,,,,,,,,,,5.5,,
BRA,,,,,,,,,,,,,12.6,,
BGR,,,,,,,,,,,,,,24.6,
CAN,,,,,,,,,,,,,50.6,,
TCD,,,,,,0.9,,,,,,,,,
CHL,,,,,,,,,,,,17.9,,,
CHN,,,,,,,,,,,,3,,,
COL,,,,,,,,,,,,,20.2,,
CRI,,,,,,,,,,,,,,21.2,
HRV,,,,,,,,,,,,,18.3,,
CUB,,,,9.5,,,,,,,,,,,
CYP,,,,,,,,,,,,,,34.5,
CZE,,,,,,,,,,,,,,16.4,
DNK,,,,,,,,,,,,,,34.6,
DMA,,,4.8,,,,,,,,,,,,
DOM,,,,,,,,,,,,,,12.5,
ECU,,,,,,,,,,,,11.8,,,
SLV,,,,,,,,,,,,,,10.6,
EST,,,,,,,,,,,,,,42.5,
ETH,,,,,,,,,,,,,0.4,,
FJI,,,,,,,,,10.6,,,,,,
FIN,,,,,,,,,,,,,35.7,,
FRA,,,,,,,,,,,,,,26.3,
GEO,,,,25.1,,,,,,,,,,,
DEU,,,,,,,,,,,,,,21.2,
GHA,,,,,,,,,,,,1.7,,,
GRC,,,,,,,,,,,,18.7,,,
GUY,,,,0.1,,,,,,,,,,,
HND,,,,,,,,,,,,,,4,
HUN,,,,,,,,,,,,,,22.7,
ISL,,,,,,,29.9,,,,,,,,
IDN,,,,,,,,,,,,,7.5,,
IRN,,,,,,,,,,,,,,18.6,
IRL,,,,,,,,,,,,,32.8,,
ISR,,,,,,,,,,,,,,47.3,
ITA,,,,,,,,,,,,,,13.3,
JPN,,,,,,,,,,,,27.8,,,
JOR,,,,,,,,,,,,12.9,,,
KAZ,,,,,,,,,27.9,,,,,,
KWT,,,,,,,,,,,,,,11.2,
KGZ,,,,,,,,,,,18.8,,,,
LVA,,,,,,,,,,,,,,32.6,
LBN,,,,,,,,,14.2,,,,,,
LSO,,,,,,,,,,1.9,,,,,
LTU,,,,,,,,,,,,,,32.5,
LUX,,,,,,,,,,,,,,32.8,
MKD,,,,10.7,,,,,,,,,,,
MWI,0.3,,,,,,,,,,,,,,
MDV,,,,,,,,1.1,,,,,,,
MLI,,,,,,,,,,,,,1.7,,
MLT,,,,,,,,,,,,,,13.5,
MUS,,,,,,,,,,,,,4,,
MEX,,,,,,,,,,,,,,14.3,
MNG,,,,,,,,,,,,26.8,,,
MNE,,,,,,,,,,,,,17.8,,
NAM,,,2,,,,,,,,,,,,
NLD,,,,,,,,,,,,,,26.4,
NZL,,,,,,,,,,,,,38.5,,
NOR,,,,,,,,,,,,,33.6,,
OMN,,,,,,,,,,11.3,,,,,
PAK,,,,,,,,,,,,,4.6,,
PAN,,,,,,,,,,,,24.3,,,
PRY,,,,,,,,,,11.7,,,,,
PER,,,,,,,,,,,,,,21.7,
PHL,,,,,,,,,,25.9,,,,,
POL,,,,,,,,,,,,,,24,
PRT,,,,,,,,,,,,,,17,
QAT,,,,,,,,,,,,,,33.9,
KOR,,,,,,,,,,,,30.1,,,
MDA,,,,,,,,,,,,,,20.1,
ROU,,,,,,,,,,,,,,12.9,
RUS,,,,,,,,,,,,61.9,,,
WSM,,,3.3,,,,,,,,,,,,
SAU,,,,,,,,,,,,,,,21
SEN,,,,,,,,,,,,,1.6,,
SRB,,,,,,,,,,,,,,16,
SYC,,,,5.9,,,,,,,,,,,
SGP,,,,,,,,,,,,,,36.4,
SVK,,,,,,,,,,,,,,18,
SVN,,,,,,,,,,,,,,26.4,
ZAF,,,,,,,,,,,,,,5.8,
ESP,,,,,,,,,,,,,,26.6,
LKA,,,,,,,,,,,14.8,,,,
SUR,,,,,,3.1,,,,,,,,,
SWE,,,,,,,,,,,,,,33.3,
CHE,,,,,,,,,,,,,,27,
SYR,,,,,,,,,,,4.5,,,,
TJK,,6.2,,,,,,,,,,,,,
TZA,,,,0.7,,,,,,,,,,,
THA,,,,,,,,,,,,12.5,,,
TGO,,,,,,,,,,,1,,,,
TON,,,,,,,,,,,,,5.4,,
TTO,,,,,,,,,,,10.2,,,,
TUN,,,,,,,,,,,,10.8,,,
TUR,,,,,,,,,,,,,,10.4,
UGA,,,,,,,,,,,,1.9,,,
UKR,,,39.7,,,,,,,,,,,,
ARE,,,,,,,25.1,,,,,,,,
GBR,,,,,,,,,,,,,31.9,,
USA,,,,,,,,,,,,,,41.1,
URY,,,,,,,,,,,,,,13,
VEN,,,,,,,,,,,18.4,,,,
VNM,,,,,,,,,,,5.9,,,,
ZWE,,,,0.9,,,,,,,,,,,
# Series: EATLFEIN,,,,,,,,,,,,,,,
"# Name: Educational attainment (tertiary) of the population aged 25 and older, female",,,,,,,,,,,,,,,
# Definition: Number of students enrolled in each field over the total enrollment in tertiary education in a specific academic-year.,,,,,,,,,,,,,,,
"# Source: UN Educational, Scientific and Cultural Organization (UNESCO) Institute for Statistics",,,,,,,,,,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,,,,,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,,,,,,,,,,
