ISO,1999,2000,2001,2002,2003,2004,2005
ARM,,1.7,,,,,1
BGD,,,,,,0.8,
BEN,,,1.2,,,,
BOL,,,,,0.2,,
BFA,,,,,0.9,,
KHM,,1.1,,,,,
CMR,,,,,,1,
TCD,,,,,,0.6,
COL,,0.1,,,,,0.2
DOM,,,,0.2,,,
EGY,,0.4,,,,,
ERI,,,,1,,,
ETH,,0.1,,,,,
GHA,,,,,0.8,,
GIN,,,,,,,0.4
HTI,,0.2,,,,,
IDN,,,,,0.2,,
KEN,,,,,0.3,,
LSO,,,,,,0.4,
MDG,,,,,,0.8,
MWI,,0.4,,,,0.6,
MLI,,,0.9,,,,
MAR,,,,,,0.8,
MOZ,,,,,0.4,,
NAM,,0.2,,,,,
NPL,,,6.9,,,,
NIC,,,0.5,,,,
NGA,,,,,0.7,,
PER,,0.2,,,,,
PHL,,,,,0.2,,
RWA,,0.8,,,,,0.1
SEN,,,,,,,2.3
TZA,,,,,,,0.5
TKM,,6.2,,,,,
UGA,,,0.2,,,,
ZMB,,,,0.5,,,
ZWE,0.8,,,,,,
# Series: ECMSODHS,,,,,,,
# Name: Married women's control over earnings - someone else only,,,,,,,
"# Definition: Percent distribution of women employed in the 12 months who received cash earning for work by person who decides how earnings are used, according to current marital status and the proportion of household expenditures met by earnings.",,,,,,,
# Source: DHS Household Surveys,,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,,
