ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
ALB,,,11.0855,9.5654,9.6235,10.0753,10.4744,9.8874,10.6771,10.719,11.3579,10.7565,11.1643,,,,,,
DZA,,,,,,,,,,,,,,11.4294,,,,,
AGO,,,,,,5.2551,,,,,7.9924,7.4548,,,,8.9474,,,
ATG,,,,,11.8446,,,8.856,,,,,,,6.9166,,,,
ARG,,14.7128,,15.6223,15.8801,16.2882,16.2772,10.3602,11.6364,11.8616,,14.6345,14.664,15.759,15.9011,15.0191,15.3363,,
ARM,,,,,,,,,,,13.6481,13.5785,13.4656,14.2684,13.4512,12.4005,12.5933,13.7019,
AUS,14.8913,15.2868,,,,13.5902,,,,,13.5867,13.1606,13.0148,12.5879,13.396,14.3294,,,
AUT,9.3175,9.2787,,11.6922,11.6948,11.026,11.1972,11.2116,10.7709,10.1874,10.8853,10.9966,10.9747,11.0854,11.3571,11.2007,,,
AZE,,,,,,18.498,18.773,11.3968,11.5233,13.3316,13.1207,9.5109,9.8286,8.2824,9.5436,8.7791,7.2429,,
BHS,,,,,,18.6008,,,,,,,,,,,,,
BHR,,,,,,,,,,,,11.9187,11.0267,10.5587,,,,8.871,
BGD,,,15.8886,,18.5221,18.3986,16.9465,15.3774,15.9898,15.4032,,16.398,17.4253,15.0304,13.8374,,,,
BRB,,,,,12.853,12.709,15.6258,13.4461,14.396,15.3726,13.3704,,11.9617,12.0375,13.8193,14.9328,,13.44,
BEL,5.8068,5.8888,,,,,12.1713,12.2353,11.8,12.1108,11.4164,12.3441,12.4459,12.9146,12.2231,12.5002,,,
BLZ,,,,,16.9131,14.449,16.4553,16.0384,15.7077,16.1423,,,,19.2537,21.7488,21.8366,,,
BEN,,,,15.1672,14.6935,13.5132,15.3106,14.1291,16.6825,19.214,18.7904,19.7096,14.9487,19.0886,18.1756,26.144,,,
BTN,,,,,,12.5554,11.3973,,,18.7738,19.809,,,14.0146,13.5537,10.0157,11.2939,,
BOL,21.7545,17.8811,,18.4267,19.2724,18.6708,18.4615,18.7138,19.941,,,21.1625,,19.9238,22.5608,24.1278,19.4831,,
