ISO,1997,1998,2000,2001,2002,2003,2004,2005,2006,2007,2008,2010
ARM,,,,,,15.7,,,,,,
BEN,,,,,,6.2,,,,,,
BTN,,,,,,15.3,,,,,,
BOL,,,,,34.5,,,35,,,,
BRA,,,,,,,,,,,49.1,
BFA,,,,,,2.7,,,,,,
BDI,,0.6,,,,,,,,,,
KHM,,,,,,,8.8,,,,,
CMR,,,,20.8,,,,,,,,
CPV,,,,,29.1,,,,,,,
COL,,,,,,36.3,,,,,,
COG,,,,,,,,5.7,,,,
CIV,,,,,18,,,,,,,
DOM,,,54.2,,,,,,,,,
SLV,,,,,,51.2,,,,,,
GAB,,,,,,,,41.6,,,,
GHA,,11.6,,,,,,,,,,
GTM,,,43.9,,,,,,41.8,,,
GIN,,,,,,2.6,,,,,,
IND,,,,,,,,3.1,,,,4.7
IDN,,,,,7.1,,,,,,,
JOR,,,,,56.3,,,,,,,
KAZ,,,,,,49.4,,,,,,
LSO,,,,,19.9,,,,,,,
LBR,,,,,,,,,,0.5,,
MDG,,,,,,,,0,,,,
MWI,,,,,,,1.5,,,,,
MLI,,,,,,,,,4,,,
MEX,,,,,,,55.2,,,,,
MAR,,31.9,,,,,,,,,,
MOZ,,,,,,1.2,,,,,,
NPL,,,,,,6.4,,,,,,
NIC,,41.6,,37.9,,,,39.8,,,,
NER,,,,,,,,7.5,,,,
NGA,,,,,,,5.8,,,,,
PAK,,,,,,,,6.3,,,,
PAN,45.3,,,,,,,,,,,
PRY,,,,,42.6,,,,,,,
PER,,,,,38.6,,,,40.9,,,
PHL,,,,,,29.5,,,,,,
SEN,,,,6.1,,,,,,,,
SLE,,,,,,4.4,,,,,,
ZAF,,,33.9,,,,,,,,,
LKA,,,,,22.3,,,,,,,
TJK,,,,,,7.4,,,,,,
THA,,,,,44.5,,,,,,,
TLS,,,,5.5,,,,,,,,
TGO,,,,,,,,,7.4,,,
TUR,,,,,52.5,,,,,,,
UGA,,,,,,,,5.5,,,,
VNM,,,,,,,10.5,,13.6,,,
ASE,,,,,,,,4.7,,,,4.7
SAM,,,,,,,,3.1,,,,4.7
SAE,,,,,,,,2.99203,,,,3.5101
# Series: EECTFEDM,,,,,,,,,,,,
"# Name: Employment by economic class, developing middle class, Female",,,,,,,,,,,,
"# Definition: The share of developing middle class (between US$4 and US$13, PPP) females in total employment",,,,,,,,,,,,
# Source: International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),,,,,,,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,,,,,,,
