ISO,1997,1998,2000,2001,2002,2003,2004,2005,2006,2007,2008,2010
ARM,,,,,,6,,,,,,
BEN,,,,,,44.1,,,,,,
BTN,,,,,,28.6,,,,,,
BOL,,,,,21.5,,,18.1,,,,
BRA,,,,,,,,,,,3.2,
BFA,,,,,,58.1,,,,,,
BDI,,86.2,,,,,,,,,,
KHM,,,,,,,34.8,,,,,
CMR,,,,11.5,,,,,,,,
CPV,,,,,16.1,,,,,,,
COL,,,,,,12.4,,,,,,
COG,,,,,,,,55.6,,,,
CIV,,,,,25.5,,,,,,,
DOM,,,3,,,,,,,,,
SLV,,,,,,5.1,,,,,,
GAB,,,,,,,,5.1,,,,
GHA,,35.5,,,,,,,,,,
GTM,,,6.8,,,,,,9.3,,,
GIN,,,,,,61.9,,,,,,
IND,,,,,,,,43.1,,,,31.6
IDN,,,,,29.7,,,,,,,
JOR,,,,,0.7,,,,,,,
KAZ,,,,,,1.6,,,,,,
LSO,,,,,32.4,,,,,,,
LBR,,,,,,,,,,85.4,,
MDG,,,,,,,,65.4,,,,
MWI,,,,,,,73.7,,,,,
MLI,,,,,,,,,54,,,
MEX,,,,,,,0.5,,,,,
MAR,,5.9,,,,,,,,,,
MOZ,,,,,,75.9,,,,,,
NPL,,,,,,48,,,,,,
NIC,,6.7,,7.6,,,,5.6,,,,
NER,,,,,,,,47.1,,,,
NGA,,,,,,,52.9,,,,,
PAK,,,,,,,,22,,,,
PAN,6.9,,,,,,,,,,,
PRY,,,,,8.6,,,,,,,
PER,,,,,12.1,,,,9.2,,,
PHL,,,,,,15.8,,,,,,
SEN,,,,48.1,,,,,,,,
SLE,,,,,,57,,,,,,
ZAF,,,15.9,,,,,,,,,
LKA,,,,,11.1,,,,,,,
TJK,,,,,,31.8,,,,,,
THA,,,,,1.2,,,,,,,
TLS,,,,44.6,,,,,,,,
TGO,,,,,,,,,35.6,,,
TUR,,,,,0.9,,,,,,,
UGA,,,,,,,,50.1,,,,
VNM,,,,,,,27.6,,21,,,
ASE,,,,,,,,32.55,,,,31.6
SAM,,,,,,,,22,,,,31.6
SAE,,,,,,,,34.5271,,,,23.5998
# Series: EECTFEEP,,,,,,,,,,,,
"# Name: Employment by economic class extremely poor, Female",,,,,,,,,,,,
"# Definition: The share of extremely poor (<US$1.25, PPP) females in total employment",,,,,,,,,,,,
# Source: International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),,,,,,,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,,,,,,,
