ISO,1997,1998,2000,2001,2002,2003,2004,2005,2006,2007,2008,2010
ARM,,,,,,29.4,,,,,,
BEN,,,,,,27.7,,,,,,
BTN,,,,,,22.6,,,,,,
BOL,,,,,10.5,,,8.5,,,,
BRA,,,,,,,,,,,3.7,
BFA,,,,,,25.5,,,,,,
BDI,,10.2,,,,,,,,,,
KHM,,,,,,,29.2,,,,,
CMR,,,,18.7,,,,,,,,
CPV,,,,,17.3,,,,,,,
COL,,,,,,12.6,,,,,,
COG,,,,,,,,20.8,,,,
CIV,,,,,21.5,,,,,,,
DOM,,,6.3,,,,,,,,,
SLV,,,,,,8.7,,,,,,
GAB,,,,,,,,8.5,,,,
GHA,,23,,,,,,,,,,
GTM,,,12.2,,,,,,7.1,,,
GIN,,,,,,24.2,,,,,,
IND,,,,,,,,35.6,,,,36.8
IDN,,,,,38.4,,,,,,,
JOR,,,,,8.3,,,,,,,
KAZ,,,,,,13,,,,,,
LSO,,,,,17.7,,,,,,,
LBR,,,,,,,,,,11.3,,
MDG,,,,,,,,24.5,,,,
MWI,,,,,,,19.6,,,,,
MLI,,,,,,,,,26.4,,,
MEX,,,,,,,5.5,,,,,
MAR,,16.6,,,,,,,,,,
MOZ,,,,,,17.6,,,,,,
NPL,,,,,,25.5,,,,,,
NIC,,17.6,,20,,,,20.1,,,,
NER,,,,,,,,25.9,,,,
NGA,,,,,,,19.6,,,,,
PAK,,,,,,,,36.5,,,,
PAN,6.5,,,,,,,,,,,
PRY,,,,,15.4,,,,,,,
PER,,,,,11.5,,,,12,,,
PHL,,,,,,23.2,,,,,,
SEN,,,,27.4,,,,,,,,
SLE,,,,,,23.9,,,,,,
ZAF,,,9.3,,,,,,,,,
LKA,,,,,24.6,,,,,,,
TJK,,,,,,32.7,,,,,,
THA,,,,,10.8,,,,,,,
TLS,,,,26.1,,,,,,,,
TGO,,,,,,,,,31.5,,,
TUR,,,,,5.7,,,,,,,
UGA,,,,,,,,25.2,,,,
VNM,,,,,,,30.2,,26.8,,,
ASE,,,,,,,,36.05,,,,36.8
SAM,,,,,,,,35.6,,,,36.8
SAE,,,,,,,,30.495,,,,27.4833
# Series: EECTMAMP,,,,,,,,,,,,
"# Name: Employment by economic class, moderately poor, Male",,,,,,,,,,,,
"# Definition: The share of moderately poor (between US$1.25 and US$2, PPP) males in total employment",,,,,,,,,,,,
# Source: International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),,,,,,,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,,,,,,,
