ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
AFG,,,,,,,,,,,3.6,,,,,,
ALB,,,57.4,,,,,52.3,,61.6,58.3,,,61.3,,,
DZA,35.5,,,,,,,,,,,,,,,,
AGO,,,,,,15.9,,,,,,,,,,,
ARG,53.5,51.7,50.5,49.9,50.7,47.6,46.7,46,47.5,48.3,48.4,46.7,46.6,40,37.6,33.5,
ARM,,,,11.4,,,11.8,14.5,15.7,23.5,31.6,34,33.7,43.7,,,
AZE,9.7,,,,,,22.3,,,,,,,60.8,,,
BGD,2.7,,,,,2.8,,,,,0.1,,,,,1.2,
BLR,,,,,,73.3,76.8,74.4,,82.8,74.8,66.5,55.7,53.5,,,
BLZ,,41,38.8,40,43,,,,,,,,,,,,
BEN,,,,,,,,,6.5,,,,,,,,
BTN,,,,,,,,,17.3,,,,26.9,,,,
BOL,,,37.6,,35.9,31.3,34.5,33.6,,,35.2,38.8,38.4,41,,,
BIH,,,,,,,78.4,,,65.2,,,58.2,,,,
BRA,44.3,44.3,44.3,44.6,44.8,,45.2,45.1,45.9,46.4,47,47.5,48.7,48.8,49.2,,
BFA,,,,1.7,,,,,3.7,,,,,,6.4,,
BDI,,,,0.8,,,,,,,,0.5,,,,,
KHM,,,,,,,,,,9,,,12.5,13,,,
CMR,,13.9,,,,,26,,,,,,29.1,,,,
CPV,,,,,,,,29.7,,,,,,,,,
CAF,,,,,,,,,2.5,,,,,4.1,,,
TCD,,,,,,,,,1.9,,,,,,,,
CHL,,51.3,,51.3,,53.3,,,54.7,,,54.7,,,54.4,,
CHN,6.2,6.7,,,11.4,,,18.4,,,27.5,,,36.8,,,
COL,,43.5,,,39,35.2,34.8,34.1,33.8,34.3,39.8,,,43.1,43.6,45,
COM,,,,,,,,,,12,,,,,,,
COG,,,,,,,,,,,7.9,,,,,,
CRI,53.8,53.2,53.8,54.3,53.1,53.9,50.8,51.5,50.4,52.3,53.3,53.2,53.6,53.6,51.5,,
CIV,16.8,,,18,,,,20.2,,,,,,19.3,,,
CUB,,,,,,,,,,,56.5,,,,,,
PRK,,,,,,,,,,,11.1,,,,,,
COD,,,,,,,,,,,,0.1,,,,,
DOM,,51.1,51.9,,,48.9,49.8,50,45.6,41.3,46.1,47.4,50.1,49.9,51.2,50.1,
ECU,,,,35.7,29.2,28.6,,,39.3,,43.3,46.7,45.8,48.2,48.9,50.3,
EGY,,25.5,,,,30.7,,,,,30.9,,,31.6,,,
SLV,47.1,45.3,,44.6,45.7,,45.6,44.8,46.8,48.2,47.3,52.3,52.9,49.7,50.2,,
GNQ,,,,,,,,,,,46,,,,,,
ERI,,,,,,,,,,,5.7,,,,,,
ETH,2.8,,,,1.9,,,,,,0.3,,,,,,
FJI,,,,,,,,23.3,,,,,,37,,,
GAB,,,,,,,,,,,46.8,,,,,,
GMB,,,,12.5,,,,,20.2,,,,,,,,
GEO,,,,,,,,30.8,29.3,,33,32,31.2,34.3,,,
GHA,,,,13.7,,,,,,,17.6,,,,,,
GTM,,,,43.9,,40.2,,36.5,41.2,39,,47.7,,,,,
GIN,,,,,,,,,3.5,,,,6.8,,,,
GNB,,,,,,,,3.1,,,,,,,,,
GUY,,,,50.3,,,,,,,,,,,,,
HTI,,,,,,,13.8,,,,,,,,,,
HND,28.1,25.4,32.5,31.8,31.6,,37.8,32,31.3,32.3,31.8,35.7,36.4,37.1,38,,
IND,,,,,,,,,,,4.3,,,,,6.1,
IDN,,5.2,,,3.7,,,6.6,,,11.7,7.7,11.3,10.9,11.3,16.4,18.6
IRN,,,,50.1,,,,,,,56,,,,,,
IRQ,,,,,,,,,,,,,30.5,,,,
JAM,,54.7,,,57.7,,,51.8,,54.9,,,,,,,
JOR,,,49.4,,,,,53.7,,,,62.9,,65.1,,66.6,
KAZ,,46.3,,,,,,40.7,45.7,46.7,,61.9,68.3,70.3,69.2,,
KEN,,,23.6,,,,,,,,,,,,,,
KGZ,,,,11,,,,7.3,,21.2,19.7,22.4,23.3,39.1,36.3,,
LAO,,,3.5,,,,,4,,,,,,4.3,,,
LSO,,,,,,,,19.2,,,,,,,,,
LBR,,,,,,,,,,,,,0.8,,,,
MKD,,,,73.2,,60.4,,70.1,72.4,73.5,70.6,67.6,,66.6,64.6,,
MDG,,,2.2,,1.7,,3.8,,,,0,,,,,1.2,
MWI,,,,0.9,,,,,,2,,,,,,,
MYS,54.4,,54.8,,,,,,,,,,53.7,,52.1,,
MDV,,,,35.1,,,,,,53.2,,,,,,,
MLI,,,,,,,2.1,,,,,4.7,,,,2,
MRT,14.1,,,,,18.7,,,,13.3,,,,19.9,,,
MEX,,47.3,,47.7,,50,,50.8,,55.1,,53.9,,55.3,,,
MNE,,,,,,,,,,,84.6,81.9,71,70.1,,,
MAR,,,,33.6,,,33.7,,,,,,44.6,,,,
MOZ,,,0.1,,,,,,1.9,,,,,4.6,,,
MMR,,,,,,,,,,,5.5,,,,,,
NAM,,,,,,,,,,33.3,,,,,,,
NPL,,1.7,,,,,,,6.3,,,,,,,10.2,
NIC,,,,34.8,,,30.4,,,,32.1,,,,,,
NER,,,,,,,,,,,6.9,,6.1,,,,
NGA,,2.5,,,,,,,,5.9,,,,,,7.4,
PAK,,,3,,,,,4.9,,,7.4,7.6,7.4,,,,
PAN,42.1,,42.1,,,,42.1,42.7,43.2,43,43.4,43.6,,,46.4,48,
PNG,,13.8,,,,,,,,,,,,,,,
PRY,42.1,,41,,40.5,,43.2,36.3,39.8,43,46.1,42.6,46.3,47,47.9,49.9,
PER,,,38.4,35.7,34.1,39.3,35,39.7,38.3,41.3,40.1,41.6,43.2,46.4,46.4,47.9,
PHL,,,23.3,,,23.5,,,24,,,23.7,,,25.3,,
MDA,,,31,24,17.8,,19.5,26,31.6,30,25.4,52,58.1,57.3,57.1,59.5,
RUS,,61,,,62.4,,64,67,66.2,64.7,64.1,58.1,55.2,53.2,55.4,,
RWA,,,,,,2.3,,,,,,2.4,,,,,5.5
SEN,,,,,,,6.8,,,,10.8,,,,,,
SRB,,,,,,,,71.6,75.6,76.5,77.2,80.3,76.4,81.1,81.8,,
SLE,,,,,,,,,5.2,,,,,,,,
SLB,,,,,,,,,,,19.3,,,,,,
SOM,,,,,,,,,,,0.2,,,,,,
ZAF,37.8,,,,,37.8,,,,,,37.4,,,39.6,,
LKA,,16.3,,,,,,21.2,,,,,28.3,,,,
SDN,,,,,,,,,,,,,,,6,,
SUR,,,,,45.5,,,,,,,,,,,,
SWZ,27.8,,,,,,27.4,,,,,,,,31.5,,
SYR,,,,,,,,,,36.7,,,,,,,
TJK,,,,,1.9,,,,7.4,12.9,,,14.5,,22.9,,
TZA,,,,,,0.6,,,,,,,2.2,,,,
THA,,42.4,,42.2,39.7,38.7,,44.1,,,,51,,52.4,54.5,,
TLS,,,,,,,5.6,,,,,,4.7,,,,
TGO,,,,,,,,,,,,7.9,,,,,
TUN,45.8,,,,,54.3,,,,,60.9,,,,,,
TUR,,,,,,,,54.7,55.4,56.8,59.7,61.1,62.1,62.2,,,
TKM,,,,22.4,,,,,,,,,,,,,
UGA,,0.5,,,2.1,,,5,,,6.3,,,,10.1,,
UKR,63.4,63,,,,,,71.2,76,79,79.6,78.4,74.6,74.4,79.7,,
URY,,,,,,,,,,,,51.8,50.4,50,48.7,49.1,
VEN,46.9,,,47.2,44.9,,45.6,39.6,36.5,40.1,47.5,54,,,,,
VNM,,,,1.3,,,,5.6,,10.7,,14,,15.8,,,
YEM,,,,19.1,,,,,,,13.3,,,,,,
ZMB,,6.8,,8.7,,,,,5.2,7,,7.7,,,,,
ZWE,,,,,,,,,,,6.8,,,,,,
AAE,30.3,17.025,,,18.2667,,,17,,,15.02,,,24.3143,,,
GEA,,,,,,,,,,,33.5269,,,,,,
AME,,46.2545,,43.7,42.55,,39.6643,42.3,42.45,44.25,43.86,47.3875,,46.9308,47.2308,,
LMA,,,,,,,,,,,26.9611,,,,,27.86,
ASE,,,,,,,,,,,3.85,,,,,5.83333,
UMA,39.0909,43.8364,,,41.0917,,,47.73,,,54.09,,,55.125,,,
EAM,6.2,6.7,,,11.4,,,6.6,,,11.7,,,15.8,,,
GEM,,,,,,,,,,,32.1,,,,,,
LCM,,47.3,,44.6,43,,42.1,42.7,41.2,43,46.1,47.4,,48.2,48.7,,
LMM,,,,,,,,,,,25.4,,,,,16.4,
SAM,,,,,,,,,,,3.6,,,,,6.1,
UMM,44.3,46.3,,,43,,,46,,,48.4,,,53.5,,,
EAE,4.51248,6.1079,,,8.77333,,,13.7887,,,18.5611,,,26.1578,,,
GLE,,,,,,,,,,,14.0502,,,,,,
LCE,,35.2161,,36.9384,28.9633,,29.1512,39.1813,31.3281,40.2175,32.6018,42.0214,,40.4685,31.0435,,
LMW,,,,,,,,,,,7.61923,,,,,5.36117,
SAE,,,,,,,,,,,4.07672,,,,,4.84278,
UMW,10.7437,13.1859,,,14.2281,,,23.5546,,,27.8626,,,35.3913,,,
# Series: EECTTODM,,,,,,,,,,,,,,,,,
"# Name: Employment by economic class, developing middle class, Total",,,,,,,,,,,,,,,,,
"# Definition: The share of developing middle class (between US$4 and US$13, PPP) males and females in total employment",,,,,,,,,,,,,,,,,
# Source: International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),,,,,,,,,,,,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,,,,,,,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,,,,,,,,,,,,
