ISO,1997,1998,2000,2001,2002,2003,2004,2005,2006,2007,2008,2010
ARM,,,,,,4.3,,,,,,
BEN,,,,,,43.4,,,,,,
BTN,,,,,,35.9,,,,,,
BOL,,,,,27.1,,,20.6,,,,
BRA,,,,,,,,,,,4,
BFA,,,,,,54.2,,,,,,
BDI,,85.9,,,,,,,,,,
KHM,,,,,,,37.1,,,,,
CMR,,,,11.6,,,,,,,,
CPV,,,,,18.8,,,,,,,
COL,,,,,,14.9,,,,,,
COG,,,,,,,,58.8,,,,
CIV,,,,,24.3,,,,,,,
DOM,,,2.7,,,,,,,,,
SLV,,,,,,7.2,,,,,,
GAB,,,,,,,,5.7,,,,
GHA,,36.8,,,,,,,,,,
GTM,,,7,,,,,,12.2,,,
GIN,,,,,,62.7,,,,,,
IND,,,,,,,,45.7,,,,37.5
IDN,,,,,28.6,,,,,,,
JOR,,,,,1.2,,,,,,,
KAZ,,,,,,3,,,,,,
LSO,,,,,32.2,,,,,,,
LBR,,,,,,,,,,86.7,,
MDG,,,,,,,,68.6,,,,
MWI,,,,,,,70.6,,,,,
MLI,,,,,,,,,54.2,,,
MEX,,,,,,,0.6,,,,,
MAR,,6,,,,,,,,,,
MOZ,,,,,,75.9,,,,,,
NPL,,,,,,50.2,,,,,,
NIC,,9,,9.7,,,,6.9,,,,
NER,,,,,,,,45.8,,,,
NGA,,,,,,,58.4,,,,,
PAK,,,,,,,,21.6,,,,
PAN,12.4,,,,,,,,,,,
PRY,,,,,5.7,,,,,,,
PER,,,,,14.3,,,,10,,,
PHL,,,,,,16.1,,,,,,
SEN,,,,56.9,,,,,,,,
SLE,,,,,,63.3,,,,,,
ZAF,,,21.8,,,,,,,,,
LKA,,,,,9.3,,,,,,,
TJK,,,,,,35.5,,,,,,
THA,,,,,1.9,,,,,,,
TLS,,,,41.9,,,,,,,,
TGO,,,,,,,,,36.7,,,
TUR,,,,,0.8,,,,,,,
UGA,,,,,,,,48.3,,,,
VNM,,,,,,,35.8,,26.5,,,
ASE,,,,,,,,33.65,,,,37.5
SAM,,,,,,,,21.6,,,,37.5
SAE,,,,,,,,36.4237,,,,28.0061
# Series: EECYFEEP,,,,,,,,,,,,
"# Name: Youth employment by economic class, extremely poor, Female",,,,,,,,,,,,
"# Definition: The share of extremely poor (<US$1.25, PPP) female youths in total employment",,,,,,,,,,,,
# Source: International Labour Organization (ILO) Key Indicators of the Labour Market (KILM),,,,,,,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,,,,,,,
