ISO,2010,2012,2014
ALB,no,no,no
DZA,no,no,no
AGO,yes,yes,yes
ARG,no,no,no
ARM,yes,yes,yes
AUS,yes,yes,yes
AUT,yes,yes,yes
AZE,yes,yes,yes
BGD,no,no,no
BLR,yes,yes,yes
BEL,yes,yes,yes
BEN,no,no,no
BOL,no,no,no
BIH,yes,yes,yes
BWA,no,no,no
BRA,no,no,no
BGR,no,no,no
BFA,no,no,no
BDI,no,no,no
KHM,no,no,no
CMR,no,no,no
CAN,no,no,no
TCD,no,no,no
CHL,no,no,no
CHN,no,no,no
COL,no,no,no
COG,no,no,no
CRI,no,no,no
CIV,yes,yes,yes
HRV,yes,yes,yes
CZE,yes,yes,yes
DNK,no,no,no
DOM,no,no,no
ECU,no,no,no
EGY,no,no,no
SLV,no,no,no
EST,no,no,no
ETH,no,no,no
FJI,no,no,no
FIN,yes,yes,yes
FRA,no,no,no
GAB,no,no,no
GEO,no,no,no
DEU,no,no,no
GHA,no,no,no
GRC,yes,yes,yes
GTM,no,no,no
GIN,no,no,no
HTI,,,no
HND,no,no,no
HUN,no,no,no
ISL,no,no,no
IND,no,no,no
IDN,no,no,no
IRN,no,no,no
IRL,no,no,no
ISR,no,no,no
ITA,no,no,no
JAM,no,no,no
JPN,yes,yes,yes
JOR,no,no,no
KAZ,yes,yes,yes
KEN,no,no,no
KSV,no,no,no
KWT,no,no,no
KGZ,yes,yes,yes
LAO,no,no,no
LVA,yes,yes,yes
LBN,no,no,no
LSO,no,no,no
LBR,no,no,no
LTU,yes,yes,yes
MKD,no,no,no
MDG,no,no,no
MWI,no,no,no
MYS,no,no,no
MLI,no,no,no
MRT,no,no,no
MUS,no,no,no
MEX,no,no,no
MNG,no,no,no
MNE,yes,yes,yes
MAR,no,no,no
MOZ,no,no,no
NAM,no,no,no
NPL,no,no,no
NLD,no,no,no
NZL,yes,yes,yes
NIC,no,no,no
NER,no,no,no
NGA,no,no,no
NOR,no,no,no
OMN,no,no,no
PAK,no,no,no
PAN,no,no,no
PNG,no,no,no
PRY,no,no,no
PER,no,no,no
PHL,no,no,no
POL,no,no,no
PRT,yes,yes,yes
KOR,yes,yes,yes
MDA,yes,yes,yes
RUS,yes,yes,yes
RWA,no,no,no
SAU,no,no,no
SEN,no,no,no
SRB,no,no,no
SLE,,no,no
SGP,no,no,no
SVK,yes,yes,yes
SVN,yes,yes,yes
ZAF,no,no,no
ESP,yes,yes,yes
LKA,no,no,no
SDN,no,no,no
SWE,yes,yes,yes
CHE,no,no,no
SYR,no,no,no
TJK,yes,yes,yes
TZA,no,no,no
THA,no,no,no
TGO,no,no,no
TUN,no,no,no
TUR,no,no,no
UGA,no,no,no
UKR,yes,yes,yes
ARE,no,no,no
GBR,yes,yes,yes
USA,no,no,no
URY,no,no,no
UZB,yes,yes,yes
VEN,no,no,no
VNM,no,no,no
YEM,no,no,no
ZMB,no,no,no
ZWE,no,no,no
# Series: EMCRFWBL,,,
# Name: Do employees with minor children have rights to a flexible/part-time schedule?,,,
# Definition: Do employees with minor children have rights to a flexible/part-time schedule?,,,
"# Source: World Bank, Women Business and the Law",,,
# Data from the No Ceilings project: http://noceilings.org,,,
"# For more about the data, please visit http://noceilings.org/data",,,
