ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
AFG,29.1,,,,3.8,,,42.8,66.6,62.3,71.2,76.9,73.9,76.9,75.5,80,80.6,86.6,
ALB,95,97.2,99.3,99.9,100.5,101.3,102.3,99.2,97.5,,,,,,,,,,
DZA,87.4,89.3,91.2,93,95.5,98.5,98,100,101,102,102.4,102.4,103.6,103.1,106.1,109.7,111.7,114,
AGO,,,,76.4,,,,,,,,,,112.9,111.4,111,109.6,,
ATG,,,,,,,,,,,,,102.9,102.5,100.6,98.8,96.5,94.5,
ARG,,111.3,108.9,113.2,112.5,113.1,113.7,114.1,112.1,112.9,112.3,113.6,114.8,116.4,116.7,117.3,116.9,,
ARM,91.9,93.1,96.7,,102.6,98.3,103.1,96.5,96,97.4,98.3,102.6,113.9,113.4,110.1,,,,
AUS,100.6,100.8,100.3,100.1,100,100.2,100.1,100.9,100.9,101.2,101.3,101.6,103.2,103.3,103.6,104.3,104.2,104.6,
AUT,100.6,102.3,102.9,103.6,103.2,102.4,101.1,99.4,98.9,99.7,100.1,100.8,100.8,99.7,99.8,99.6,100.1,101.1,
AZE,119,97.6,93.9,92.3,95.5,96.3,98,97.1,93.4,95.4,92.8,91,94.6,93.8,94.5,93.2,94.6,96.9,
BHS,96.1,103.3,99.2,99.4,95.4,,,94.6,,103.4,108.6,107.5,110.8,111.1,108.9,109,,,
BHR,108.4,107.4,106.3,104.9,102.4,,,,,,,,,,,,,,
BGD,,,,,,,,,,,101,102.7,103.1,100.8,103.9,108,117.8,,
BRB,,,,,104.8,104.1,103.6,100.9,100.1,98.5,101,103,106.3,108,107.6,107,104.5,,
BLR,94.1,94.4,95,97.3,107.9,110.8,112.6,110.5,100.9,97.6,95.9,97.4,100.1,103.6,104.6,103.3,101.1,99.2,
BEL,100.5,100.8,,,103.1,104.5,103.9,103,102.3,101.2,101.1,101.6,102.9,104,104.1,103.9,103.5,103,
BLZ,116.8,120.2,119.9,,119.2,117.2,116.1,,117.7,119.9,120.3,121.3,121.5,119.4,119.9,118.9,116.8,119.2,
BEN,49.4,52,55.9,59.9,61.3,65,72,77.6,81.7,86.7,85.8,87.8,,100.5,106.2,108.6,111,115.9,
BTN,55.4,59.7,63.5,66.1,68.9,73,77,80.8,85.5,90.6,93.8,97.6,100.9,104.5,108.8,111.8,113.1,113.3,
BOL,106.7,107.5,108.1,108.5,109.6,110.7,109.2,110.7,109,106.7,,106.6,106.3,105,101.1,97.3,93.7,,
BWA,102.8,103.2,103.7,102.5,103,103.7,105,105,104.9,104.1,104.5,104.2,103,103.1,104.1,,,,
