ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
AFG,,,,,,,,,185.267,187.772,,,,,575.973,,518.268,
ALB,807.404,844.924,909.922,955.189,955.863,1000.07,985.096,1004.7,,,,,,,,,,
DZA,,,,,,,,,,2116.98,2109.31,2168.31,2218.23,,2692.6,2618.59,2660.89,2625.93
AGO,,,,79.4627,75.2396,,,107.702,,,,,,,,,1083.12,
ATG,,,,,,,,,,,,,,,758.16,759.905,832.4,1319.66
ARG,,,,,3516.94,3971.35,4392.18,4586.22,4673.06,4840.5,4660.16,4761.1,4738.01,4865.73,5060.16,5304.64,5437.53,
ARM,,,,,,2771.77,2633.69,2901.09,3102.53,3042.71,3237.47,3667.75,3910.35,4060.07,,,,
AUS,5452.49,5550.52,5675.32,4367.53,4196.45,4131.61,4206.32,4865.75,4763.98,4684.19,4684.3,4638.09,4727.9,4762.42,4969.65,5164.82,5240.3,
AUT,3240.41,3261.16,3258.91,3323.65,3333.71,3367.96,3334.57,2751.15,2786.2,2850.16,2881.85,2961.42,3050.6,3346.92,3613.16,4104.02,4202.97,
AZE,1745.41,1606.39,1532.22,,,,,,,,,2120.79,2101.71,2098.58,2080.9,2070.91,2032.04,
BHS,810.231,,,,,,,,,,,,,,,,,
BHR,996.453,987.844,,,,,,,,,,,,,,,,1570.98
BGD,,,,,736.74,740.647,860.304,846.784,855.272,795.108,847.351,949.016,1021.13,1140.12,1342.16,,1579.03,
BRB,,,,,1643.5,1715.24,1785.7,,,,,,2704.97,,3294.13,3040.34,2782.68,
BLR,,3105.56,3131.94,3463.82,3685.64,3911.93,4185.08,4402.3,4649.72,4865.75,5138.5,5318.5,5384.14,5187.95,5307.99,5535.8,5778.06,5907.84
BEL,3663.5,3679.21,,,3397.22,3453.99,3435.24,3475.81,3511.49,3564.59,3526.74,3525.83,3475.77,3511.82,3707.82,3822.07,3941.09,
BLZ,,,,,,,1215.2,1357.39,1354.77,1346.95,1354.45,1376.6,1468.77,1549.41,1781.23,1789.27,1759.2,1976.36
BEN,323.644,316.56,381.554,,483.03,549.358,665.278,,,,,,,,1341.93,,1848.02,
BTN,,,,,344.068,,,,,,683.829,727.959,788.233,907.759,844.483,926.056,1078.6,1138.68
BOL,,,,,,,,,,,,,4139.33,,,,,
BWA,546.756,597.27,,,602.797,647.992,697.517,751.388,874.176,838.177,814.477,825.171,,,,,,
BRN,,,,649.816,780.174,851.565,980.97,946.724,916.452,934.083,922.063,929.61,988.694,998.855,1164.63,1062.81,1249.26,1547
BGR,2185.86,2388.21,2581.65,2609.03,2830.63,2910.1,2838.21,2787.88,2908.4,2925.31,3094.68,3105.05,3311.32,3296.19,3426.21,3622.15,3665.52,
BFA,155.805,146.525,137.736,,143.973,157.117,163.579,200.158,236.657,,305.16,321.441,342.785,404.57,450.36,471.58,539.448,591.605
BDI,,,,102.887,114.563,141.881,140.977,219.383,235.224,318.15,331.591,326.863,,,,433.584,,
KHM,194.671,216.865,157.092,129.919,,285.626,312.226,378.564,,502.416,618.252,1012.01,1216.9,1382.06,1611.7,1807.59,2012.35,
CMR,,,,,,,,591.599,603.077,606.118,694.408,784.26,808.741,876.971,1009.82,1227.73,1385.46,
CAN,5923.26,5751.66,,3616.58,3638.22,3574.54,,,,,,,,,,,,
CPV,,,,,,189.198,165.756,409.327,471.907,639.311,838.842,947.444,1032.71,1268.85,1578.08,1923.91,2137.26,2098.41
CAF,,,,,310.245,308.301,,,,,,180.888,,350.598,357.11,406.981,,425.146
TCD,,87.51,91.5276,112.831,,127.15,126.613,,149.851,191.549,243.569,,,314.495,320.076,336.365,340.376,
CHL,2671.42,2826.96,2855.96,3005.17,3225.18,3189.11,,3570.72,3816.65,3856.82,4348.67,4205.43,4720.73,4945.41,5248.94,5827.24,6133.64,6352.2
CHN,,,,,,,,,1288.11,1479.68,1660.05,1834.03,1946.76,2001.86,2164.07,2257.54,2241.83,2308.43
COL,1649.65,1732.59,2007.69,2388.4,2228.56,2356.54,2414.75,2425,2377.74,2650.89,2869.88,3030.9,3114.96,3493.36,3534.25,3636.32,3962.25,4082.52
COM,,,,,149.67,162.776,,,351.995,357.304,,,,,839.054,890.738,999.956,1112.07
COG,,,,,579.137,793.846,766.98,649.376,546.332,,,,,,1006.85,,1055.35,1159.07
CRI,,,,,,,,,,2357.74,2357.69,,,,,,3751.88,3866.56
CIV,554.262,,859.159,,903.63,,,,,,,,1174.7,,1090.69,1018.78,,
HRV,1884.21,2011.29,1939.78,2079.23,2119.36,2163.73,2354.28,2551.91,2722.19,,2978.84,3013.14,3101.71,3150.52,3037.07,3189.41,3213.73,
CUB,1088.6,913.045,819.532,756.918,1318.8,1350.27,1553.26,1585.02,1873.48,2698.01,3218.99,4809.39,5666.07,6858.14,6750.13,5615.33,4684.5,3710.13
CYP,1066.41,1122.19,1356.15,,1430.53,1328.07,1474.74,1827.36,2615.08,2992.92,2593.16,2689.28,2899.93,3378.05,4201.37,4327.13,3921.31,
CZE,1883.74,2063.57,2165.85,2261.83,2359.51,2588.15,2641.27,2830.66,2893,3177.79,3250.64,3171.39,3324.68,3500.93,3601.59,3719.36,3739.13,
COD,,,,,,,,,,,,,647.584,814.11,1001.48,,1107.23,1052.87
DNK,3242.73,3179.38,,3191.74,3232.92,3160.27,3237.07,3220.31,3265.76,3508.59,3776.02,3712.55,3730.13,3650.02,3669.73,3758.03,,
DJI,,20.9324,26.7984,,24.7311,28.5882,80.6022,111.085,145.078,167.433,260.617,300.978,334.995,372.215,467.251,471.874,683.926,
DOM,,,1863.32,,,,,,2507.11,,,,,,,,,
ECU,,,,,,,,,,,,,,3564.05,,,,
EGY,,,,,,,3672.16,3804.01,3372.92,3687.82,3708.29,3654.3,3955.78,3580.46,3679.57,3695.16,3094.46,
SLV,2114.46,2050.12,,1915.03,1920.37,1884.48,1802.96,1850.7,1909.9,1947.69,1959.86,1997.34,2103.62,2211.62,2299.74,2398.9,2583.09,2740.3
GNQ,,,,,,273.389,,,,,,,,,,,,
ERI,167.67,161.742,,153.554,190.672,188.386,243.463,233.465,,180.16,,,,,282.064,317.329,,
EST,1883.08,2926.22,3184.41,3120.54,3295.36,3595.63,3752.04,3829.26,4031.23,4155.4,4336.61,4381.86,4492.32,4395.5,4401.33,4567.63,,
ETH,95.8359,100.883,116.473,123.753,138.786,168.091,211.349,223.597,320.498,361.952,,,,,,,,
FJI,,,,,,,,,1473.73,1472.2,1459.14,,,,,,,
FIN,3964.11,4139.95,4351.2,4718.97,4895.12,5041.77,5188.17,5225.42,5426.71,5575.09,5647.35,5640.51,5603.81,5561.15,5326.66,5446.37,5494.96,
FRA,3404.11,3433.53,3367.06,3320.49,3300.05,3302.12,3314.27,3236.69,3335.69,3373.46,3378.8,3376.87,3328.32,3297.92,3293.77,3406.25,3421.65,
GAB,,,,,840.74,,,,,,,,,,,,,
GMB,199.585,,,,159.274,160.446,,,,187.252,,,,,,,,
GEO,3119.09,3160.63,3484.06,,2795.42,3152.99,3295.69,3482.98,3756.04,3661.74,4166.44,3350.62,3312.39,2926.69,2113.03,2336.93,2506.81,2182.02
DEU,3073.32,2983.83,2900.83,,,,,,,,,,,,,,3432.43,
GHA,,,,,,,,,,,753.453,691.53,850.921,1200.51,1124.63,,1510.49,1512.6
GRC,2908.62,3277.71,3619.58,3551.27,3653.48,3982.88,4399.52,4850.64,5175.75,5417.4,5936.61,6021.56,5612.38,,,6031.07,,
GRD,,,,,,,,,,,,,,,5655.25,,,
GTM,,,,,,,,1148.15,,,,,1839.16,,,,,
GIN,,182.55,183.728,180.661,,,,,321.558,322.006,419.885,711.752,1065.84,1219.56,1232.94,1416.23,1420.16,1341.44
GUY,1022.12,1139.71,1241.06,,,,,,,649.997,632.781,614.272,633.517,788.06,603.127,594.2,650.711,743.083
HND,,,,,1275.89,1320.27,1378.76,1456.89,1549.02,1556.63,,,,1666.33,,2161.75,,1942.06
HUN,1682.63,1879.24,2083.36,2433.92,2667.06,2961.21,3135.91,3337.03,3570.76,3821.68,3851.66,3881.8,3840.21,3721.65,3680.93,3629.55,3626.16,
ISL,2401.88,2338.48,2465.06,2409.3,2353.67,2676.4,2734,3033,3413.38,3630.48,3657.04,3802.37,3797.52,3905.61,3936.33,4239.87,4518.13,
IND,671.197,742.308,773.001,,,1112.29,1127.84,1185.02,1259.06,1306.25,1253.4,1337.15,1544.51,,1865.4,2040.56,2513.25,
IDN,1451.43,1558.55,,,,1638.87,1662.17,1630.42,1805.07,1837.58,,1725.6,1702.02,2020.32,2147.19,2255.6,2412.57,
IRN,,2173.42,,,2293.87,2342.29,2475.35,2355.65,2457.07,2731.37,2960.15,3267.68,3753.65,4414.51,4502.01,5206.13,5590.6,5884.05
IRQ,,,,,1589.53,1642.48,,1704.58,,2021.36,2026.67,,,,,,,
