ISO,1990,1995,2000,2005,2010
AFG,781.54,997.58,1266.57,1492.89,1317.33
ALB,152.49,191.02,259.1,384.42,342.57
DZA,136.34,146.19,161.22,184.68,175.31
AND,0.7,1.08,2,18.98,19.74
AGO,143.58,180.16,240.08,279.04,255.36
ATG,89.3,104.43,115.59,145.42,131.81
ARG,133.64,146.85,170.49,207.41,198.24
ARM,161.29,206.7,223.77,264.06,241.9
AUS,66.25,71.66,79.11,92.48,83.14
AUT,34.24,43.86,53.63,104.26,94.65
AZE,189.57,224.59,230.59,265.03,237.7
BHS,14.69,17.07,21.27,30.3,30.68
BHR,21.8,26.03,30.47,46.13,34.37
BGD,129.72,181.7,198.75,205.75,205.02
BRB,27.54,32.4,41.93,60.08,53.71
BLR,135.28,202.56,260.69,318.06,272.04
BEL,56.05,66.85,83.29,120.48,112.36
BLZ,163.85,224.14,277.58,292.32,279.15
BEN,130.57,144.27,187.41,232.66,233.05
BTN,131.44,172.35,203.79,247.86,225.82
BOL,299.18,353.92,390.33,448.31,411.36
BIH,238.26,331.1,354.92,432.76,373.69
BWA,147.72,196.71,282.15,288.68,186.42
BRA,156.39,187.59,209.9,262.82,239.85
BRN,3.26,3.62,4.17,29.7,34.33
BGR,146.02,191.38,242.92,293.84,265.25
BFA,97.5,117.23,155.59,228.6,261.03
BDI,313.59,356.03,411.24,525.57,509.28
KHM,324.07,358,393.06,436.06,403.6
CMR,143.27,160.11,197.63,231.26,225.02
CAN,14.31,17.43,21.26,47.32,45.86
CPV,104.56,119.14,139.45,169.09,153.99
CAF,252.75,277.29,290.82,345.82,341.47
TCD,153.38,165.87,216.46,259.88,247.72
CHL,57.38,63.77,75.04,96.77,84.46
CHN,97.36,114.29,132.61,181.2,150.33
COL,189.52,215.15,225.96,267.47,237.01
COM,281.15,304.89,326.46,409.08,412.59
COG,166.67,228.06,265.32,323.65,315.88
CRI,103.75,129.11,146.87,169.64,152.74
CIV,126.43,141.62,186.5,233.14,237.27
HRV,69.16,80.22,93.74,140.95,124.91
CUB,107,129.43,146.74,167.6,144.19
CYP,91.02,119.19,149.73,170.46,148.83
CZE,62.3,71.71,83.28,160.47,139.82
PRK,118.84,142.69,185.12,269.58,257.11
COD,182.94,220.37,280.38,374.57,379.2
DNK,30.79,38.86,46.52,113.95,102.75
DJI,156.03,180.12,211.47,270.45,255.21
DMA,143.56,159.28,169.65,205.59,178.05
DOM,214.07,234.95,261.78,348.99,347.13
ECU,166.02,194.78,229.83,267.87,239.9
EGY,296.31,334.28,397.35,502.12,474.73
SLV,171.94,190.58,218.96,268.68,255.99
GNQ,194.02,243.86,257.03,271.45,225.08
ERI,308,323.22,350.18,429.22,430.93
EST,90.57,126.22,139.33,169.59,127.07
ETH,194.22,211.29,208.5,295.54,273.42
FJI,175.08,231.23,281.86,314.11,282.44
FIN,52.06,58.2,68.85,115.4,101.37
FRA,22.4,27.01,33.92,65.18,61.79
GAB,34.69,45.15,56.37,80.34,76.17
GMB,190.97,202.59,243.92,290.71,264.43
GEO,166.94,176.79,176.38,213.9,215.73
DEU,40.78,49.22,59.36,89.66,81.86
GHA,132.49,151.91,188.21,206.47,197.25
GRC,92.6,107.88,137.51,179.35,155.68
GRD,201.13,228.33,248.59,342.41,305.1
GTM,165.56,201.53,237.79,269.37,251.95
GIN,176.08,190.72,235.24,290.81,301.9
GNB,179.84,192.36,247.46,342.03,336.89
GUY,448.71,514.49,501.59,677.62,670.42
HTI,601.83,693.44,814.24,978.26,920.4
HND,289.58,363.72,448.88,551.05,507.35
HUN,104.1,127.35,148.92,248.97,218.76
ISL,24.4,26.6,33.48,41.61,33.44
IND,186.53,245.56,299.32,352.2,323.34
IDN,133.36,157.67,205.63,277.17,253.37
IRN,154.83,174.18,194.64,207.9,179.76
IRQ,163.78,212.53,248.2,312.46,309.15
IRL,101.55,120.39,143.52,205.24,176.84
ISR,50.75,56.18,58.68,77.51,67.44
ITA,45.21,54.55,64.45,97.54,92.29
JAM,152.05,169.88,193.13,214.44,212.33
JPN,12.77,16.37,20.93,30.27,27.83
JOR,75.83,86.06,96.24,123.96,124.6
KAZ,158.21,267.07,342.74,439.32,360.09
KEN,142.25,160.01,175.3,205.57,192.93
KIR,205.95,235.59,243.33,271.13,241.87
KWT,1.75,3.51,4.48,12.36,18.34
KGZ,262.98,378.55,394.85,465.08,417.52
LAO,270.78,301.53,344.01,406.17,355.34
LVA,90.14,137.2,131.26,176.9,138.12
LBN,65.89,80.6,90.08,118.35,106.33
LSO,282.61,343.58,525.12,711.46,588.99
LBR,131.51,175.01,223.79,260.89,266.61
LBY,32.98,38.41,47.78,64.98,59.22
LTU,56.32,79.3,77.08,110.38,89.61
LUX,3.59,5.77,9.69,64.52,59.97
MKD,158.24,201.4,242.54,314.04,282.82
MDG,341.05,417.41,479.72,567.09,537.36
MWI,370.49,517.29,648.29,713.39,593.2
MYS,68.4,80.95,100.74,122.59,113.35
MDV,126.58,115.47,111.48,109.74,95.65
MLI,251.38,299.08,353.46,400.31,387.89
MLT,126.56,133.41,167.92,211.79,174.8
MHL,100.57,143.1,183.73,231.1,208.35
MRT,165.35,177.65,214.95,268.31,260.95
MUS,117.94,148.62,186.04,203.51,156.68
