ISO,2010,2012,2014
ALB,yes,yes,yes
DZA,no,no,no
AGO,yes,yes,yes
ARG,yes,yes,yes
ARM,yes,yes,yes
AUS,no,no,no
AUT,yes,yes,yes
AZE,yes,yes,yes
BGD,no,no,no
BLR,yes,yes,yes
BEL,yes,yes,yes
BEN,yes,yes,yes
BOL,yes,yes,yes
BIH,yes,yes,yes
BWA,yes,yes,yes
BRA,yes,yes,yes
BGR,yes,yes,yes
BFA,yes,yes,yes
BDI,yes,yes,yes
KHM,yes,yes,yes
CMR,yes,yes,yes
CAN,no,no,no
TCD,yes,yes,yes
CHL,yes,yes,yes
CHN,yes,yes,yes
COL,yes,yes,yes
COG,yes,yes,yes
CRI,yes,yes,yes
CIV,yes,yes,yes
HRV,yes,yes,yes
CZE,yes,yes,yes
DNK,no,no,no
DOM,yes,yes,yes
ECU,yes,yes,yes
EGY,yes,yes,yes
SLV,yes,yes,yes
EST,yes,yes,yes
ETH,no,no,no
FJI,no,no,no
FIN,no,no,no
FRA,yes,yes,yes
GAB,yes,yes,yes
GEO,yes,yes,yes
DEU,yes,yes,yes
GHA,yes,yes,yes
GRC,yes,yes,yes
GTM,yes,yes,yes
GIN,yes,yes,yes
HTI,,,yes
HND,yes,yes,yes
HUN,yes,yes,yes
ISL,no,no,no
IND,yes,yes,yes
IDN,yes,yes,yes
IRN,yes,yes,yes
IRL,yes,yes,yes
ISR,yes,yes,yes
ITA,yes,yes,yes
JAM,no,no,no
JPN,yes,yes,yes
JOR,yes,yes,yes
KAZ,yes,yes,yes
KEN,no,no,no
KSV,no,no,no
KWT,yes,yes,yes
KGZ,yes,yes,yes
LAO,yes,yes,yes
LVA,yes,yes,yes
LBN,no,no,no
LSO,yes,yes,yes
LBR,no,no,no
LTU,yes,yes,yes
MKD,yes,yes,yes
MDG,yes,yes,yes
MWI,no,no,no
MYS,no,no,no
MLI,yes,yes,yes
MRT,yes,yes,yes
MUS,yes,yes,yes
MEX,yes,yes,yes
MNG,yes,yes,yes
MNE,yes,yes,yes
MAR,yes,yes,yes
MOZ,yes,yes,yes
NAM,no,no,no
NPL,yes,yes,yes
NLD,yes,yes,yes
NZL,yes,yes,yes
NIC,yes,yes,yes
NER,yes,yes,yes
NGA,yes,yes,yes
NOR,yes,yes,yes
OMN,no,no,no
PAK,no,no,no
PAN,yes,yes,yes
PNG,yes,yes,yes
PRY,yes,yes,yes
PER,yes,yes,yes
PHL,no,yes,yes
POL,yes,yes,yes
PRT,yes,yes,yes
KOR,yes,yes,yes
MDA,no,no,no
RUS,yes,yes,yes
RWA,yes,yes,yes
SAU,yes,yes,yes
SEN,yes,yes,yes
SRB,no,no,no
SLE,,no,no
SGP,no,no,no
SVK,yes,yes,yes
SVN,yes,yes,yes
ZAF,no,no,no
ESP,yes,yes,yes
LKA,yes,yes,yes
SDN,no,no,yes
SWE,yes,yes,yes
CHE,yes,yes,yes
SYR,yes,yes,yes
TJK,yes,yes,yes
TZA,yes,yes,yes
THA,no,no,no
TGO,yes,yes,yes
TUN,yes,yes,yes
TUR,yes,yes,yes
UGA,no,no,no
UKR,yes,yes,yes
ARE,yes,yes,yes
GBR,no,no,no
USA,yes,yes,yes
URY,yes,yes,yes
UZB,yes,yes,yes
VEN,yes,yes,yes
VNM,yes,yes,yes
YEM,yes,yes,yes
ZMB,no,no,no
ZWE,yes,yes,yes
# Series: ERPBNWBL,,,
# Name: Are employers required to provide break time for nursing mothers?,,,
# Definition: Are employers required to provide break time for nursing mothers?,,,
"# Source: World Bank, Women Business and the Law",,,
# Data from the No Ceilings project: http://noceilings.org,,,
"# For more about the data, please visit http://noceilings.org/data",,,
