ISO,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
DZA,,,,,,,,,19.9,,10.8,12.1,6.4
AGO,,,,,,,,20.3,,32.9,,34.4,24.3
ARG,14.8,16.8,26.4,16.7,11.6,13.9,17.5,17.2,18,16.2,24.8,24,19.2
AUS,19.6,11.7,13.6,15.7,13.7,14,,,,7.8,12.6,,
AUT,,,,,6.9,,3.1,,,,,11,
BGD,,,,,,,,,,,21,,
BRB,,,,,,,,,,,10.7,18.2,
BEL,5.5,4.4,5.7,4.8,5.4,4.4,4.3,4,4.5,4,6.9,7.7,6.4
BOL,,,,,,,,31.8,,40.9,,,
BIH,,,,,,,,11.1,5.9,11.2,11,10.4,13.5
BWA,,,,,,,,,,,,30,21.9
BRA,16.4,16,14.2,15.7,11.8,13.7,12.7,13,14.8,18.6,15.3,16.2,17.2
CAN,12.6,12.6,11,11.5,13.1,8.3,,,,,,,14.6
CHL,,21.9,17.8,,14.1,11.4,16.4,14.9,17,19.2,26.3,26.2,30
CHN,,13.6,14.3,,15.7,16.9,19.3,,21.1,16.3,25.7,14.7,15.8
COL,,,,,,27.7,26.9,30.3,25.2,23,26.8,22.8,30.5
CRI,,,,,,,,,,13.2,,19.7,
HRV,,5.4,3.7,5.8,9.8,12.1,9.4,10.8,8.4,7.2,10,11.8,11.5
CZE,,,,,,10.7,,,,,11,,10.5
DNK,10.1,8.8,8.8,7.4,6.4,7.3,6.2,5.4,4.7,5.2,6.3,7.6,
DOM,,,,,,,18.9,25,20.1,,,,
ECU,,,,30.1,,,,18.5,16.1,23.5,,25.7,39.5
EGY,,,,,,,,20.2,,9.5,,13.1,
SLV,,,,,,,,,,,,16.4,
EST,,,,,,,,,,,,19.1,17
ETH,,,,,,,,,,,,16.6,
FIN,11.1,5.6,4.9,5.7,5.4,5.9,9,10.1,6.2,7.5,8.1,7.8,6.5
FRA,8,4.2,1.7,8.2,7.4,6.3,4.1,8,6.7,7,8.6,6.4,6.1
DEU,8.7,6.9,7,6.1,6.3,5.8,,4.1,4.5,5.4,6.7,7.2,6
GHA,,,,,,,,,,30.8,,35,23.5
GRC,,,9.6,8.7,9.7,11.1,8,12.1,11.6,6.9,10.1,8.6,7.8
GTM,,,,,,,,,20.6,18.1,19.4,,14.4
HUN,13.9,8.8,,5.1,1.4,8.1,9.3,8,12,10.1,8.3,12.8,12.4
ISL,,14.8,14.7,17.5,14.7,14.9,17.4,12.9,14.8,13.9,,,
