ISO,1990,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
ALB,,,,,,,,,,,,,,,22.9,,,,,
ARM,,,,,,,20.5,,,,,20.7,,,,,21.2,,,
AZE,,,,,,,,,,,,,21.9,,,,,,,
BGD,,,,16.7,,,17.2,,,,16.8,,,16.9,,,,17.2,,
BEN,,,23,,,,,23.6,,,,,23.5,,,,,,23.6,
BFA,,,,,,23.2,,,,23,,,,,,,22.2,,,
KHM,,,,,,,21.4,,,,,21.1,,,,,21.7,,,
CMR,,,,,20.6,,,,,,20.8,,,,,,,21.8,,
TCD,,,,17.9,,,,,,,18.5,,,,,,,,,
COM,,,23.4,,,,,,,,,,,,,,,,24.5,
CIV,,,,,22.5,,,,,,,,,,,,,,24.3,
COD,,,,,,,,,,,,,,20,,,,,,20
EGY,,23.5,,,,,22.7,,,,,22.6,,,22.4,,,,,
ERI,,21.6,,,,,,,22.8,,,,,,,,,,,
ETH,,,,,,,21.2,,,,,21.2,,,,,,23.3,,
GAB,,,,,,,21,,,,,,,,,,,,23.1,
GHA,,,,,19.7,,,,,20.2,,,,,21.3,,,,,
GIN,,,,,,20.1,,,,,,19.1,,,,,,,22.9,
IND,,,,,,19.6,,,,,,,19.8,,,,,,,
IDN,,,,22,,,,,,22,,,,22.3,,,,,22.3,
JOR,21.3,,,22.3,,,,,22.3,,,,,22.5,,22.6,,,22.5,
KAZ,,21.1,,,,21.2,,,,,,,,,,,,,,
KEN,,,,,21.9,,,,,22.7,,,,,22.4,,,,,
KGZ,,,,20.4,,,,,,,,,,,,,,,20.6,
LSO,,,,,,,,,,,20.7,,,,,21.9,,,,
LBR,,,,,,,,,,,,,,20.6,,,,,,21.6
MDG,,,,21.5,,,,,,,21.3,,,,20.6,,,,,
MWI,,,,,,,21.2,,,,21.5,,,,,,20.8,,,
MDV,,,,,,,,,,,,,,,,22.6,,,,
MLI,,,20.5,,,,,21.8,,,,,20.3,,,,,,21.6,
MRT,,,,,,,21.6,,,,,,,,,,,,,
MOZ,,,,22.7,,,,,,21.4,,,,,,,,21.5,,
NPL,,,,,,,,,,,,,19.5,,,,,20,,
NER,,,,,20.5,,,,,,,,21.5,,,,,,21.1,
NGA,22.2,,,,,22.1,,,,22,,,,,23.3,,,,,22.9
MDA,,,,,,,,,,,,20.4,,,,,,,,
RWA,,,,,,,22.7,,,,,23.2,,,,,24.1,,,
STP,,,,,,,,,,,,,,,20.5,,,,,
SEN,,,,23.6,,,,,,,,23.9,,,,,,,,
SLE,,,,,,,,,,,,,,,21.4,,,,,22
ZAF,,,,,24.9,,,,,,,,,,,,,,,
TJK,,,,,,,,,,,,,,,,,,,20.2,
TZA,,,23.1,,,23.2,,,,,23.6,,,,,,23.1,,,
TGO,,,,,22.2,,,,,,,,,,,,,,,
TUR,,,,,22.3,,,,,,,,,,,,,,,
TKM,,,,,,,21.5,,,,,,,,,,,,,
UGA,,20.5,,,,,20.8,,,,,,20.6,,,,,20.8,,
UKR,,,,,,,,,,,,,,20.7,,,,,,
UZB,,,20.1,,,,,,,,,,,,,,,,,
YEM,,,,21.9,,,,,,,,,,,,,,,,
ZMB,,,20.8,,,,,,20.2,,,,,20.9,,,,,,
ZWE,,,,,,20.8,,,,,,20.4,,,,,20.7,,,
# Series: FEMAGESE,,,,,,,,,,,,,,,,,,,,
"# Name: Median age at first marriage, female, secondary or higher",,,,,,,,,,,,,,,,,,,,
"# Definition: The median age at first marriage is the median age of women at first marriage if subject throughout their lives to the age-specific marriage rates of first marriages only in a given year (ages 25-49), by highest educational level of respondent",,,,,,,,,,,,,,,,,,,,
# Source: DHS Household Surveys,,,,,,,,,,,,,,,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,,,,,,,,,,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,,,,,,,,,,,,,,,
