ISO,2013
DZA,yes
ARG,yes
ARM,no
AUS,no
BGD,yes
BEN,yes
BRA,yes
BFA,no
BDI,no
CMR,no
CAN,yes
CHN,no
COG,no
CRI,yes
COD,no
DNK,yes
DOM,no
EGY,yes
ETH,no
FJI,no
FIN,no
FRA,no
GAB,no
GMB,yes
GEO,yes
GHA,no
GRC,yes
ISL,no
IND,yes
IDN,no
ITA,no
JAM,no
JOR,no
KEN,yes
KGZ,no
LAO,no
LBN,no
LBR,yes
MDG,no
MWI,yes
MLI,no
MRT,no
MEX,no
MNG,no
MAR,no
MOZ,yes
NPL,no
NLD,yes
NOR,yes
PAK,no
PAN,no
PHL,no
POL,no
PRT,yes
MDA,no
ROU,yes
SAU,no
ZAF,yes
ESP,no
LKA,no
SWE,yes
CHE,yes
SYR,no
TJK,no
TZA,yes
THA,no
TUR,no
UGA,yes
USA,yes
UZB,no
VNM,no
YEM,no
# Series: FEMNSENV,
# Name: Female minister of environment,
# Definition: Yes/no if the current minister of environment is female,
"# Source: The Environment and Gender Index, International Union for the Conservation of Nature",
# Data from the No Ceilings project: http://noceilings.org,
"# For more about the data, please visit http://noceilings.org/data",
