ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
AFG,,,,,,,,,0.273,0.272,,,,,0.228,,0.332,,
ALB,1.129,1.158,1.276,1.264,1.415,1.4,1.476,1.525,1.577,1.591,1.524,1.431,1.458,1.386,1.423,1.383,1.353,1.317,
DZA,,,,,,,,,,1.08,1.28,1.257,1.396,,1.432,1.444,1.452,1.483,
AGO,,,,0.689,0.632,,,0.654,,,,,,,,,0.37,,
ATG,,,,,,,,,,,,,,,2.154,2.503,1.917,2.067,
ARG,,,,,1.64,1.554,1.485,1.492,1.515,1.425,1.457,1.524,1.523,1.525,1.512,1.509,1.562,,
ARM,,,,,,1.259,1.342,1.376,1.361,1.52,1.536,1.487,1.5,1.53,1.519,1.545,1.542,1.574,
AUS,1.045,1.062,1.072,1.223,1.224,1.231,1.227,1.217,1.225,1.229,1.246,1.272,1.291,1.314,1.346,1.365,1.376,1.381,
AUT,0.931,0.956,0.975,0.998,1.036,1.076,1.116,1.151,1.162,1.175,1.191,1.202,1.199,1.182,1.179,1.172,1.186,1.196,
AZE,0.903,0.976,0.975,,,,,,,,,1.047,1.02,0.981,0.987,0.989,1.016,1.047,
BHS,2.707,,,,,,,,,,,,,,,,,,
BHR,1.619,1.677,,,1.741,,,,2.358,2.701,3.522,3.674,,,,1.575,1.877,1.982,
BGD,,,,,0.492,0.494,0.53,0.487,0.487,0.477,0.52,0.553,0.551,0.554,0.597,,0.69,,
BRB,,,,,2.427,2.849,2.657,,,,,,2.342,,2.402,2.38,2.451,,
BLR,,1.171,1.267,1.266,1.303,1.327,1.335,1.368,1.384,1.384,1.37,1.376,1.416,1.469,1.471,1.447,1.427,1.399,
BEL,1.015,1.034,,,1.144,1.123,1.151,1.163,1.174,1.195,1.225,1.241,1.25,1.251,1.236,1.255,1.261,1.281,
BLZ,,,,,,,1.617,1.667,1.572,1.511,1.58,1.675,1.661,1.65,1.714,1.647,1.707,1.694,
BEN,0.204,0.218,0.227,,0.24,0.24,0.24,,,,,,,,0.387,,0.27,,
