ISO,2012,2013,2014
AFG,3.2,3.4,3.4
ALB,1.9,2,1.9
DZA,2.2,2.3,2.2
AGO,2.1,2.1,2.1
ARG,1.7,1.9,1.8
ARM,2.1,2.1,2.1
AUS,1.4,1.4,1.4
AUT,1.3,1.2,1.2
AZE,2.1,2.3,2.4
BHR,2,2.1,2.2
BGD,2.1,2.2,2.1
BLR,2.1,2.1,2.1
BEL,1.3,1.4,1.4
BEN,2.2,2.2,2.1
BTN,1.4,1.5,1.4
BOL,2,2.1,2
BIH,1.9,2,1.9
BWA,1.6,1.6,1.7
BRA,2,2.1,2.1
BGR,1.6,1.7,1.6
BFA,1.8,2.1,2
BDI,2.5,2.6,2.4
KHM,2.2,2.3,2.2
CMR,2.1,2.2,2.2
CAN,1.3,1.3,1.3
CAF,2.8,3,3.3
TCD,2.6,2.5,2.6
CHL,1.5,1.6,1.6
CHN,2.1,2.1,2.2
COL,2.5,2.6,2.7
COG,2.1,2.2,2.2
CRI,1.6,1.8,1.8
CIV,2.4,2.7,2.5
HRV,1.6,1.6,1.5
CUB,1.9,1.9,2
CYP,1.6,1.8,1.8
CZE,1.3,1.4,1.4
PRK,2.8,3.1,3.1
COD,3,3.1,3.2
DNK,1.2,1.2,1.2
DJI,1.9,1.9,2
DOM,2,2.1,2.1
ECU,2,2,2
EGY,2.1,2.3,2.6
SLV,2.3,2.3,2.3
GNQ,2,2.1,2.1
ERI,2.1,2.3,2.4
EST,1.6,1.7,1.6
ETH,2.5,2.6,2.5
FIN,1.2,1.3,1.3
FRA,1.8,1.9,1.8
GAB,1.9,2,1.9
GMB,1.9,2.1,2.1
GEO,2.4,2.5,2.2
DEU,1.4,1.4,1.4
GHA,1.7,1.9,1.9
GRC,1.8,1.9,2.1
GTM,2.3,2.2,2.2
GIN,2.1,2.3,2.3
GNB,2.4,2.4,2.6
GUY,1.9,1.9,2
HTI,2.1,2.1,2.1
HND,2.3,2.3,2.3
HUN,1.5,1.5,1.5
ISL,1.1,1.2,1.2
IND,2.6,2.6,2.6
IDN,1.8,1.9,1.9
IRN,2.3,2.5,2.4
IRQ,3.1,3.2,3.4
IRL,1.3,1.4,1.4
ISR,2.6,2.7,2.7
ITA,1.6,1.7,1.7
JAM,2.2,2.3,2.2
JPN,1.2,1.3,1.3
JOR,1.8,1.9,1.9
KAZ,2.1,2,2.1
KEN,2.3,2.5,2.5
KSV,,2,1.9
KWT,1.6,1.7,1.7
KGZ,2.3,2.4,2.4
LAO,1.7,1.7,1.7
LVA,1.7,1.8,1.7
LBN,2.3,2.6,2.6
LSO,1.8,1.8,1.8
LBR,2,2,2
LBY,2.8,2.7,2.5
LTU,1.7,1.8,1.8
MKD,1.9,2.1,2.1
MDG,2.1,2.1,1.9
MWI,1.9,2,2
MYS,1.5,1.6,1.7
MLI,2.2,2.3,2.5
MRT,2.3,2.3,2.3
MUS,1.5,1.5,1.5
MEX,2.4,2.5,2.5
MNG,1.8,1.9,1.8
MNE,2,2,1.9
MAR,1.8,1.9,1.9
MOZ,1.8,1.9,2
MMR,2.5,2.5,2.5
NAM,1.8,1.8,1.8
NPL,1.9,2.1,2
NLD,1.5,1.5,1.5
NZL,1.2,1.2,1.2
NIC,2,1.9,1.9
NER,2.3,2.4,2.4
NGA,2.6,2.7,2.7
NOR,1.3,1.3,1.4
OMN,1.7,1.8,1.9
PAK,2.8,3.1,3.1
PAN,1.8,1.9,1.9
PNG,2.1,2.1,2.1
PRY,1.9,2,2
PER,2,2.3,2.3
PHL,2.3,2.4,2.5
POL,1.5,1.5,1.5
PRT,1.4,1.5,1.4
QAT,1.3,1.5,1.5
KOR,1.7,1.8,1.8
MDA,1.9,2,2
ROU,1.5,1.6,1.7
RUS,2.9,3.1,3
RWA,2.3,2.4,2.5
SAU,2.1,2.1,2
SEN,1.9,2.1,2
SRB,1.8,1.9,1.8
SLE,1.9,1.9,1.9
SGP,1.4,1.5,1.5
SVK,1.5,1.6,1.5
SVN,1.3,1.4,1.4
SOM,3.3,3.4,3.4
ZAF,2.2,2.3,2.4
SSD,,2.6,3.4
ESP,1.5,1.6,1.5
LKA,2.1,2.2,2.2
SDN,3.2,3.2,3.4
SWZ,2,2.1,2.1
SWE,1.3,1.3,1.4
CHE,1.2,1.3,1.3
SYR,2.7,3.4,3.7
TJK,2.1,2.3,2.4
TZA,1.8,1.9,1.9
THA,2.3,2.4,2.4
TLS,,1.9,1.9
TGO,,2,2
TTO,2.1,2.1,2.1
TUN,1.9,2,2
TUR,2.2,2.4,2.4
TKM,2.1,2.2,2.1
UGA,2.1,2.2,2.2
UKR,2,2.3,2.5
ARE,1.6,1.7,1.7
GBR,1.7,1.8,1.8
USA,2.1,2.1,2.1
URY,1.6,1.5,1.6
UZB,2.2,2.3,2.2
VEN,2.3,2.4,2.4
VNM,1.7,1.8,1.8
YEM,2.6,2.7,2.6
ZMB,1.9,1.8,1.8
ZWE,2.5,2.7,2.7
# Series: GPITOASC,,,
"# Name: Global Peace Index, Overall Score",,,
"# Definition: The overall Global Peace Index score measures the level of peace in a country. It is a weighted score of internal and external peace. Scores are from 1 to 5, with 1 being the most peaceful and 5 being the least peaceful.",,,
# Source: Institute for Economics and Peace,,,
# Data from the No Ceilings project: http://noceilings.org,,,
"# For more about the data, please visit http://noceilings.org/data",,,
