ISO,1990,1995,2000,2005,2010
AFG,9850.86,9472.93,9510.61,8606.73,6707
ALB,4333.25,3424.6,2950.57,2486.9,2048.12
DZA,845.52,497.28,311.5,174.73,83.44
AGO,7343.37,6311.57,5083.65,3570.26,2827.07
ATG,648.7,392.17,198.87,124.16,72.87
ARG,1010.89,600.36,357.96,202.87,100.62
ARM,5616.81,5307.59,3524.28,2614.88,1521.53
AZE,6988.13,5882.63,3463.49,2178.57,824.22
BHS,1703.45,925.07,594.38,431.65,331.93
BHR,1437.46,878.11,583.86,344.23,173.41
BGD,3637.22,3372.62,2953.99,2738.88,2533.41
BRB,244.53,135.48,85.44,64.48,51.11
BLR,1928.87,1663.94,1153.99,785.82,377.6
BLZ,1387.57,1205.7,1008.99,639.81,472.83
BEN,6014.72,4873.54,4755.94,3750.67,3438.53
BTN,4789.45,3806.33,2973.7,2353.75,1805.73
BOL,2949.15,2644.86,2040.26,1610.5,1354.73
BIH,3183.58,3398.17,2435.63,2064.1,1740.47
BWA,2278.32,2265.64,2276.81,1486.69,988.86
BRA,1473.46,1035.22,695.88,480.98,341.38
BGR,3111.17,3004.01,2494.09,2089.95,1644.79
BFA,5453.72,5311.53,4507.08,4715.02,5372.2
BDI,7261.13,6220.53,5525.8,5046.85,4264.48
KHM,6766.62,6842.12,6750.28,5390.06,4733.75
CMR,4372.51,4244.35,4122.65,3440.08,3168.87
CPV,2496.99,2168.48,1793.44,1519.46,1325.63
CAF,7703.62,7269.66,6542.13,5935.18,5728.79
TCD,6132.38,5683.62,5829.12,5239.7,5022.17
CHL,1040.02,636.89,410.39,283.8,187.58
CHN,4519.91,3910.88,3137.11,2367.92,1755.31
COL,1338.06,1132.02,851.43,647.44,521.84
COM,5650.97,4400.85,3507.72,3157.9,3003.35
COG,5145.43,5396.57,5076.96,4354.51,4043.49
CRI,784.59,576.38,379.09,239.36,129.82
CIV,4675.27,4554.13,4086.65,4307.4,4312.75
HRV,1769.86,1252.65,884.11,628.55,373.53
CUB,333.96,353.21,340.62,329.8,346.86
CZE,1571.8,759.52,373.73,193.94,74.93
PRK,4755.66,4489.57,4377.79,4191.84,3984.98
COD,5468.33,4963.59,4500.41,4120.26,4565.7
DJI,1878.11,1621.67,1219.82,1003.66,896.99
DMA,1289.9,747.72,436.66,337.08,122.55
DOM,1766.13,1231.16,878.05,721.94,409.63
ECU,1239.49,824.94,581.81,321.86,134.1
EGY,1013.27,625.84,391.69,266.7,194.51
SLV,1846.1,1559.58,1145.96,848.94,621.36
GNQ,6885.86,6030,5380.45,3855.75,3230.61
ERI,6491.48,4584.08,3815.47,3432.39,3106.22
EST,2470.31,2464.74,1588.93,1053.5,586.57
ETH,7489.37,6345.8,5491.85,4282.81,3611.24
FJI,5751.75,5581.86,4952.32,3738.63,3209.5
GAB,3315.14,2915.01,2464.29,2197.64,1769.71
GMB,6881.06,5758.81,4920.35,4352.11,3773.53
GEO,5679.48,5395.86,4358.64,3920.91,3925.54
GHA,3395.71,3047.2,4099.66,3309.62,2857.62
GRD,1811.78,815.26,446.9,261.08,54.88
GTM,3136.8,2851.07,2609.38,2208.39,1731.13
GIN,7763.59,6108.51,6072.33,4246.01,4398.09
GNB,6117.85,4866.49,4714.73,4261.77,3745.39
GUY,2653.56,1860,1217.69,1017.55,702.97
HTI,5836.57,5468.6,4485.33,3989.92,3877.02
HND,2633.26,2562.77,2222.39,1934.1,1712.62
HUN,3309.75,2789.4,2082.13,1684.49,1268.85
IND,5759.29,5287.67,4540.63,3851.25,3397.73
IDN,4587.5,3703.56,3098.49,2883.06,2665.11
IRN,925.16,588.08,350.46,189.39,105.27
IRQ,819.04,577.62,399.33,300.1,221.51
JAM,1339.63,927.83,725.16,564.87,412.66
JOR,916.66,530.83,284.69,153.87,88.01
KAZ,3715.11,4115.42,3164.48,2498.13,1402.31
KEN,4239.76,3520.83,3346.26,2705.34,2429.33
KIR,5803.77,5950.99,5707.69,4918.55,4273.44
KWT,868.47,753.93,536.58,416.23,314.34
KGZ,6762.49,6994.6,5463.4,4997.56,4316.08
LAO,7714.69,6928.25,6237.46,5822.32,5162.31
LVA,2199.58,2293.09,1234.22,926.41,456.59
LBN,613.52,278.27,123.18,59.78,27.07
LSO,4429.06,4312.13,4616.66,5155.7,5234.18
LBR,5498.44,4854.93,4287.52,3207.17,3819.51
LBY,783.31,379.25,225.56,135.83,68.51
LTU,2020.29,1926.51,1113.97,964.35,543.67
MKD,3154.23,2751.76,2351.57,2084.43,1710.01
MDG,7236.36,7015.34,5517.15,4851.2,4431.71
MWI,6130.95,5860.64,5940.79,4525,4156.91
MYS,1266.2,770.66,451.09,250.91,97.85
MDV,2232.37,1221.72,790.46,482.84,218.96
MLI,5195.34,4691.54,4593.56,3442.07,3297.3
MHL,1945.65,2163.11,2368.67,2455.72,2407.02
MRT,4131.01,3738.57,3727.1,3225.57,2626.33
MUS,2048.32,1116.79,602.82,285.55,107.58
MEX,1124.53,864.76,633.33,492.23,447.68
FSM,4603.91,4136.25,3591.97,3186.09,2952.66
MNG,10568.2,9419.25,8644.58,8461.08,7374.35
MNE,2597.02,2462.89,2354.82,1857.22,1459.02
MAR,1291.58,836.8,527.06,342.72,198.52
MOZ,6078.97,5231.13,4219.9,3740.81,3192.55
MMR,5410.59,4899.21,4839.18,4490.61,3918.89
NAM,4104.2,3695.08,3749.98,3563.06,2633.05
NPL,5647.28,5297.98,4178.39,3426.43,3141.58
NIC,3056.26,2480.01,2154.56,1970.32,1697.03
NER,9036.14,7526.48,6522.91,4686.13,4642.71
NGA,3870.13,3318.05,2759.8,2260.55,2226.78
OMN,1417.47,938.84,661.85,481.18,279.36
PAK,4416.36,4323.33,3961.52,3781.57,3510.89
PAN,961.6,786.16,570.44,534.73,590.97
PNG,6074.27,5251.31,4441.76,3853.66,3246.06
PRY,2048.27,1923.33,1723.43,1654,1710.79
PER,3045.95,2171.59,1276.12,990.37,835.63
PHL,4410.5,4027.48,3719.11,3447.39,3213.43
POL,3163.56,2513.31,1795.12,1396.91,1084.24
QAT,324.78,240.73,124.74,73.4,44.86
KOR,1285.8,76.4,5.1,0.33,0.28
MDA,2635.33,2792.49,1826.87,1550.86,1126.7
ROU,3298.51,3051.38,2277.19,1772.35,1291.43
RUS,1119.04,1215.83,875.2,691.86,397.98
RWA,7180.6,9642.63,6848.16,4056.92,3346.4
LCA,1709.08,829.92,443,251.99,45
VCT,2494.47,1483.35,1010.51,723.44,176.96
WSM,4081.85,3543.85,2761.83,2070.82,1689.09
STP,3685.95,3336.11,2933.25,2339.83,2003.15
SAU,1066.82,805.63,586.46,428,281.77
SEN,3494.38,2953.79,2518.36,1686.73,1411.85
SRB,2711.62,2569.93,2151.35,1815.27,1350.04
SYC,2022.33,1239.85,699.48,423.15,171.84
SLE,7237.61,6340.32,5633.71,4563.2,3698.54
SVK,1691.86,917.49,545.64,312.74,133.86
SVN,1317.94,833.71,515.65,296.97,147.52
SLB,5729.06,5857.5,5716.58,5572.73,5310.44
SOM,7245.69,6801.92,5171.65,4131.85,4218.01
ZAF,2794.3,2262.86,1852.46,1405.15,791.39
LKA,2991.26,2955.82,3081.81,2593.88,2439.45
SDN,4408.84,4070.58,3268.92,2818.52,2094.37
SUR,1805.52,1227.96,900.34,716.64,545.8
SWZ,4149.3,4013.99,4806.59,5507.06,3559.86
SYR,1542.36,891.74,501.02,276.28,118.78
TJK,9319.75,8415.96,5649.6,4431.52,3602.93
TZA,5130.59,4520.98,3511.74,2632.31,2419.16
THA,2227.49,2163.08,1454.55,1122.87,899.77
TLS,5827.18,5322.45,5177.05,4174.21,3789.43
TGO,4333.33,3963.29,3522.13,3700.81,3532.36
TON,2397.3,2111.63,1913.39,1775.81,1512.22
TTO,1431.34,917.61,553.48,298.33,129.05
TUN,1102.83,704.41,389.72,226.08,101.29
TUR,2536.66,1704.39,1013.45,623.1,362.37
TKM,3225.59,1916.93,937.82,423.18,171.17
UGA,5312.82,4831.92,4166.98,3315.45,2655.87
UKR,2031.5,2029.08,1411.6,1112.24,532.32
ARE,889.75,490.51,249.53,127.6,51.78
URY,616.94,421.41,270.62,180.38,117.57
UZB,4235.99,4090.8,3168.81,2391.13,1684.54
VUT,5634.51,5747.62,5631.2,5507.94,5098.2
VEN,766.03,426.54,216.03,109.31,50.41
VNM,3833.99,3281.64,2802.33,2251.37,1884.74
YEM,3957.8,3518.1,2794.78,2232.38,2002.17
ZMB,5220.07,5000.83,4493.83,3593.61,3403.08
ZWE,2542.57,2446.96,2666.61,3341.78,3692.49
LIA,6251.84,5682.56,4981.16,4220.12,3896.52
LMA,4097.96,3754.12,3331.08,2939.21,2561.16
UMA,2308.25,1870.4,1432.01,1101.83,797.601
LIM,6117.85,5311.53,4755.94,4191.84,3773.53
LMM,4131.01,3703.56,3098.49,2593.88,2094.37
UMM,1945.65,1231.16,900.34,639.81,412.66
LIW,,5024.18,4488.41,3862.81,3545.44
LMW,,4293.52,3705.92,3202.59,2852
UMW,,2906.62,2253.62,1673.51,1218.86
WLD,,2556.26,2104.56,1689.05,1384.57
EAS,,3396.92,2588.33,1944.87,1437.3
ECS,,1445.8,1013.86,728.86,468.96
LCN,,962.09,699.08,538.01,422.42
MEA,,692.58,466.34,317.05,224.23
SAS,,5006.95,4226.99,3454.85,2913.73
SSF,,3811.52,3349.82,2823.71,2545.33
# Series: HHAPMAIN,,,,,
"# Name: Household air pollution from solid fuels, DALYs, male",,,,,
"# Definition: The mean Disability Adjusted Life Years (DALY) rate per 100,000 attributable to risk factor/mortality cause",,,,,
# Source: Global Burden of Disease by Institute for Health Metrics and Evaluation (GBD by IHME),,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,
